Standard-based Integration of Heterogeneous Large-scale DNA Microarray Data for Improving Reusability.
('Standard-based', 'Standard-based', 'JJ', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('necessary', 'necessary', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('comprehensive', 'comprehensive', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('query,', 'query,', 'NN', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('mining.', 'mining.', 'NN', 'B-NP', 'O')
We attempted to integrate the heterogeneous microarray data in GEO based on Minimum Information About a Microarray Experiment (MIAME) standard.
('We', 'We', 'PRP', 'B-NP', 'O')
('attempted', 'attempt', 'VBD', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('integrate', 'integrate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('heterogeneous', 'heterogeneous', 'JJ', 'I-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'B-protein')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('Minimum', 'Minimum', 'NNP', 'B-NP', 'O')
('Information', 'Information', 'NNP', 'I-NP', 'O')
('About', 'About', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Microarray', 'Microarray', 'NNP', 'I-NP', 'O')
('Experiment', 'Experiment', 'NNP', 'I-NP', 'O')
('(MIAME)', '(MIAME)', 'NNP', 'I-NP', 'O')
('standard.', 'standard.', 'NN', 'I-NP', 'O')
We unified the data fields of GEO Data table and mapped the attributes of GEO metadata into MIAME elements.
('We', 'We', 'PRP', 'B-NP', 'O')
('unified', 'unify', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('fields', 'field', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('Data', 'Data', 'NNP', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('mapped', 'map', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('attributes', 'attribute', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'O')
('metadata', 'metadata', 'NNS', 'I-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('MIAME', 'MIAME', 'NN', 'B-NP', 'O')
('elements.', 'elements.', 'NN', 'I-NP', 'O')
We also discriminated non-preprocessed raw datasets from others and processed ones by using a twostep classification method.
('We', 'We', 'PRP', 'B-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('discriminated', 'discriminate', 'VBD', 'B-VP', 'O')
('non-preprocessed', 'non-preprocessed', 'JJ', 'B-NP', 'O')
('raw', 'raw', 'JJ', 'I-NP', 'O')
('datasets', 'dataset', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('others', 'other', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('processed', 'process', 'VBN', 'B-NP', 'O')
('ones', 'one', 'NNS', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('twostep', 'twostep', 'NN', 'I-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('method.', 'method.', 'NN', 'I-NP', 'O')
Most of the procedures were developed as semi-automated algorithms with some degree of text mining techniques.
('Most', 'Most', 'JJS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('procedures', 'procedure', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('developed', 'develop', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('semi-automated', 'semi-automated', 'JJ', 'B-NP', 'O')
('algorithms', 'algorithm', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('degree', 'degree', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('text', 'text', 'NN', 'B-NP', 'O')
('mining', 'mining', 'NN', 'I-NP', 'O')
('techniques.', 'techniques.', 'NN', 'I-NP', 'O')
We localized 2,967 Platforms, 4,867 Series and 103,590 Samples with covering 279 organisms, integrated them into a standardbased relational schema and developed a comprehensive query interface to extract.
('We', 'We', 'PRP', 'B-NP', 'O')
('localized', 'localize', 'VBD', 'B-VP', 'O')
('2,967', '2,967', 'CD', 'B-NP', 'O')
('Platforms,', 'Platforms,', 'NNP', 'I-NP', 'O')
('4,867', '4,867', 'CD', 'I-NP', 'O')
('Series', 'Series', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('103,590', '103,590', 'CD', 'B-NP', 'O')
('Samples', 'Sample', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('covering', 'cover', 'VBG', 'B-VP', 'O')
('279', '279', 'CD', 'B-NP', 'O')
('organisms,', 'organisms,', 'NN', 'I-NP', 'O')
('integrated', 'integrate', 'VBD', 'B-VP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('standardbased', 'standardbased', 'JJ', 'I-NP', 'O')
('relational', 'relational', 'JJ', 'I-NP', 'O')
('schema', 'schema', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('developed', 'develop', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('comprehensive', 'comprehensive', 'JJ', 'I-NP', 'O')
('query', 'query', 'NN', 'I-NP', 'O')
('interface', 'interface', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('extract.', 'extract.', 'VB', 'I-VP', 'O')
Our tool, GEOQuest is available at http://www.
('Our', 'Our', 'PRP$', 'B-NP', 'O')
('tool,', 'tool,', 'NN', 'I-NP', 'O')
('GEOQuest', 'GEOQuest', 'NNP', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('available', 'available', 'JJ', 'B-ADJP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('http://www.', 'http://www.', 'NN', 'B-NP', 'O')
snubi.
('snubi.', 'snubi.', 'LS', 'B-LST', 'O')
org/software/GEOQuest/Keywords: gene expression data, data integration, classificationAfter genome sequencing, DNA microarray analysis has become the most widely used source of genomescale data in the life sciences (Allison et al., 2006; Brazma et al., 2001).
('org/software/GEOQuest/Keywords:', 'org/software/GEOQuest/Keywords:', 'NN', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('integration,', 'integration,', 'VBP', 'B-VP', 'O')
('classificationAfter', 'classificationAfter', 'NN', 'B-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('sequencing,', 'sequencing,', 'NN', 'I-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('become', 'become', 'VBN', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('widely', 'widely', 'RB', 'I-NP', 'O')
('used', 'use', 'VBN', 'I-NP', 'O')
('source', 'source', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genomescale', 'genomescale', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('life', 'life', 'NN', 'I-NP', 'O')
('sciences', 'science', 'VBZ', 'B-VP', 'O')
('(Allison', '(Allison', 'NNP', 'B-NP', 'B-protein')
('et', 'et', 'FW', 'I-NP', 'I-protein')
('al.,', 'al.,', 'FW', 'I-NP', 'I-protein')
('2006;', '2006;', ':', 'O', 'I-protein')
('Brazma', 'Brazma', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2001).', '2001).', 'CD', 'B-NP', 'O')
DNA microarray is a highthroughput and dataintensive technology that provides the means of measuring the expression of thousands of genes or proteins simultaneously and brings the unprecedented development in the informatics and analysis aspect (Chaussabel and Sher, 2002; Quackenbush, 2002).
('DNA', 'DNA', 'NN', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('highthroughput', 'highthroughput', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('dataintensive', 'dataintensive', 'JJ', 'I-NP', 'O')
('technology', 'technology', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('means', 'means', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('measuring', 'measure', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('thousands', 'thousand', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('proteins', 'protein', 'NNS', 'I-NP', 'O')
('simultaneously', 'simultaneously', 'RB', 'B-ADVP', 'O')
('and', 'and', 'CC', 'O', 'O')
('brings', 'bring', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('unprecedented', 'unprecedented', 'JJ', 'I-NP', 'O')
('development', 'development', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('informatics', 'informatic', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('aspect', 'aspect', 'VBP', 'B-VP', 'O')
('(Chaussabel', '(Chaussabel', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Sher,', 'Sher,', 'NNP', 'I-NP', 'O')
('2002;', '2002;', ':', 'O', 'O')
('Quackenbush,', 'Quackenbush,', 'NNP', 'B-NP', 'O')
('2002).', '2002).', '.', 'O', 'O')
Since this technique provides researchers with comprehensive understanding of biological complex features, it has been used in not only biological but also clinical field.
('Since', 'Since', 'IN', 'B-SBAR', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('technique', 'technique', 'NN', 'I-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('researchers', 'researcher', 'NNS', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('comprehensive', 'comprehensive', 'JJ', 'B-NP', 'O')
('understanding', 'understanding', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('complex', 'complex', 'JJ', 'I-NP', 'O')
('features,', 'features,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('not', 'not', 'RB', 'B-CONJP', 'O')
('only', 'only', 'RB', 'I-CONJP', 'O')
('biological', 'biological', 'JJ', 'B-ADJP', 'O')
('but', 'but', 'CC', 'B-CONJP', 'O')
('also', 'also', 'RB', 'I-CONJP', 'O')
('clinical', 'clinical', 'JJ', 'B-NP', 'O')
('field.', 'field.', 'NN', 'I-NP', 'O')
As many microarray experiments generate large data sets that can contain tens to hundreds of samples, however, it has needed to be managed systematically with computational tools due to their own complexity.
('As', 'As', 'IN', 'B-SBAR', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('experiments', 'experiment', 'NNS', 'I-NP', 'O')
('generate', 'generate', 'VBP', 'B-VP', 'O')
('large', 'large', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('sets', 'set', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('contain', 'contain', 'VB', 'I-VP', 'O')
('tens', 'ten', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('hundreds', 'hundred', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('samples,', 'samples,', 'NN', 'B-NP', 'O')
('however,', 'however,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('needed', 'need', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('managed', 'manage', 'VBN', 'I-VP', 'O')
('systematically', 'systematically', 'RB', 'B-ADVP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('computational', 'computational', 'JJ', 'B-NP', 'O')
('tools', 'tool', 'NNS', 'I-NP', 'O')
('due', 'due', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('own', 'own', 'JJ', 'I-NP', 'O')
('complexity.', 'complexity.', 'NN', 'I-NP', 'O')
Moreover, requirements for ensuring the scientific integrity of data and sharing the data have given rise to development of public microarray repositories like GEO (Barrett et al., 2007), ArrayExpress (Parkinson et al., 2007), Stanford Microarray Database (SMD) (Gollub et al., 2003), keeping pace with the standardization (Edgar and Barrett, 2006; Perou, 2001).
('Moreover,', 'Moreover,', 'JJR', 'B-NP', 'O')
('requirements', 'requirement', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('ensuring', 'ensure', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('scientific', 'scientific', 'JJ', 'I-NP', 'O')
('integrity', 'integrity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('sharing', 'share', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('given', 'give', 'VBN', 'I-VP', 'O')
('rise', 'rise', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('development', 'development', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('public', 'public', 'JJ', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('repositories', 'repository', 'NNS', 'I-NP', 'O')
('like', 'like', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('(Barrett', '(Barrett', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NNP', 'I-NP', 'O')
('2007),', '2007),', 'VBD', 'B-VP', 'O')
('ArrayExpress', 'ArrayExpress', 'NNP', 'B-NP', 'O')
('(Parkinson', '(Parkinson', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NNP', 'I-NP', 'O')
('2007),', '2007),', 'VBD', 'B-VP', 'O')
('Stanford', 'Stanford', 'NNP', 'B-NP', 'O')
('Microarray', 'Microarray', 'NNP', 'I-NP', 'O')
('Database', 'Database', 'NNP', 'I-NP', 'O')
('(SMD)', '(SMD)', 'NNP', 'I-NP', 'O')
('(Gollub', '(Gollub', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NN', 'I-NP', 'O')
('2003),', '2003),', 'VBD', 'B-VP', 'O')
('keeping', 'keep', 'VBG', 'I-VP', 'O')
('pace', 'pace', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('standardization', 'standardization', 'NN', 'I-NP', 'O')
('(Edgar', '(Edgar', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Barrett,', 'Barrett,', 'NNP', 'I-NP', 'O')
('2006;', '2006;', ':', 'O', 'O')
('Perou,', 'Perou,', 'NNP', 'B-NP', 'O')
('2001).', '2001).', '.', 'O', 'O')
With appearance of them, the data generated in one laboratory can be available to other researchers and various analytical methods uncover different biological insights.
('With', 'With', 'IN', 'B-PP', 'O')
('appearance', 'appearance', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('them,', 'them,', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('generated', 'generate', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('laboratory', 'laboratory', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('available', 'available', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('researchers', 'researcher', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('various', 'various', 'JJ', 'B-NP', 'O')
('analytical', 'analytical', 'JJ', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('uncover', 'uncover', 'VBP', 'B-VP', 'O')
('different', 'different', 'JJ', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('insights.', 'insights.', 'NN', 'I-NP', 'O')
Especially, NCBI GEO has kept the largest amount of gene expression data which have grown exponentially, currently holdingover 200,000 samples.
('Especially,', 'Especially,', 'NNP', 'B-NP', 'O')
('NCBI', 'NCBI', 'NNP', 'I-NP', 'O')
('GEO', 'GEO', 'NNP', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('kept', 'keep', 'VBN', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('largest', 'large', 'JJS', 'I-NP', 'O')
('amount', 'amount', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('grown', 'grow', 'VBN', 'I-VP', 'O')
('exponentially,', 'exponentially,', 'NN', 'B-NP', 'O')
('currently', 'currently', 'RB', 'B-ADVP', 'O')
('holdingover', 'holdingover', 'VBP', 'B-VP', 'O')
('200,000', '200,000', 'CD', 'B-NP', 'O')
('samples.', 'samples.', 'NNS', 'I-NP', 'O')
Recently, researches to find clinical or biological meaning using GEO data have been actively performed to show its reusability.
('Recently,', 'Recently,', 'NN', 'B-NP', 'O')
('researches', 'research', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('clinical', 'clinical', 'JJ', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('meaning', 'meaning', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('actively', 'actively', 'RB', 'I-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('show', 'show', 'VB', 'I-VP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('reusability.', 'reusability.', 'NN', 'I-NP', 'O')
Butte et al.
('Butte', 'Butte', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(2006) constructed PhenomeGenome network, Disease Nosology and GeneBehavior Disease through analysis of huge amounts of gene expression data in GEO using Unified Medical Language System (UMLS) (Humphreys et al., 1998).
('(2006)', '(2006)', 'LS', 'B-NP', 'O')
('constructed', 'construct', 'VBN', 'I-NP', 'O')
('PhenomeGenome', 'PhenomeGenome', 'NN', 'I-NP', 'O')
('network,', 'network,', 'NN', 'I-NP', 'O')
('Disease', 'Disease', 'NN', 'I-NP', 'O')
('Nosology', 'Nosology', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('GeneBehavior', 'GeneBehavior', 'NNP', 'I-NP', 'O')
('Disease', 'Disease', 'NN', 'I-NP', 'O')
('through', 'through', 'IN', 'B-PP', 'O')
('analysis', 'analysis', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('huge', 'huge', 'JJ', 'B-NP', 'O')
('amounts', 'amount', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('Unified', 'Unified', 'NNP', 'B-NP', 'O')
('Medical', 'Medical', 'NNP', 'I-NP', 'O')
('Language', 'Language', 'NNP', 'I-NP', 'O')
('System', 'System', 'NNP', 'I-NP', 'O')
('(UMLS)', '(UMLS)', 'NNP', 'I-NP', 'O')
('(Humphreys', '(Humphreys', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1998).', '1998).', 'CD', 'B-NP', 'O')
Yoon et al.
('Yoon', 'Yoon', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(2006) constructed an application tool to provide the present largescale approach for the analysis of GEO microarray data.
('(2006)', '(2006)', 'LS', 'B-LST', 'O')
('constructed', 'construct', 'VBD', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('application', 'application', 'NN', 'I-NP', 'O')
