Prediction Model for the Cellular Immortalization and Transformation Potentials of Cell SubstratesThe establishment of DNA microarray technology has enabled high-throughput analysis and molecular profiling of various types of cancers.
('Prediction', 'Prediction', 'NN', 'B-NP', 'O')
('selection', 'selection', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('markers', 'marker', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('profiles.', 'profiles.', 'NN', 'I-NP', 'O')
In order to select markers of immortalization and transformation we used c-myc and H-ras oncogene-transfected NIH3T3 cells as our model system.
('In', 'In', 'IN', 'B-SBAR', 'O')
('order', 'order', 'NN', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('select', 'select', 'VB', 'I-VP', 'O')
('markers', 'marker', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('immortalization', 'immortalization', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('used', 'use', 'VBD', 'B-VP', 'O')
('c-myc', 'c-myc', 'NN', 'B-NP', 'B-DNA')
('and', 'and', 'CC', 'O', 'O')
('H-ras', 'H-ras', 'NN', 'B-NP', 'B-cell_line')
('oncogene-transfected', 'oncogene-transfected', 'JJ', 'I-NP', 'I-cell_line')
('NIH3T3', 'NIH3T3', 'NN', 'I-NP', 'I-cell_line')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_line')
('as', 'as', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('system.', 'system.', 'NN', 'I-NP', 'O')
We have identified 8751 differentially expressed genes in    the immortalization/transformation model by multivariate    permutation F-test (95% confidence, FDR <0.01).
('We', 'We', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('identified', 'identify', 'VBN', 'I-VP', 'O')
('8751', '8751', 'CD', 'B-NP', 'B-DNA')
('differentially', 'differentially', 'RB', 'I-NP', 'I-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'B-NP', 'I-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('immortalization/transformation', 'immortalization/transformation', 'NN', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('multivariate', 'multivariate', 'JJ', 'B-NP', 'O')
('permutation', 'permutation', 'NN', 'I-NP', 'O')
('F-test', 'F-test', 'NN', 'I-NP', 'O')
('(95%', '(95%', 'NN', 'I-NP', 'O')
('confidence,', 'confidence,', 'VBD', 'B-VP', 'O')
('FDR', 'FDR', 'NN', 'B-NP', 'B-protein')
('<0.01).', '<0.01).', '.', 'O', 'O')
Using the support vector machine algorithm, we selected 13 discriminative genes which could be used to predict immortalization and transformation with perfect accuracy.
('Using', 'Use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('support', 'support', 'NN', 'I-NP', 'O')
('vector', 'vector', 'NN', 'I-NP', 'O')
('machine', 'machine', 'NN', 'I-NP', 'O')
('algorithm,', 'algorithm,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('selected', 'select', 'VBD', 'B-VP', 'O')
('13', '13', 'CD', 'B-NP', 'B-DNA')
('discriminative', 'discriminative', 'JJ', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('which', 'which', 'WDT', 'B-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('predict', 'predict', 'VB', 'I-VP', 'O')
('immortalization', 'immortalization', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('perfect', 'perfect', 'JJ', 'B-NP', 'O')
('accuracy.', 'accuracy.', 'NN', 'I-NP', 'O')
We assayed H- ras -transfected “transformed” cells to validate our immortalization/transformation classification system.
('We', 'We', 'PRP', 'B-NP', 'O')
('assayed', 'assay', 'VBD', 'B-VP', 'O')
('H-', 'H-', 'NN', 'B-NP', 'B-cell_line')
('ras', 'ras', 'NN', 'I-NP', 'I-cell_line')
('-transfected', '-transfected', 'JJ', 'I-NP', 'I-cell_line')
('“transformed”', '“transformed”', 'NN', 'I-NP', 'I-cell_line')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_line')
('to', 'to', 'TO', 'B-VP', 'O')
('validate', 'validate', 'VB', 'I-VP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('immortalization/transformation', 'immortalization/transformation', 'NN', 'I-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('system.', 'system.', 'NN', 'I-NP', 'O')
The selected molecular markers generated valuable additional information for tumor diagnosis, prognosis and therapy development.
('The', 'The', 'DT', 'B-NP', 'O')
('selected', 'select', 'VBN', 'I-NP', 'O')
('molecular', 'molecular', 'JJ', 'I-NP', 'O')
('markers', 'marker', 'NNS', 'I-NP', 'O')
('generated', 'generate', 'VBD', 'B-VP', 'O')
('valuable', 'valuable', 'JJ', 'B-NP', 'O')
('additional', 'additional', 'JJ', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('tumor', 'tumor', 'NN', 'B-NP', 'O')
('diagnosis,', 'diagnosis,', 'NN', 'I-NP', 'O')
('prognosis', 'prognosis', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('therapy', 'therapy', 'NN', 'I-NP', 'O')
('development.', 'development.', 'NN', 'I-NP', 'O')
Cell    substrates    can    be    used    to    produce recombinantvaccines or proteins for therapeutics.
('Cell', 'Cell', 'NN', 'B-NP', 'O')
('substrates', 'substrate', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('produce', 'produce', 'VB', 'I-VP', 'O')
('recombinant', 'recombinant', 'JJ', 'B-NP', 'B-protein')
('vaccines', 'vaccine', 'NNS', 'I-NP', 'I-protein')
('or', 'or', 'CC', 'I-NP', 'I-protein')
('proteins', 'protein', 'NNS', 'I-NP', 'I-protein')
('for', 'for', 'IN', 'B-PP', 'O')
('therapeutics.', 'therapeutics.', 'NN', 'B-NP', 'O')
Although the number of residual cells, substrates and adventitious materials is usually minimal in the final products, we need to check whether these substances can lead to transformation and tumors in recipients.
('Although', 'Although', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('residual', 'residual', 'JJ', 'B-NP', 'O')
('cells,', 'cells,', 'NN', 'I-NP', 'O')
('substrates', 'substrate', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('adventitious', 'adventitious', 'JJ', 'B-NP', 'O')
('materials', 'material', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('usually', 'usually', 'RB', 'B-ADJP', 'O')
('minimal', 'minimal', 'JJ', 'I-ADJP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('final', 'final', 'JJ', 'I-NP', 'O')
('products,', 'products,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('need', 'need', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('check', 'check', 'VB', 'I-VP', 'O')
('whether', 'whether', 'IN', 'B-SBAR', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('substances', 'substance', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('lead', 'lead', 'VB', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('transformation', 'transformation', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('tumors', 'tumor', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('recipients.', 'recipients.', 'NN', 'B-NP', 'O')
To check the tumorigenic potential of cell substrates, it is necessary to check the tumorigenicity in vivo using immunocomprimized animal models such as Balb/c-nu    mice.
('To', 'To', 'TO', 'B-VP', 'O')
('check', 'check', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tumorigenic', 'tumorigenic', 'JJ', 'I-NP', 'O')
('potential', 'potential', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'O')
('substrates,', 'substrates,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('necessary', 'necessary', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('check', 'check', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tumorigenicity', 'tumorigenicity', 'NN', 'I-NP', 'O')
('in', 'in', 'FW', 'B-ADVP', 'O')
('vivo', 'vivo', 'FW', 'I-ADVP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('immunocomprimized', 'immunocomprimized', 'JJ', 'B-NP', 'O')
('animal', 'animal', 'NN', 'I-NP', 'O')
('models', 'model', 'NNS', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('Balb/c-nu', 'Balb/c-nu', 'JJ', 'B-NP', 'O')
('mice.', 'mice.', 'NNS', 'I-NP', 'O')
However,    these    methods    are    time consuming and expensive making it impractical to test cell substrates candidates in this way.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('time', 'time', 'NN', 'B-NP', 'O')
('consuming', 'consuming', 'JJ', 'B-ADJP', 'O')
('and', 'and', 'CC', 'I-ADJP', 'O')
('expensive', 'expensive', 'JJ', 'I-ADJP', 'O')
('making', 'make', 'VBG', 'B-VP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('impractical', 'impractical', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('test', 'test', 'VB', 'I-VP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'O')
('substrates', 'substrate', 'NNS', 'I-NP', 'O')
('candidates', 'candidate', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('way.', 'way.', 'NN', 'I-NP', 'O')
By using biomarkers for cellular    transformation    we    can    classify    cell    substrates according to their transforming potentials without the need for costly animal testing.
('By', 'By', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('biomarkers', 'biomarker', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('cellular', 'cellular', 'JJ', 'B-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('classify', 'classify', 'VB', 'I-VP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'O')
('substrates', 'substrate', 'NNS', 'I-NP', 'O')
('according', 'accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('transforming', 'transform', 'VBG', 'I-NP', 'O')
('potentials', 'potential', 'NNS', 'I-NP', 'O')
('without', 'without', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('need', 'need', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('costly', 'costly', 'JJ', 'B-NP', 'O')
('animal', 'animal', 'NN', 'I-NP', 'O')
('testing.', 'testing.', 'NN', 'I-NP', 'O')
Normal diploid cells can divide a limited number of times before entering into an irreversible growth arrest termed replicative senescence (Hayflick, 1965).
('Normal', 'Normal', 'JJ', 'B-NP', 'B-cell_type')
('diploid', 'diploid', 'JJ', 'I-NP', 'I-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('can', 'can', 'MD', 'B-VP', 'O')
('divide', 'divide', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('limited', 'limit', 'VBN', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('times', 'time', 'NNS', 'B-NP', 'O')
('before', 'before', 'IN', 'B-PP', 'O')
('entering', 'enter', 'VBG', 'B-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('irreversible', 'irreversible', 'JJ', 'I-NP', 'O')
('growth', 'growth', 'NN', 'I-NP', 'O')
('arrest', 'arrest', 'NN', 'I-NP', 'O')
('termed', 'term', 'VBN', 'B-VP', 'O')
('replicative', 'replicative', 'JJ', 'B-NP', 'O')
('senescence', 'senescence', 'NN', 'I-NP', 'O')
('(Hayflick,', '(Hayflick,', 'NN', 'I-NP', 'O')
('1965).', '1965).', 'CD', 'I-NP', 'O')
A small percentage of cells can acquire unlimited proliferation potential, which is a key step in tumorigenesis (Greider, 1999).
('A', 'A', 'DT', 'B-NP', 'O')
('small', 'small', 'JJ', 'I-NP', 'O')
('percentage', 'percentage', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cells', 'cell', 'NNS', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('acquire', 'acquire', 'VB', 'I-VP', 'O')
('unlimited', 'unlimited', 'JJ', 'B-NP', 'O')
('proliferation', 'proliferation', 'NN', 'I-NP', 'O')
('potential,', 'potential,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('key', 'key', 'JJ', 'I-NP', 'O')
('step', 'step', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('tumorigenesis', 'tumorigenesis', 'NN', 'B-NP', 'O')
('(Greider,', '(Greider,', 'NN', 'I-NP', 'O')
('1999).', '1999).', 'CD', 'I-NP', 'O')
Telomerase activity has been reported to be sufficient to immortalize human diploid fibroblasts (Bodnar et al., 1998), while other studies have shown that the c~myc oncogene fulfils many of the criteria for a gene involved in the immortalization of human epithelial cells (Bouchard et al., 1998).
('Telomerase', 'Telomerase', 'NN', 'B-NP', 'B-protein')
('activity', 'activity', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('reported', 'report', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('sufficient', 'sufficient', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('immortalize', 'immortalize', 'VB', 'I-VP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-cell_type')
('diploid', 'diploid', 'JJ', 'I-NP', 'I-cell_type')
('fibroblasts', 'fibroblast', 'NNS', 'I-NP', 'I-cell_type')
('(Bodnar', '(Bodnar', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('1998),', '1998),', 'CD', 'I-NP', 'O')
('while', 'while', 'IN', 'B-SBAR', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('shown', 'show', 'VBN', 'I-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('c~myc', 'c~myc', 'NN', 'I-NP', 'O')
('oncogene', 'oncogene', 'NN', 'I-NP', 'O')
('fulfils', 'fulfil', 'NNS', 'I-NP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('criteria', 'criterion', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('involved', 'involve', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('immortalization', 'immortalization', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-cell_type')
('epithelial', 'epithelial', 'JJ', 'I-NP', 'I-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('(Bouchard', '(Bouchard', 'NNP', 'B-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1998).', '1998).', 'CD', 'B-NP', 'O')
Signaling from the small GTPase, Ras, has been under intense investigation over the past decade due to its involvement in mediating the pathways that control transcriptional activation.
('Signaling', 'Signal', 'VBG', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('small', 'small', 'JJ', 'I-NP', 'O')
('GTPase,', 'GTPase,', 'NN', 'I-NP', 'O')
('Ras,', 'Ras,', 'NN', 'I-NP', 'B-protein')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('intense', 'intense', 'JJ', 'B-NP', 'O')
('investigation', 'investigation', 'NN', 'I-NP', 'O')
('over', 'over', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('past', 'past', 'JJ', 'I-NP', 'O')
('decade', 'decade', 'NN', 'I-NP', 'O')
('due', 'due', 'IN', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('involvement', 'involvement', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('mediating', 'mediate', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('control', 'control', 'VBP', 'B-VP', 'O')
('transcriptional', 'transcriptional', 'JJ', 'B-NP', 'O')
('activation.', 'activation.', 'NN', 'I-NP', 'O')
The pathways include mediators of critical and diverse cellular functions such as proliferation, development, differentiation, and apoptosis (Ayllon and Rebollo, 2000).
('The', 'The', 'DT', 'B-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('include', 'include', 'VBP', 'B-VP', 'O')
('mediators', 'mediator', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('critical', 'critical', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('diverse', 'diverse', 'JJ', 'I-NP', 'O')
('cellular', 'cellular', 'JJ', 'I-NP', 'O')
('functions', 'function', 'NNS', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('proliferation,', 'proliferation,', 'NN', 'B-NP', 'O')
('development,', 'development,', 'NN', 'I-NP', 'O')
('differentiation,', 'differentiation,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('apoptosis', 'apoptosis', 'NN', 'I-NP', 'O')
('(Ayllon', '(Ayllon', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Rebollo,', 'Rebollo,', 'NNP', 'B-NP', 'O')
('2000).', '2000).', 'CD', 'I-NP', 'O')
Mutations conferring constitutive activation of Ras occur frequently in many types of human cancers (Bos, 1989).
('Mutations', 'Mutation', 'NNS', 'B-NP', 'O')
('conferring', 'confer', 'VBG', 'B-VP', 'O')
('constitutive', 'constitutive', 'JJ', 'B-NP', 'O')
('activation', 'activation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Ras', 'Ras', 'NN', 'B-NP', 'B-protein')
('occur', 'occur', 'VBP', 'B-VP', 'O')
('frequently', 'frequently', 'RB', 'B-ADVP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('(Bos,', '(Bos,', 'IN', 'B-PP', 'O')
('1989).', '1989).', 'CD', 'B-NP', 'O')
Signaling pathways downstream of Ras have been fairly well defined, and their contribution to Ras- mediated transformation has been studied extensively.
('Signaling', 'Signaling', 'NN', 'B-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('downstream', 'downstream', 'JJ', 'B-ADJP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Ras', 'Ras', 'NN', 'B-NP', 'B-protein')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('fairly', 'fairly', 'RB', 'I-VP', 'O')
('well', 'well', 'RB', 'I-VP', 'O')
('defined,', 'defined,', 'VB', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('contribution', 'contribution', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('Ras-', 'Ras-', 'NN', 'B-NP', 'O')
('mediated', 'mediate', 'VBN', 'I-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('studied', 'study', 'VBN', 'I-VP', 'O')
('extensively.', 'extensively.', 'NN', 'B-NP', 'O')
With    the    aim    of    reconstructing    tumorigenesis,    we have used mouse fibroblast NIH3T3 cells to establish models for immortalization and transformation by c~myc and/or H-ras V12 .
('With', 'With', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('aim', 'aim', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('reconstructing', 'reconstruct', 'VBG', 'B-VP', 'O')
('tumorigenesis,', 'tumorigenesis,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('mouse', 'mouse', 'NN', 'B-NP', 'B-cell_line')
('fibroblast', 'fibroblast', 'NN', 'I-NP', 'I-cell_line')
('NIH3T3', 'NIH3T3', 'NN', 'I-NP', 'I-cell_line')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_line')
('to', 'to', 'TO', 'B-VP', 'O')
('establish', 'establish', 'VB', 'I-VP', 'O')
('models', 'model', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('immortalization', 'immortalization', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('c~myc', 'c~myc', 'NN', 'B-NP', 'O')
('and/or', 'and/or', 'CC', 'I-NP', 'O')
