Estimating the Genetic Epidemiology Parameters of Selected Cancers in Korea Population - The Korean Twin Study -The Korean Twin Register (n=154,783 pairs) wasreported in 2002 as the first nationwide twin study in Korea and the largest study in Asia.
('Estimating', 'Estimate', 'VBG', 'B-VP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('familial', 'familial', 'JJ', 'B-NP', 'O')
('aggregation', 'aggregation', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('unclear', 'unclear', 'JJ', 'B-NP', 'O')
('(stomach', '(stomach', 'NN', 'I-NP', 'O')
('cancer)', 'cancer)', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('examined', 'examine', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('familial', 'familial', 'JJ', 'I-NP', 'O')
('recurrence', 'recurrence', 'NN', 'I-NP', 'O')
('risks.', 'risks.', 'NN', 'I-NP', 'O')
There were 699 stomach cancers, 438 breast and 491 colorectal cancers cases in the twin register between 1991 and 2003.
('There', 'There', 'EX', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('699', '699', 'CD', 'B-NP', 'O')
('stomach', 'stomach', 'NN', 'I-NP', 'O')
('cancers,', 'cancers,', 'NN', 'I-NP', 'O')
('438', '438', 'CD', 'I-NP', 'O')
('breast', 'breast', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('491', '491', 'CD', 'B-NP', 'O')
('colorectal', 'colorectal', 'JJ', 'I-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('twin', 'twin', 'NN', 'I-NP', 'O')
('register', 'register', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('1991', '1991', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('2003.', '2003.', 'CD', 'I-NP', 'O')
Like-sex twins showed recurrence risks (X ls ) of 5.1 (95% Cl 3.7 - 6.9) for stomach cancers, 15.5 (95% Cl 10.9-20.2) for female breast cancers, and 28.1 (95% Cl 23.5-34.4) for colon cancers.
('Like-sex', 'Like-sex', 'NN', 'B-NP', 'O')
('twins', 'twin', 'NNS', 'I-NP', 'O')
('showed', 'show', 'VBD', 'B-VP', 'O')
('recurrence', 'recurrence', 'NN', 'B-NP', 'O')
('risks', 'risk', 'NNS', 'I-NP', 'O')
('(X', '(X', 'NN', 'I-NP', 'B-protein')
('ls', 'l', 'NNS', 'I-NP', 'I-protein')
(')', ')', ')', 'O', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('5.1', '5.1', 'CD', 'B-NP', 'O')
('(95%', '(95%', 'NN', 'I-NP', 'O')
('Cl', 'Cl', 'NN', 'I-NP', 'O')
('3.7', '3.7', 'CD', 'I-NP', 'O')
('-', '-', 'HYPH', 'I-NP', 'O')
('6.9)', '6.9)', 'CD', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('stomach', 'stomach', 'NN', 'B-NP', 'O')
('cancers,', 'cancers,', 'NN', 'I-NP', 'O')
('15.5', '15.5', 'CD', 'I-NP', 'O')
('(95%', '(95%', 'NN', 'I-NP', 'O')
('Cl', 'Cl', 'NN', 'I-NP', 'O')
('10.9-20.2)', '10.9-20.2)', 'CD', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('female', 'female', 'JJ', 'B-NP', 'O')
('breast', 'breast', 'NN', 'I-NP', 'O')
('cancers,', 'cancers,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('28.1', '28.1', 'CD', 'B-NP', 'O')
('(95%', '(95%', 'NN', 'I-NP', 'O')
('Cl', 'Cl', 'NN', 'I-NP', 'O')
('23.5-34.4)', '23.5-34.4)', 'CD', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('colon', 'colon', 'NN', 'B-NP', 'O')
('cancers.', 'cancers.', 'NNS', 'I-NP', 'O')
Colorectal cancers of female like-sex twins show significantly higher familial recurrence risk 40.7 (95% Cl 34.6-47.4), suggesting higher genetic contribution in women than in men.
('Colorectal', 'Colorectal', 'JJ', 'B-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('female', 'female', 'JJ', 'B-NP', 'O')
('like-sex', 'like-sex', 'NN', 'I-NP', 'O')
('twins', 'twin', 'NNS', 'I-NP', 'O')
('show', 'show', 'VBP', 'B-VP', 'O')
('significantly', 'significantly', 'RB', 'B-NP', 'O')
('higher', 'high', 'JJR', 'I-NP', 'O')
('familial', 'familial', 'JJ', 'I-NP', 'O')
('recurrence', 'recurrence', 'NN', 'I-NP', 'O')
('risk', 'risk', 'NN', 'I-NP', 'O')
('40.7', '40.7', 'CD', 'I-NP', 'O')
('(95%', '(95%', 'NN', 'I-NP', 'O')
('Cl', 'Cl', 'NN', 'I-NP', 'O')
('34.6-47.4),', '34.6-47.4),', 'CD', 'I-NP', 'O')
('suggesting', 'suggest', 'VBG', 'B-VP', 'O')
('higher', 'high', 'JJR', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('contribution', 'contribution', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('women', 'woman', 'NNS', 'B-NP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('men.', 'men.', 'NN', 'B-NP', 'O')
The results show increased familial risks compared with previous studies from the same register and are largely compatible with other studies.
('The', 'The', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('show', 'show', 'VBP', 'B-VP', 'O')
('increased', 'increase', 'VBN', 'I-VP', 'O')
('familial', 'familial', 'JJ', 'B-NP', 'O')
('risks', 'risk', 'NNS', 'I-NP', 'O')
('compared', 'compare', 'VBN', 'B-PP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('previous', 'previous', 'JJ', 'B-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('register', 'register', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('largely', 'largely', 'RB', 'B-ADJP', 'O')
('compatible', 'compatible', 'JJ', 'I-ADJP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('studies.', 'studies.', 'NNS', 'I-NP', 'O')
The data of the Twin Register could be used for estimating population level genetic parameters, as well as base of the various studies.
('The', 'The', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Twin', 'Twin', 'NNP', 'I-NP', 'O')
('Register', 'Register', 'NNP', 'I-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('estimating', 'estimate', 'VBG', 'B-NP', 'O')
('population', 'population', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('parameters,', 'parameters,', 'NN', 'I-NP', 'O')
('as', 'as', 'RB', 'B-CONJP', 'O')
('well', 'well', 'RB', 'I-CONJP', 'O')
('as', 'as', 'IN', 'I-CONJP', 'O')
('base', 'base', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('various', 'various', 'JJ', 'I-NP', 'O')
('studies.', 'studies.', 'NNS', 'I-NP', 'O')
There is growing body of evidence that a range of environmental and genetic risk factors contribute to the etiology of cancers.
('There', 'There', 'EX', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('growing', 'grow', 'VBG', 'I-VP', 'O')
('body', 'body', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('evidence', 'evidence', 'NN', 'B-NP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('range', 'range', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('environmental', 'environmental', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('risk', 'risk', 'NN', 'I-NP', 'O')
('factors', 'factor', 'NNS', 'I-NP', 'O')
('contribute', 'contribute', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('etiology', 'etiology', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cancers.', 'cancers.', 'NN', 'B-NP', 'O')
In addition, epigenetic mechanisms,such as imprinting and DNA methylation are also known to be involved (Shields and Harris, 1991; Feinberg, 2004).
('In', 'In', 'IN', 'B-PP', 'O')
('addition,', 'addition,', 'NN', 'B-NP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'I-NP', 'O')
('mechanisms,', 'mechanisms,', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('imprinting', 'imprinting', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'O')
('methylation', 'methylation', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('known', 'know', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('involved', 'involve', 'VBN', 'I-VP', 'O')
('(Shields', '(Shields', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Harris,', 'Harris,', 'NNP', 'B-NP', 'O')
('1991;', '1991;', 'CD', 'I-NP', 'O')
('Feinberg,', 'Feinberg,', 'NNP', 'I-NP', 'O')
('2004).', '2004).', 'CD', 'I-NP', 'O')
Efforts to elucidate the genetic cause of cancers have continued, to successfully find genetic variations responsible for certain familial cancers: BRCA1, BRCA2, genes for familial adenomatous polyposis (FAP), attenuated familial adenomatous polyposis (AFAP), and hereditary non-polyposis colorectal cancer (HNPCC), (Varesco, 2004; Jo and Chung, 2005).
('Efforts', 'Effort', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('elucidate', 'elucidate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('cause', 'cause', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cancers', 'cancer', 'NNS', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('continued,', 'continued,', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('successfully', 'successfully', 'RB', 'I-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('variations', 'variation', 'NNS', 'I-NP', 'O')
('responsible', 'responsible', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('certain', 'certain', 'JJ', 'B-NP', 'O')
('familial', 'familial', 'JJ', 'I-NP', 'O')
('cancers:', 'cancers:', 'NN', 'I-NP', 'O')
('BRCA1,', 'BRCA1,', 'NN', 'I-NP', 'O')
('BRCA2,', 'BRCA2,', 'NN', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('familial', 'familial', 'JJ', 'B-NP', 'O')
('adenomatous', 'adenomatous', 'JJ', 'I-NP', 'O')
('polyposis', 'polyposis', 'NN', 'I-NP', 'O')
('(FAP),', '(FAP),', 'NN', 'I-NP', 'O')
('attenuated', 'attenuate', 'VBD', 'B-VP', 'O')
('familial', 'familial', 'JJ', 'B-NP', 'O')
('adenomatous', 'adenomatous', 'JJ', 'I-NP', 'O')
('polyposis', 'polyposis', 'NN', 'I-NP', 'O')
('(AFAP),', '(AFAP),', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('hereditary', 'hereditary', 'JJ', 'B-NP', 'O')
('non-polyposis', 'non-polyposis', 'JJ', 'I-NP', 'O')
('colorectal', 'colorectal', 'JJ', 'I-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('(HNPCC),', '(HNPCC),', 'NNP', 'I-NP', 'O')
('(Varesco,', '(Varesco,', 'NNP', 'I-NP', 'O')
('2004;', '2004;', ':', 'O', 'O')
('Jo', 'Jo', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Chung,', 'Chung,', 'NNP', 'B-NP', 'O')
('2005).', '2005).', 'CD', 'I-NP', 'O')
And molecular genetic studies to characterize discovered genetic variations are underway.
('And', 'And', 'CC', 'O', 'O')
('molecular', 'molecular', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('characterize', 'characterize', 'VB', 'I-VP', 'O')
('discovered', 'discover', 'VBN', 'I-VP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('variations', 'variation', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('underway.', 'underway.', 'JJ', 'B-ADJP', 'O')
These rare genetic variations are known to have high penetrance, so that almost 100% of those who carry the genetic variation would develop the cancers.
('These', 'These', 'DT', 'B-NP', 'O')
('rare', 'rare', 'JJ', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('variations', 'variation', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('known', 'know', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('high', 'high', 'JJ', 'B-NP', 'O')
('penetrance,', 'penetrance,', 'NN', 'I-NP', 'O')
('so', 'so', 'IN', 'B-SBAR', 'O')
('that', 'that', 'IN', 'I-SBAR', 'O')
('almost', 'almost', 'RB', 'B-NP', 'O')
('100%', '100%', 'CD', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('those', 'those', 'DT', 'B-NP', 'O')
('who', 'who', 'WP', 'B-NP', 'O')
('carry', 'carry', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('variation', 'variation', 'NN', 'I-NP', 'O')
('would', 'would', 'MD', 'B-VP', 'O')
('develop', 'develop', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('cancers.', 'cancers.', 'NN', 'I-NP', 'O')
However, in general population, carriers of those genetic variations are very rare, and even among the breast or colorectal cancer patients, those genes comprise less than 3-10% (Varesco, 2004; Jo and Chung, 2005).
('However,', 'However,', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('general', 'general', 'JJ', 'B-NP', 'O')
('population,', 'population,', 'NN', 'I-NP', 'O')
('carriers', 'carrier', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('those', 'those', 'DT', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('variations', 'variation', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('very', 'very', 'RB', 'B-ADJP', 'O')
('rare,', 'rare,', 'JJ', 'I-ADJP', 'O')
('and', 'and', 'CC', 'O', 'O')
('even', 'even', 'RB', 'B-ADVP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('breast', 'breast', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('colorectal', 'colorectal', 'JJ', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('patients,', 'patients,', 'NN', 'I-NP', 'O')
('those', 'those', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('comprise', 'comprise', 'VBP', 'B-VP', 'O')
('less', 'less', 'JJR', 'B-ADJP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('3-10%', '3-10%', 'JJ', 'B-NP', 'O')
('(Varesco,', '(Varesco,', 'NNP', 'I-NP', 'O')
('2004;', '2004;', ':', 'O', 'O')
('Jo', 'Jo', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Chung,', 'Chung,', 'NNP', 'B-NP', 'O')
('2005).', '2005).', 'CD', 'I-NP', 'O')
Genetic variations with high penetrance, but low frequency can only explain small proportion of total cancers.
('Genetic', 'Genetic', 'JJ', 'B-NP', 'O')
('variations', 'variation', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('high', 'high', 'JJ', 'B-NP', 'O')
('penetrance,', 'penetrance,', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('low', 'low', 'JJ', 'B-NP', 'O')
('frequency', 'frequency', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('only', 'only', 'RB', 'I-VP', 'O')
('explain', 'explain', 'VB', 'I-VP', 'O')
('small', 'small', 'JJ', 'B-NP', 'O')
('proportion', 'proportion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('total', 'total', 'JJ', 'B-NP', 'O')
('cancers.', 'cancers.', 'NNS', 'I-NP', 'O')
This, however, does not necessarily imply that environments are overwhelming cause of cancers, as was previously advocated (Fearon, 1997).
('This,', 'This,', 'DT', 'B-NP', 'O')
('however,', 'however,', 'NN', 'I-NP', 'O')
('does', 'do', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('necessarily', 'necessarily', 'RB', 'I-VP', 'O')
('imply', 'imply', 'VB', 'I-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('environments', 'environment', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('overwhelming', 'overwhelming', 'JJ', 'B-NP', 'O')
('cause', 'cause', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cancers,', 'cancers,', 'NN', 'B-NP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('previously', 'previously', 'RB', 'I-VP', 'O')
('advocated', 'advocate', 'VBN', 'I-VP', 'O')
('(Fearon,', '(Fearon,', 'NN', 'B-NP', 'O')
('1997).', '1997).', 'CD', 'I-NP', 'O')
So far, the roles of genetic variations with high frequency and low penetrance, recessively transmitted genes, and oncogenes expressed as a consequence of sequential genetic actions are largely unknown (Feinberg, 2004; Lichtenstein etal., 2000).
('So', 'So', 'RB', 'O', 'O')
('far,', 'far,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('roles', 'role', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('variations', 'variation', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('high', 'high', 'JJ', 'B-NP', 'O')
('frequency', 'frequency', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('low', 'low', 'JJ', 'B-NP', 'O')
('penetrance,', 'penetrance,', 'NN', 'I-NP', 'O')
('recessively', 'recessively', 'RB', 'B-ADVP', 'O')
('transmitted', 'transmit', 'VBD', 'B-VP', 'O')
('genes,', 'genes,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('oncogenes', 'oncogene', 'NNS', 'I-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'B-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('consequence', 'consequence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('sequential', 'sequential', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('actions', 'action', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('largely', 'largely', 'RB', 'B-NP', 'O')
('unknown', 'unknown', 'JJ', 'I-NP', 'O')
('(Feinberg,', '(Feinberg,', 'NNP', 'I-NP', 'O')
('2004;', '2004;', ':', 'O', 'O')
('Lichtenstein', 'Lichtenstein', 'NNP', 'B-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2000).', '2000).', '.', 'O', 'O')
It is one of the first tasks of genomic epidemiology, to assess a parameter which can quantitate the overall genetic contribution to carcinogenesis.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('tasks', 'task', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genomic', 'genomic', 'JJ', 'B-NP', 'O')
('epidemiology,', 'epidemiology,', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('assess', 'assess', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('parameter', 'parameter', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
