PrimateDB: Development of Primate Genome DB and Web ServiceThe comparative analysis of the human and primate genomes including the chimpanzee can reveal unique types of information impossible to obtain from comparing the human genome with the genomes of other vertebrates.
('PrimateDB:', 'PrimateDB:', 'NNP', 'B-NP', 'O')
('retroelements', 'retroelement', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('phylogeny.', 'phylogeny.', 'NN', 'B-NP', 'O')
The comparative analyses of more primate genomes are also being included as the long-term objective.
('The', 'The', 'DT', 'B-NP', 'O')
('comparative', 'comparative', 'JJ', 'I-NP', 'O')
('analyses', 'analysis', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('more', 'more', 'RBR', 'B-NP', 'O')
('primate', 'primate', 'JJ', 'I-NP', 'B-DNA')
('genomes', 'genome', 'NNS', 'I-NP', 'I-DNA')
('are', 'be', 'VBP', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('being', 'be', 'VBG', 'I-VP', 'O')
('included', 'include', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('long-term', 'long-term', 'JJ', 'I-NP', 'O')
('objective.', 'objective.', 'NN', 'I-NP', 'O')
After the completion of the human genome project, primate genomes including a common chimpanzee are focused for understanding the origin of humanity and human genetic diseases.
('After', 'After', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('completion', 'completion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'B-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('project,', 'project,', 'NN', 'I-NP', 'I-DNA')
('primate', 'primate', 'JJ', 'I-NP', 'I-DNA')
('genomes', 'genome', 'NNS', 'I-NP', 'I-DNA')
('including', 'include', 'VBG', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('focused', 'focus', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('understanding', 'understand', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('origin', 'origin', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('humanity', 'humanity', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('diseases.', 'diseases.', 'NNS', 'I-NP', 'O')
These genome data are being produced rapidly and massively.
('These', 'These', 'DT', 'B-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('being', 'be', 'VBG', 'I-VP', 'O')
('produced', 'produce', 'VBN', 'I-VP', 'O')
('rapidly', 'rapidly', 'RB', 'B-ADVP', 'O')
('and', 'and', 'CC', 'O', 'O')
('massively.', 'massively.', 'RB', 'O', 'O')
However, information of primate genome are scattered throughout several databases.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('primate', 'primate', 'JJ', 'B-NP', 'B-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('are', 'be', 'VBP', 'B-VP', 'O')
('scattered', 'scatter', 'VBN', 'I-VP', 'O')
('throughout', 'throughout', 'IN', 'B-PP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('databases.', 'databases.', 'NNS', 'I-NP', 'O')
There are many families of retroelements in primate genomes.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('families', 'family', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('retroelements', 'retroelement', 'NNS', 'B-NP', 'B-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('primate', 'primate', 'JJ', 'B-NP', 'O')
('genomes.', 'genomes.', 'NNS', 'I-NP', 'O')
As the most successful short interspersed elements (SINEs) in primate genomes, Alu elements have had remarkable proliferation during the primateradiation and have expanded to more than one million repetitive elements dispersed throughout the human genome (Batzer and Deininger, 2002).
('As', 'As', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('successful', 'successful', 'JJ', 'I-NP', 'O')
('short', 'short', 'JJ', 'I-NP', 'O')
('interspersed', 'interspersed', 'JJ', 'I-NP', 'O')
('elements', 'element', 'NNS', 'I-NP', 'O')
('(SINEs)', '(SINEs)', 'NN', 'I-NP', 'B-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('primate', 'primate', 'JJ', 'B-NP', 'B-DNA')
('genomes,', 'genomes,', 'NN', 'I-NP', 'I-DNA')
('Alu', 'Alu', 'NN', 'I-NP', 'I-DNA')
('elements', 'element', 'NNS', 'I-NP', 'I-DNA')
('have', 'have', 'VBP', 'B-VP', 'O')
('had', 'have', 'VBN', 'I-VP', 'O')
('remarkable', 'remarkable', 'JJ', 'B-NP', 'O')
('proliferation', 'proliferation', 'NN', 'I-NP', 'O')
('during', 'during', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('primate', 'primate', 'JJ', 'I-NP', 'O')
('radiation', 'radiation', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('expanded', 'expand', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('more', 'more', 'JJR', 'B-NP', 'O')
('than', 'than', 'IN', 'I-NP', 'O')
('one', 'one', 'CD', 'I-NP', 'O')
('million', 'million', 'CD', 'I-NP', 'B-DNA')
('repetitive', 'repetitive', 'JJ', 'I-NP', 'I-DNA')
('elements', 'element', 'NNS', 'I-NP', 'I-DNA')
('dispersed', 'disperse', 'VBN', 'B-VP', 'O')
('throughout', 'throughout', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'B-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('(Batzer', '(Batzer', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Deininger,', 'Deininger,', 'NNP', 'B-NP', 'O')
('2002).', '2002).', 'CD', 'I-NP', 'O')
Among Alu repeat subfamily, AluY elements might be contributed the driving force for speciation between human and chimpanzee from the common ancestor (Sakaki et al., 2003; Watanabe et al., 2004)We constructed a database, PrimateDB that integrates primate genomic data and provides several analyzed data on whole-genome scale by bioinformatics methods.
('Among', 'Among', 'IN', 'B-PP', 'O')
('Alu', 'Alu', 'NN', 'B-NP', 'B-DNA')
('repeat', 'repeat', 'NN', 'I-NP', 'I-DNA')
('subfamily,', 'subfamily,', 'NN', 'I-NP', 'I-DNA')
('AluY', 'AluY', 'NN', 'I-NP', 'I-DNA')
('elements', 'element', 'NNS', 'I-NP', 'I-DNA')
('might', 'might', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('contributed', 'contribute', 'VBN', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('driving', 'drive', 'VBG', 'I-NP', 'O')
('force', 'force', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('speciation', 'speciation', 'NN', 'B-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('ancestor', 'ancestor', 'NN', 'I-NP', 'O')
('(Sakaki', '(Sakaki', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2003;', '2003;', ':', 'O', 'O')
('Watanabe', 'Watanabe', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2004)', '2004)', 'CD', 'I-NP', 'O')
('We', 'We', 'PRP', 'B-NP', 'O')
('constructed', 'construct', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('database,', 'database,', 'NN', 'I-NP', 'O')
('PrimateDB', 'PrimateDB', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('integrates', 'integrate', 'VBZ', 'B-VP', 'O')
('primate', 'primate', 'JJ', 'B-NP', 'O')
('genomic', 'genomic', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('analyzed', 'analyze', 'VBN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('whole-genome', 'whole-genome', 'JJ', 'B-NP', 'O')
('scale', 'scale', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('bioinformatics', 'bioinformatic', 'NNS', 'B-NP', 'O')
('methods.', 'methods.', 'NN', 'B-NP', 'O')
In addition the user can easily search variable information about the genomes of primate including genome sequence, annotation information, retroelement information by using the database.
('In', 'In', 'IN', 'B-PP', 'O')
('addition', 'addition', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('easily', 'easily', 'RB', 'I-VP', 'O')
('search', 'search', 'VB', 'I-VP', 'O')
('variable', 'variable', 'JJ', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('about', 'about', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genomes', 'genome', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('primate', 'primate', 'JJ', 'B-NP', 'O')
('including', 'include', 'VBG', 'I-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('sequence,', 'sequence,', 'NN', 'I-NP', 'O')
('annotation', 'annotation', 'NN', 'I-NP', 'O')
('information,', 'information,', 'NN', 'I-NP', 'O')
('retroelement', 'retroelement', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('database.', 'database.', 'NN', 'I-NP', 'O')
The primate genome database was implemented using the Select Query Language (SQL) from the MySQL database server.
('The', 'The', 'DT', 'B-NP', 'O')
('primate', 'primate', 'JJ', 'I-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('implemented', 'implement', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Select', 'Select', 'NNP', 'I-NP', 'O')
('Query', 'Query', 'NNP', 'I-NP', 'O')
('Language', 'Language', 'NNP', 'I-NP', 'O')
('(SQL)', '(SQL)', 'NNP', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('MySQL', 'MySQL', 'NN', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('server.', 'server.', 'NN', 'I-NP', 'O')
Whole genome sequence data of primate mainly from common chimpanzee weredownloaded from Trace archive of NCBI (http://www.
('Whole', 'Whole', 'JJ', 'B-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('primate', 'primate', 'NN', 'B-NP', 'O')
('mainly', 'mainly', 'RB', 'B-ADVP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('common', 'common', 'JJ', 'B-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('downloaded', 'downloade', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('Trace', 'Trace', 'NNP', 'B-NP', 'O')
('archive', 'archive', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('NCBI', 'NCBI', 'NNP', 'B-NP', 'O')
('(http://www.', '(http://www.', 'NNP', 'I-NP', 'O')
ncbi.nih.gov/rraces/trace.cgi) and local alignment with human chromosomes was done by using BLAT (Kent, 2002).
('ncbi.nih.gov/rraces/trace.cgi)', 'ncbi.nih.gov/rraces/trace.cgi)', 'LS', 'B-LST', 'O')
('and', 'and', 'CC', 'O', 'O')
('local', 'local', 'JJ', 'B-NP', 'O')
('alignment', 'alignment', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-DNA')
('chromosomes', 'chromosome', 'NNS', 'I-NP', 'I-DNA')
('was', 'be', 'VBD', 'B-VP', 'O')
('done', 'do', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('BLAT', 'BLAT', 'NNP', 'B-NP', 'O')
('(Kent,', '(Kent,', 'NNP', 'I-NP', 'O')
('2002).', '2002).', '.', 'O', 'O')
The database relies on the build 30 of NCBI human genome and will be updated with each new release.
('The', 'The', 'DT', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('relies', 'rely', 'VBZ', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('build', 'build', 'NN', 'I-NP', 'O')
('30', '30', 'CD', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('NCBI', 'NCBI', 'NNP', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'B-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('updated', 'update', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('new', 'new', 'JJ', 'I-NP', 'O')
('release.', 'release.', 'NN', 'I-NP', 'O')
The pre-dataset of each chromosome group was assembled by using ARACHNE (Batzoglou et al., 2002; Jaffe eta!., 2003).
('The', 'The', 'DT', 'B-NP', 'O')
('pre-dataset', 'pre-dataset', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('chromosome', 'chromosome', 'NN', 'I-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('assembled', 'assemble', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('ARACHNE', 'ARACHNE', 'NNP', 'B-NP', 'O')
('(Batzoglou', '(Batzoglou', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2002;', '2002;', ':', 'O', 'O')
('Jaffe', 'Jaffe', 'NNP', 'B-NP', 'O')
('eta!.,', 'eta!.,', 'VBD', 'B-VP', 'O')
('2003).', '2003).', 'CD', 'B-NP', 'O')
For analysis of large scale data from the Trace archive an analytical pipeline was designed by Perl language.
('For', 'For', 'IN', 'B-PP', 'O')
('analysis', 'analysis', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('large', 'large', 'JJ', 'B-NP', 'O')
('scale', 'scale', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Trace', 'Trace', 'NNP', 'I-NP', 'O')
('archive', 'archive', 'VBP', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('analytical', 'analytical', 'JJ', 'I-NP', 'O')
('pipeline', 'pipeline', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('designed', 'design', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Perl', 'Perl', 'NNP', 'B-NP', 'O')
('language.', 'language.', '.', 'O', 'O')
The resulting contigs was annotated by using BLAT to UCSC Human reference sequence (hg17).
('The', 'The', 'DT', 'B-NP', 'O')
('resulting', 'result', 'VBG', 'I-NP', 'O')
('contigs', 'contig', 'NNS', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('annotated', 'annotate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('BLAT', 'BLAT', 'NN', 'B-NP', 'B-protein')
('to', 'to', 'TO', 'B-PP', 'O')
('UCSC', 'UCSC', 'NNP', 'B-NP', 'O')
('Human', 'Human', 'JJ', 'I-NP', 'B-DNA')
('reference', 'reference', 'NN', 'I-NP', 'I-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('(hg17).', '(hg17).', '.', 'O', 'O')
The assembled sequences written by Perl script were added as a customer track to UCSC genome browser and resulting data were stored in the MySQL database server (Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('assembled', 'assemble', 'VBN', 'I-NP', 'O')
('sequences', 'sequence', 'NNS', 'I-NP', 'O')
('written', 'write', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Perl', 'Perl', 'NN', 'B-NP', 'O')
('script', 'script', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('added', 'add', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('customer', 'customer', 'NN', 'I-NP', 'O')
('track', 'track', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('UCSC', 'UCSC', 'NNP', 'B-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('browser', 'browser', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('resulting', 'result', 'VBG', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('stored', 'store', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('MySQL', 'MySQL', 'NN', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('server', 'server', 'NN', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
1).
('1).', '1).', 'LS', 'B-LST', 'O')
For the comparison of disease related genes located in human chromosomes with those of primate orthologous chromosomes, complete exon sequences of disease related genes annotated at OMIM (Online Mendelian Inheritance in Man) dataset of NCBI ( http://www.ncbi.nih .
('For', 'For', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('comparison', 'comparison', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('related', 'related', 'JJ', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('located', 'locate', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-DNA')
('chromosomes', 'chromosome', 'NNS', 'I-NP', 'I-DNA')
('with', 'with', 'IN', 'B-PP', 'O')
('those', 'those', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('primate', 'primate', 'JJ', 'B-NP', 'B-DNA')
('orthologous', 'orthologous', 'JJ', 'I-NP', 'I-DNA')
('chromosomes,', 'chromosomes,', 'NN', 'I-NP', 'I-DNA')
('complete', 'complete', 'JJ', 'I-NP', 'I-DNA')
('exon', 'exon', 'NN', 'I-NP', 'I-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('of', 'of', 'IN', 'B-PP', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('related', 'related', 'JJ', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('annotated', 'annotate', 'VBN', 'B-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('OMIM', 'OMIM', 'NN', 'B-NP', 'O')
('(Online', '(Online', 'NN', 'I-NP', 'O')
('Mendelian', 'Mendelian', 'JJ', 'I-NP', 'O')
('Inheritance', 'Inheritance', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Man)', 'Man)', 'NN', 'B-NP', 'O')
('dataset', 'dataset', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('NCBI', 'NCBI', 'NN', 'B-NP', 'B-protein')
('(', '(', '(', 'O', 'O')
('http://www.ncbi.nih', 'http://www.ncbi.nih', 'NN', 'B-NP', 'O')
('.', '.', '.', 'O', 'O')
gov/ entrez/query.fcgi?db=OMIM) were used for executingphylogemc analyses by WebPHYLIP (Um and Zhang, 1999) and nucleotide substitution types were examined (Fig.
('gov/', 'gov/', 'NN', 'B-NP', 'O')
('entrez/query.fcgi?db=OMIM)', 'entrez/query.fcgi?db=OMIM)', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('executing', 'execute', 'VBG', 'B-VP', 'O')
('phylogemc', 'phylogemc', 'NN', 'B-NP', 'O')
('analyses', 'analysis', 'NNS', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('WebPHYLIP', 'WebPHYLIP', 'NNP', 'B-NP', 'O')
('(Um', '(Um', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Zhang,', 'Zhang,', 'NNP', 'B-NP', 'O')
('1999)', '1999)', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('nucleotide', 'nucleotide', 'NN', 'B-NP', 'O')
('substitution', 'substitution', 'NN', 'I-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('examined', 'examine', 'VBN', 'I-VP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
3).
('3).', '3).', 'LS', 'B-LST', 'O')
