Supervised Model for Identifying Differentially Expressed Genes in DNA Microarray Gene Expression Dataset Using Biological Pathway InformationMicroarray technology makes it possible to measure the expressions of tens of thousands of genes simultaneously under various experimental conditions.
('Supervised', 'Supervised', 'NNP', 'B-NP', 'O')
('choices', 'choice', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('thresholds', 'threshold', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('determining', 'determine', 'VBG', 'B-VP', 'O')
('differentially', 'differentially', 'RB', 'B-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('are', 'be', 'VBP', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('next-step-analysis', 'next-step-analysis', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('suitable', 'suitable', 'JJ', 'B-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('significances.', 'significances.', 'NN', 'I-NP', 'O')
We present a supervised model for identifying DEGs using pathway information based on the global connectivity structure.
('We', 'We', 'PRP', 'B-NP', 'O')
('present', 'present', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('supervised', 'supervise', 'VBN', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('identifying', 'identify', 'VBG', 'B-VP', 'O')
('DEGs', 'DEG', 'NNS', 'B-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('pathway', 'pathway', 'NN', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('global', 'global', 'JJ', 'I-NP', 'O')
('connectivity', 'connectivity', 'NN', 'I-NP', 'O')
('structure.', 'structure.', 'NN', 'I-NP', 'O')
Pathway information can be regarded as a collection of biological knowledge, thus we are trying to determine the optimal threshold so that the consequential connectivity structure can be the most compatible with the existing pathway information.
('Pathway', 'Pathway', 'NN', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('regarded', 'regard', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('collection', 'collection', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('knowledge,', 'knowledge,', 'NN', 'I-NP', 'O')
('thus', 'thus', 'RB', 'O', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('trying', 'try', 'VBG', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('optimal', 'optimal', 'JJ', 'I-NP', 'O')
('threshold', 'threshold', 'NN', 'I-NP', 'O')
('so', 'so', 'IN', 'B-SBAR', 'O')
('that', 'that', 'IN', 'I-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('consequential', 'consequential', 'JJ', 'I-NP', 'O')
('connectivity', 'connectivity', 'NN', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('compatible', 'compatible', 'JJ', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('existing', 'exist', 'VBG', 'I-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('information.', 'information.', 'NN', 'I-NP', 'O')
The significant feature of our model is that it uses established knowledge as a reference to determine the direction of analyzing microarray dataset.
('The', 'The', 'DT', 'B-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('feature', 'feature', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('uses', 'use', 'VBZ', 'B-VP', 'O')
('established', 'established', 'JJ', 'B-NP', 'O')
('knowledge', 'knowledge', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('reference', 'reference', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('direction', 'direction', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('analyzing', 'analyze', 'VBG', 'B-VP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('dataset.', 'dataset.', 'NN', 'I-NP', 'O')
In the most of previous work, only intrinsic information in the miroarray is used for the identifying DEGs.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'JJS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('previous', 'previous', 'JJ', 'B-NP', 'O')
('work,', 'work,', 'NN', 'I-NP', 'O')
('only', 'only', 'RB', 'B-NP', 'O')
('intrinsic', 'intrinsic', 'JJ', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('miroarray', 'miroarray', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('identifying', 'identify', 'VBG', 'I-NP', 'O')
('DEGs.', 'DEGs.', 'NN', 'I-NP', 'O')
We hope that our proposed method could contribute to construct biologically meaningful structure from microarray datasets.
('We', 'We', 'PRP', 'B-NP', 'O')
('hope', 'hope', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('proposed', 'propose', 'VBN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('contribute', 'contribute', 'VB', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('construct', 'construct', 'VB', 'I-VP', 'O')
('biologically', 'biologically', 'RB', 'B-NP', 'O')
('meaningful', 'meaningful', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('datasets.', 'datasets.', 'NNS', 'I-NP', 'O')
Microarray expression datasets are incessantly accumulated with the aid of recent technological advances.
('Microarray', 'Microarray', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('datasets', 'dataset', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('incessantly', 'incessantly', 'RB', 'I-VP', 'O')
('accumulated', 'accumulate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('aid', 'aid', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('recent', 'recent', 'JJ', 'B-NP', 'O')
('technological', 'technological', 'JJ', 'I-NP', 'O')
('advances.', 'advances.', 'NNS', 'I-NP', 'O')
It is widely believed that biological meaningful interpretation can beextracted from these large-scale data, using suitable and well-organized methods of analysis.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('widely', 'widely', 'RB', 'I-VP', 'O')
('believed', 'believe', 'VBN', 'I-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('meaningful', 'meaningful', 'JJ', 'I-NP', 'O')
('interpretation', 'interpretation', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('extracted', 'extract', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('large-scale', 'large-scale', 'JJ', 'I-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('suitable', 'suitable', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('well-organized', 'well-organized', 'JJ', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('analysis.', 'analysis.', 'NN', 'B-NP', 'O')
Identifying differentially expressed genes in each single experimental condition is common first step for the DNA microarray data analysis.
('Identifying', 'Identify', 'VBG', 'B-VP', 'O')
('differentially', 'differentially', 'RB', 'B-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'B-NP', 'I-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('single', 'single', 'JJ', 'I-NP', 'O')
('experimental', 'experimental', 'JJ', 'I-NP', 'O')
('condition', 'condition', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('common', 'common', 'JJ', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('step', 'step', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
Newton et al.
('Newton', 'Newton', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(Newton et al., 2001) suggested the probability model to estimate the significant changes of each probe, considering not only its expression ratio of two channels but also its variance and mean intensity of two channels.
('(Newton', '(Newton', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NN', 'I-NP', 'O')
('2001)', '2001)', 'CD', 'I-NP', 'O')
('suggested', 'suggest', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('probability', 'probability', 'NN', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('estimate', 'estimate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('changes', 'change', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('probe,', 'probe,', 'NN', 'I-NP', 'O')
('considering', 'consider', 'VBG', 'B-VP', 'O')
('not', 'not', 'RB', 'B-CONJP', 'O')
('only', 'only', 'RB', 'I-CONJP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('ratio', 'ratio', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('channels', 'channel', 'NNS', 'I-NP', 'O')
('but', 'but', 'CC', 'B-CONJP', 'O')
('also', 'also', 'RB', 'I-CONJP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('mean', 'mean', 'JJ', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('channels.', 'channels.', 'NNS', 'I-NP', 'O')
To give significant genes that discriminate given groups of experimental conditions, Iyer et al (Iyer et al., 1999) and DeRisi et al.
('To', 'To', 'TO', 'B-VP', 'O')
('give', 'give', 'VB', 'I-VP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('discriminate', 'discriminate', 'VBP', 'B-VP', 'O')
('given', 'give', 'VBN', 'I-VP', 'O')
('groups', 'group', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('experimental', 'experimental', 'JJ', 'B-NP', 'O')
('conditions,', 'conditions,', 'NN', 'I-NP', 'O')
('Iyer', 'Iyer', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al', 'al', 'FW', 'I-NP', 'O')
('(Iyer', '(Iyer', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('1999)', '1999)', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('DeRisi', 'DeRisi', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(DeRisi et al., 1997) discussed methods choosing genes that have big fold-changes, with suitable threshold, over their base line expressions.
('(DeRisi', '(DeRisi', 'NNP', 'B-NP', 'O')
('et', 'et', 'VBD', 'B-VP', 'O')
('al.,', 'al.,', 'IN', 'B-ADVP', 'O')
('1997)', '1997)', 'CD', 'B-NP', 'B-DNA')
('discussed', 'discuss', 'VBN', 'I-NP', 'I-DNA')
('methods', 'method', 'NNS', 'I-NP', 'I-DNA')
('choosing', 'choose', 'VBG', 'B-VP', 'I-DNA')
('genes', 'gene', 'NNS', 'B-NP', 'I-DNA')
('that', 'that', 'WDT', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('big', 'big', 'JJ', 'B-NP', 'O')
('fold-changes,', 'fold-changes,', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('suitable', 'suitable', 'JJ', 'B-NP', 'O')
('threshold,', 'threshold,', 'NN', 'I-NP', 'O')
('over', 'over', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('base', 'base', 'NN', 'I-NP', 'O')
('line', 'line', 'NN', 'I-NP', 'O')
('expressions.', 'expressions.', 'NN', 'I-NP', 'O')
Also several probability approaches have been proposed to detect differentially expressed genes.
('Also', 'Also', 'RB', 'B-NP', 'O')
('several', 'several', 'JJ', 'I-NP', 'O')
('probability', 'probability', 'NN', 'I-NP', 'O')
('approaches', 'approach', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('proposed', 'propose', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('detect', 'detect', 'VB', 'I-VP', 'O')
('differentially', 'differentially', 'RB', 'B-NP', 'O')
('expressed', 'express', 'VBN', 'I-NP', 'O')
('genes.', 'genes.', 'NNS', 'I-NP', 'O')
(Tusher et al., 2001; Hunter et al., 2001; Dudoit et al., 2002; Efron and Tibshirani, 2002; Zhao and Pan, 2002) But all these methods, in practical use, need to select the optimal threshold determining differentially expressed genes.
('(Tusher', '(Tusher', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2001;', '2001;', ':', 'O', 'O')
('Hunter', 'Hunter', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2001;', '2001;', ':', 'O', 'O')
('Dudoit', 'Dudoit', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2002;', '2002;', ':', 'O', 'O')
('Efron', 'Efron', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Tibshirani,', 'Tibshirani,', 'NNP', 'I-NP', 'O')
('2002;', '2002;', ':', 'O', 'O')
('Zhao', 'Zhao', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Pan,', 'Pan,', 'NNP', 'B-NP', 'O')
('2002)', '2002)', 'CD', 'I-NP', 'O')
('But', 'But', 'CC', 'O', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('these', 'these', 'DT', 'I-NP', 'O')
('methods,', 'methods,', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('practical', 'practical', 'JJ', 'B-NP', 'O')
('use,', 'use,', 'NN', 'I-NP', 'O')
('need', 'need', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('select', 'select', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('optimal', 'optimal', 'JJ', 'I-NP', 'O')
('threshold', 'threshold', 'NN', 'I-NP', 'O')
('determining', 'determine', 'VBG', 'B-VP', 'O')
('differentially', 'differentially', 'RB', 'B-NP', 'O')
('expressed', 'express', 'VBN', 'I-NP', 'O')
('genes.', 'genes.', 'NNS', 'I-NP', 'O')
On the other hands, recently there are many attempt to lead a new insight by combining multiple types of data.
('On', 'On', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('hands,', 'hands,', 'NN', 'I-NP', 'O')
('recently', 'recently', 'RB', 'B-ADVP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('attempt', 'attempt', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('lead', 'lead', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('new', 'new', 'JJ', 'I-NP', 'O')
('insight', 'insight', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('combining', 'combine', 'VBG', 'B-VP', 'O')
('multiple', 'multiple', 'JJ', 'B-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data.', 'data.', 'NN', 'B-NP', 'O')
(Yamanishi et al,.
('(Yamanishi', '(Yamanishi', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al,.', 'al,.', 'FW', 'I-NP', 'O')
2004; Kharchenko et al., 2004) Yamanishi et al.
('2004;', '2004;', ':', 'O', 'O')
('Kharchenko', 'Kharchenko', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NNP', 'I-NP', 'O')
('2004)', '2004)', 'LS', 'O', 'O')
('Yamanishi', 'Yamanishi', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
uses kernel method to predict new gene-to-gene interaction within metabolic pathway and bases it on known pathway knowledge by adopting supervised information acquired from microarray expression data.
('uses', 'use', 'NNS', 'B-NP', 'O')
('kernel', 'kernel', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('predict', 'predict', 'VB', 'I-VP', 'O')
('new', 'new', 'JJ', 'B-NP', 'O')
('gene-to-gene', 'gene-to-gene', 'JJ', 'I-NP', 'O')
('interaction', 'interaction', 'NN', 'I-NP', 'O')
('within', 'within', 'IN', 'B-PP', 'O')
('metabolic', 'metabolic', 'JJ', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('bases', 'base', 'NNS', 'B-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('known', 'know', 'VBN', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('knowledge', 'knowledge', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('adopting', 'adopt', 'VBG', 'B-VP', 'O')
('supervised', 'supervise', 'VBN', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('acquired', 'acquire', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
Kharchenko etal.
('Kharchenko', 'Kharchenko', 'NNP', 'B-NP', 'O')
('etal.', 'etal.', 'FW', 'I-NP', 'O')
compares established metabolic network with expression profiles to find genes that can complete a metabolic pathway with some participants missed.
('compares', 'compare', 'VBZ', 'B-VP', 'O')
('established', 'establish', 'VBN', 'I-VP', 'O')
('metabolic', 'metabolic', 'JJ', 'B-NP', 'O')
('network', 'network', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('expression', 'expression', 'NN', 'B-NP', 'O')
('profiles', 'profile', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('complete', 'complete', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('metabolic', 'metabolic', 'JJ', 'I-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('participants', 'participant', 'NNS', 'I-NP', 'O')
('missed.', 'missed.', 'VBP', 'B-VP', 'O')
In this paper, we present a supervised model for identifying differentially expressed genes in each condition by taking optimal threshold using pathway information based on the global connectivity structure.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper,', 'paper,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('present', 'present', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('supervised', 'supervise', 'VBN', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('identifying', 'identify', 'VBG', 'B-VP', 'O')
('differentially', 'differentially', 'RB', 'B-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'B-NP', 'I-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('condition', 'condition', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('taking', 'take', 'VBG', 'B-VP', 'O')
('optimal', 'optimal', 'JJ', 'B-NP', 'O')
('threshold', 'threshold', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('pathway', 'pathway', 'NN', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('global', 'global', 'JJ', 'I-NP', 'O')
('connectivity', 'connectivity', 'NN', 'I-NP', 'O')
('structure.', 'structure.', 'NN', 'I-NP', 'O')
