Nomogram for Predicting Survival for Oral Squamous Cell Carcinoma.
('Nomogram', 'Nomogram', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('OSCC', 'OSCC', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('practical', 'practical', 'JJ', 'B-NP', 'O')
('utility', 'utility', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('deciding', 'decide', 'VBG', 'B-VP', 'O')
('adjuvant', 'adjuvant', 'JJ', 'B-NP', 'O')
('treatment.', 'treatment.', 'NN', 'I-NP', 'O')
Oral cancer is the sixth most common cancer in men and the twelfth most common cancer in women (Sudbo and Reith, 2005).
('Oral', 'Oral', 'JJ', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sixth', 'sixth', 'JJ', 'I-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('men', 'man', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('twelfth', 'twelfth', 'JJ', 'I-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('women', 'woman', 'NNS', 'B-NP', 'O')
('(Sudbo', '(Sudbo', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Reith,', 'Reith,', 'NNP', 'I-NP', 'O')
('2005).', '2005).', 'CD', 'I-NP', 'O')
According to statistics from 1999 to 2002, the annual incidence rate of oral cancer is 5.9% in men and 2.2% in women in South Korea (based on data from the National Cancer Center in Korea).
('According', 'Accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('statistics', 'statistic', 'NNS', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('1999', '1999', 'CD', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('2002,', '2002,', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('annual', 'annual', 'JJ', 'I-NP', 'O')
('incidence', 'incidence', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('oral', 'oral', 'JJ', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('5.9%', '5.9%', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('men', 'man', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('2.2%', '2.2%', 'CD', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('women', 'woman', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('South', 'South', 'NNP', 'B-NP', 'O')
('Korea', 'Korea', 'NNP', 'I-NP', 'O')
('(based', '(base', 'VBD', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('National', 'National', 'NNP', 'I-NP', 'O')
('Cancer', 'Cancer', 'NNP', 'I-NP', 'O')
('Center', 'Center', 'NNP', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Korea).', 'Korea).', 'NNP', 'B-NP', 'O')
The approximately 90% of oral is squamous cell carcinoma (Pisani et al., 1999).
('The', 'The', 'DT', 'B-NP', 'O')
('approximately', 'approximately', 'RB', 'I-NP', 'O')
('90%', '90%', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('oral', 'oral', 'JJ', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('squamous', 'squamous', 'JJ', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('carcinoma', 'carcinoma', 'NN', 'I-NP', 'O')
('(Pisani', '(Pisani', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1999).', '1999).', 'CD', 'B-NP', 'O')
Patients with oral squamous cell carcinoma (OSCC) are often asymptomatic, but may experience minimal pain in the early stage (Epstein et al., 2007).
('Patients', 'Patient', 'NNS', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('oral', 'oral', 'JJ', 'B-NP', 'O')
('squamous', 'squamous', 'JJ', 'I-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('carcinoma', 'carcinoma', 'NN', 'I-NP', 'O')
('(OSCC)', '(OSCC)', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('often', 'often', 'RB', 'B-ADVP', 'O')
('asymptomatic,', 'asymptomatic,', 'IN', 'B-ADVP', 'O')
('but', 'but', 'CC', 'O', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('experience', 'experience', 'VB', 'I-VP', 'O')
('minimal', 'minimal', 'JJ', 'B-NP', 'O')
('pain', 'pain', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('early', 'early', 'JJ', 'I-NP', 'O')
('stage', 'stage', 'NN', 'I-NP', 'O')
('(Epstein', '(Epstein', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2007).', '2007).', 'CD', 'B-NP', 'O')
Despite the availability of advanced clinical diagnostic systems, including computed tomography (CT), magnetic resonance imaging (MRI), positron emission tomography/computed tomography (PET/CT) imaging and improved therapy, the overall 5year survival rates of OSCC over the past two decades are still poor (Myoung et al., 2006).
('Despite', 'Despite', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('availability', 'availability', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('advanced', 'advance', 'VBN', 'B-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('diagnostic', 'diagnostic', 'JJ', 'I-NP', 'O')
('systems,', 'systems,', 'NN', 'I-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('computed', 'compute', 'VBN', 'B-NP', 'O')
('tomography', 'tomography', 'NN', 'I-NP', 'O')
('(CT),', '(CT),', 'NN', 'I-NP', 'O')
('magnetic', 'magnetic', 'JJ', 'I-NP', 'O')
('resonance', 'resonance', 'NN', 'I-NP', 'O')
('imaging', 'image', 'VBG', 'B-VP', 'O')
('(MRI),', '(MRI),', 'NN', 'B-NP', 'B-protein')
('positron', 'positron', 'NN', 'I-NP', 'O')
('emission', 'emission', 'NN', 'I-NP', 'O')
('tomography/computed', 'tomography/compute', 'VBD', 'B-VP', 'O')
('tomography', 'tomography', 'NN', 'B-NP', 'O')
('(PET/CT)', '(PET/CT)', 'NN', 'I-NP', 'O')
('imaging', 'imaging', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('improved', 'improve', 'VBN', 'B-VP', 'O')
('therapy,', 'therapy,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('overall', 'overall', 'JJ', 'I-NP', 'O')
('5year', '5year', 'JJ', 'I-NP', 'O')
('survival', 'survival', 'NN', 'I-NP', 'O')
('rates', 'rate', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('OSCC', 'OSCC', 'NN', 'B-NP', 'O')
('over', 'over', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('past', 'past', 'JJ', 'I-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('decades', 'decade', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('still', 'still', 'RB', 'B-ADVP', 'O')
('poor', 'poor', 'JJ', 'B-NP', 'O')
('(Myoung', '(Myoung', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2006).', '2006).', 'CD', 'B-NP', 'O')
Therefore, it is necessary to develop novel prognostic tools for predicting the OSCC patients’ status, which could improve survival by allowing enough time for the appropriate therapy to be implemented.
('Therefore,', 'Therefore,', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('necessary', 'necessary', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('develop', 'develop', 'VB', 'I-VP', 'O')
('novel', 'novel', 'JJ', 'B-NP', 'O')
('prognostic', 'prognostic', 'JJ', 'I-NP', 'O')
('tools', 'tool', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('predicting', 'predict', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('OSCC', 'OSCC', 'NN', 'I-NP', 'O')
('patients’', 'patients’', 'NN', 'I-NP', 'O')
('status,', 'status,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('improve', 'improve', 'VB', 'I-VP', 'O')
('survival', 'survival', 'NN', 'B-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('allowing', 'allow', 'VBG', 'B-VP', 'O')
('enough', 'enough', 'JJ', 'B-NP', 'O')
('time', 'time', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('appropriate', 'appropriate', 'JJ', 'I-NP', 'O')
('therapy', 'therapy', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('implemented.', 'implemented.', 'VBN', 'I-VP', 'O')
Stephenson et al.
('Stephenson', 'Stephenson', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(2005) showed that the prediction accuracy was improved by the integration of clinical variables and gene expression (Stephenson et al., 2005b).
('(2005)', '(2005)', 'LS', 'B-NP', 'O')
('showed', 'show', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('accuracy', 'accuracy', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('improved', 'improve', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('integration', 'integration', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('clinical', 'clinical', 'JJ', 'B-NP', 'O')
('variables', 'variable', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('(Stephenson', '(Stephenson', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005b).', '2005b).', 'CD', 'B-NP', 'O')
It has already been shown that the expression level of specific genes influence survival.
('It', 'It', 'PRP', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('already', 'already', 'RB', 'I-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('shown', 'show', 'VBN', 'I-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('influence', 'influence', 'VBP', 'B-VP', 'O')
('survival.', 'survival.', 'NN', 'B-NP', 'O')
Specific protein expression was used to predict survival in various cancers including clear cell renal carcinoma (Kim et al., 2004).
('Specific', 'Specific', 'JJ', 'B-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('predict', 'predict', 'VB', 'I-VP', 'O')
('survival', 'survival', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('various', 'various', 'JJ', 'B-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('clear', 'clear', 'JJ', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('renal', 'renal', 'JJ', 'I-NP', 'O')
('carcinoma', 'carcinoma', 'NN', 'I-NP', 'O')
('(Kim', '(Kim', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2004).', '2004).', 'CD', 'B-NP', 'O')
The relationship between p53 and the survival in OSCC has been studied by many researchers (Galli et al., 2009; Goulart et al., 2009; Shah et al., 2009; Smith et al., 2009).
('The', 'The', 'DT', 'B-NP', 'O')
('relationship', 'relationship', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('p53', 'p53', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('survival', 'survival', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('OSCC', 'OSCC', 'NN', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('studied', 'study', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('researchers', 'researcher', 'NNS', 'I-NP', 'O')
('(Galli', '(Galli', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2009;', '2009;', ':', 'O', 'O')
('Goulart', 'Goulart', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2009;', '2009;', ':', 'O', 'O')
('Shah', 'Shah', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2009;', '2009;', ':', 'O', 'O')
('Smith', 'Smith', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2009).', '2009).', 'CD', 'B-NP', 'O')
In these studies, some reported that p53 predicted the survival of OSCC (Galli et al., 2009; Shah et al., 2009) while others did not (Goulart et al., 2009; Smith et al., 2009), and Smith et al.
('In', 'In', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('studies,', 'studies,', 'NN', 'I-NP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('reported', 'report', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('p53', 'p53', 'NN', 'B-NP', 'B-protein')
('predicted', 'predict', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('survival', 'survival', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('OSCC', 'OSCC', 'NNP', 'B-NP', 'O')
('(Galli', '(Galli', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2009;', '2009;', ':', 'O', 'O')
('Shah', 'Shah', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2009)', '2009)', 'CD', 'I-NP', 'O')
('while', 'while', 'IN', 'B-SBAR', 'O')
('others', 'other', 'NNS', 'B-NP', 'O')
('did', 'do', 'VBD', 'B-VP', 'O')
('not', 'not', 'RB', 'O', 'O')
('(Goulart', '(Goulart', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2009;', '2009;', ':', 'O', 'O')
('Smith', 'Smith', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2009),', '2009),', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Smith', 'Smith', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(2009) concluded that p53 does not predict the progression of OSCC after an extensive review of the previous studies.
('(2009)', '(2009)', 'LS', 'B-NP', 'O')
('concluded', 'conclude', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('p53', 'p53', 'NN', 'B-NP', 'B-protein')
('does', 'do', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('predict', 'predict', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('progression', 'progression', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('OSCC', 'OSCC', 'NN', 'B-NP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('extensive', 'extensive', 'JJ', 'I-NP', 'O')
('review', 'review', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('previous', 'previous', 'JJ', 'I-NP', 'O')
('studies.', 'studies.', 'NN', 'I-NP', 'O')
In this study, significant clinical factors for predicting survival were identified and a nomogram was constructed using these factors.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('study,', 'study,', 'NN', 'I-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('factors', 'factor', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('predicting', 'predict', 'VBG', 'B-VP', 'O')
('survival', 'survival', 'NN', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('identified', 'identify', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('nomogram', 'nomogram', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('constructed', 'construct', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('factors.', 'factors.', 'NNS', 'I-NP', 'O')
In addition, we evaluated the effect of p53 on the survival of OSCC patients, by embedding it into the nomogram.
('In', 'In', 'IN', 'B-PP', 'O')
('addition,', 'addition,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('evaluated', 'evaluate', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('effect', 'effect', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('p53', 'p53', 'NN', 'B-NP', 'B-protein')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('survival', 'survival', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('OSCC', 'OSCC', 'NN', 'B-NP', 'B-protein')
('patients,', 'patients,', 'NN', 'I-NP', 'I-protein')
('by', 'by', 'IN', 'B-PP', 'O')
