Gene Expression Analysis for Statin-induced Cytotoxicity from Rat Primary Hepatocytes.
('Gene', 'Gene', 'NN', 'B-NP', 'O')
('liver', 'liver', 'NN', 'B-NP', 'B-protein')
('enzymes', 'enzyme', 'NNS', 'I-NP', 'I-protein')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('ALT', 'ALT', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('AST', 'AST', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('patients', 'patient', 'NNS', 'B-NP', 'O')
('suggesting', 'suggest', 'VBG', 'B-VP', 'O')
('possible', 'possible', 'JJ', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('toxicity', 'toxicity', 'NN', 'I-NP', 'O')
('due', 'due', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('statins.', 'statins.', 'VB', 'I-VP', 'O')
This observation has been drawn great attention since statins are the most prescribed drugs and statintherapy was extended to a larger number of high-risk patients.
('This', 'This', 'DT', 'B-NP', 'O')
('observation', 'observation', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('drawn', 'draw', 'VBN', 'I-VP', 'O')
('great', 'great', 'JJ', 'B-NP', 'O')
('attention', 'attention', 'NN', 'I-NP', 'O')
('since', 'since', 'IN', 'B-SBAR', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('prescribed', 'prescribed', 'JJ', 'I-NP', 'O')
('drugs', 'drug', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('statintherapy', 'statintherapy', 'NN', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('extended', 'extend', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('larger', 'large', 'JJR', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('high-risk', 'high-risk', 'JJ', 'B-NP', 'O')
('patients.', 'patients.', 'NNS', 'I-NP', 'O')
Here we employed rat primary hepatocytes and microarray technique to understand underlying mechanism responsible for statin-induced liver toxicity on cell level.
('Here', 'Here', 'RB', 'B-ADVP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('employed', 'employ', 'VBD', 'B-VP', 'O')
('rat', 'rat', 'NN', 'B-NP', 'B-cell_type')
('primary', 'primary', 'JJ', 'I-NP', 'I-cell_type')
('hepatocytes', 'hepatocyte', 'NNS', 'I-NP', 'I-cell_type')
('and', 'and', 'CC', 'O', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('technique', 'technique', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('understand', 'understand', 'VB', 'I-VP', 'O')
('underlying', 'underlie', 'VBG', 'B-NP', 'O')
('mechanism', 'mechanism', 'NN', 'I-NP', 'O')
('responsible', 'responsible', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('statin-induced', 'statin-induced', 'JJ', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('toxicity', 'toxicity', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'O')
('level.', 'level.', 'NN', 'I-NP', 'O')
We isolated genes whose expressions were commonly modulated by statin treatments and examined their biological functions.
('We', 'We', 'PRP', 'B-NP', 'O')
('isolated', 'isolate', 'VBD', 'B-VP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('whose', 'whose', 'WP$', 'B-NP', 'O')
('expressions', 'expression', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('commonly', 'commonly', 'RB', 'I-VP', 'O')
('modulated', 'modulate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('statin', 'statin', 'NN', 'B-NP', 'O')
('treatments', 'treatment', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('examined', 'examine', 'VBD', 'B-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('functions.', 'functions.', 'NNS', 'I-NP', 'O')
It is of interest that those genes have function related to response to stress in particular immunity and defense in cells.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('interest', 'interest', 'NN', 'B-NP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('those', 'those', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('function', 'function', 'NN', 'B-NP', 'O')
('related', 'related', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('response', 'response', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('stress', 'stress', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('particular', 'particular', 'JJ', 'B-NP', 'O')
('immunity', 'immunity', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('defense', 'defense', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('cells.', 'cells.', 'NNS', 'B-NP', 'O')
Our study provided the basic information on cellular mechanism of statininduced cytotoxicity and may serve for finding indicator genes of statin -induced toxicity in rat primary hepatocytes.
('Our', 'Our', 'PRP$', 'B-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('provided', 'provide', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('basic', 'basic', 'JJ', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('cellular', 'cellular', 'JJ', 'B-NP', 'O')
('mechanism', 'mechanism', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statininduced', 'statininduce', 'VBN', 'B-NP', 'O')
('cytotoxicity', 'cytotoxicity', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('serve', 'serve', 'VB', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('finding', 'find', 'VBG', 'B-VP', 'O')
('indicator', 'indicator', 'NN', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('of', 'of', 'IN', 'B-PP', 'O')
('statin', 'statin', 'NN', 'B-NP', 'O')
('-induced', '-induced', 'JJ', 'I-NP', 'O')
('toxicity', 'toxicity', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('rat', 'rat', 'NN', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('hepatocytes.', 'hepatocytes.', 'NN', 'I-NP', 'O')
Statins are competitive hydroxy-3-methyl glutaryl coenzyme A (HMG-CoA) reductase inhibitors that inhibit the synthesis of cholesterol from mevalonic acid and the drugs most frequently used to reduce plasma cholesterol levels and decrease cardiovascular events (Abu et al., 2005).
('Statins', 'Statin', 'NNS', 'B-NP', 'B-protein')
('are', 'be', 'VBP', 'B-VP', 'O')
('competitive', 'competitive', 'JJ', 'B-NP', 'O')
('hydroxy-3-methyl', 'hydroxy-3-methyl', 'NN', 'I-NP', 'O')
('glutaryl', 'glutaryl', 'NN', 'I-NP', 'O')
('coenzyme', 'coenzyme', 'NN', 'I-NP', 'O')
('A', 'A', 'NN', 'I-NP', 'O')
('(HMG-CoA)', '(HMG-CoA)', 'NN', 'I-NP', 'O')
('reductase', 'reductase', 'NN', 'I-NP', 'O')
('inhibitors', 'inhibitor', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('inhibit', 'inhibit', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('synthesis', 'synthesis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cholesterol', 'cholesterol', 'NN', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('mevalonic', 'mevalonic', 'JJ', 'B-NP', 'O')
('acid', 'acid', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('drugs', 'drug', 'NNS', 'I-NP', 'O')
('most', 'most', 'RBS', 'B-VP', 'O')
('frequently', 'frequently', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('reduce', 'reduce', 'VB', 'I-VP', 'O')
('plasma', 'plasma', 'NN', 'B-NP', 'O')
('cholesterol', 'cholesterol', 'NN', 'I-NP', 'O')
('levels', 'level', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('decrease', 'decrease', 'VB', 'B-VP', 'O')
('cardiovascular', 'cardiovascular', 'JJ', 'B-NP', 'O')
('events', 'event', 'NNS', 'I-NP', 'O')
('(Abu', '(Abu', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
However, the side effects associated with the use of statins have been highlighted by the withdrawal of cerivastatin from the market in 2001 (Baycol website) due to its causing a relatively high incidence of myopathy and rhabdomyolysis (Yamazaki et al., 2006).
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('side', 'side', 'NN', 'I-NP', 'O')
('effects', 'effect', 'NNS', 'I-NP', 'O')
('associated', 'associate', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('use', 'use', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('highlighted', 'highlight', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('withdrawal', 'withdrawal', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cerivastatin', 'cerivastatin', 'NN', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('market', 'market', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('2001', '2001', 'CD', 'B-NP', 'O')
('(Baycol', '(Baycol', 'NN', 'I-NP', 'O')
('website)', 'website)', 'NN', 'I-NP', 'O')
('due', 'due', 'IN', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('causing', 'cause', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('relatively', 'relatively', 'RB', 'I-NP', 'O')
('high', 'high', 'JJ', 'I-NP', 'O')
('incidence', 'incidence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('myopathy', 'myopathy', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('rhabdomyolysis', 'rhabdomyolysis', 'NN', 'I-NP', 'O')
('(Yamazaki', '(Yamazaki', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2006).', '2006).', 'CD', 'B-NP', 'O')
Together with myotoxicity, there have been lingering concerns regarding statininduced hepatotoxicity from the time of introduction of lovastatin in 1987, the first member of the class.
('Together', 'Together', 'RB', 'B-ADVP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('myotoxicity,', 'myotoxicity,', 'NN', 'B-NP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('lingering', 'linger', 'VBG', 'I-VP', 'O')
('concerns', 'concern', 'NNS', 'B-NP', 'O')
('regarding', 'regard', 'VBG', 'B-VP', 'O')
('statininduced', 'statininduce', 'VBN', 'B-NP', 'O')
('hepatotoxicity', 'hepatotoxicity', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('time', 'time', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('introduction', 'introduction', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('lovastatin', 'lovastatin', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('1987,', '1987,', 'CD', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('member', 'member', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('class.', 'class.', 'NN', 'I-NP', 'O')
Millions of patients have now received these drugs.
('Millions', 'Million', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('patients', 'patient', 'NNS', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('now', 'now', 'RB', 'I-VP', 'O')
('received', 'receive', 'VBN', 'I-VP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('drugs.', 'drugs.', 'NNS', 'I-NP', 'O')
Asymptomatic increases in aminotransferase levels develop frequently (Maddrey et al., 2005).
('Asymptomatic', 'Asymptomatic', 'JJ', 'B-NP', 'O')
('increases', 'increase', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('aminotransferase', 'aminotransferase', 'NN', 'B-NP', 'B-protein')
('levels', 'level', 'NNS', 'I-NP', 'O')
('develop', 'develop', 'VBP', 'B-VP', 'O')
('frequently', 'frequently', 'RB', 'B-ADVP', 'O')
('(Maddrey', '(Maddrey', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
Since statins inhibit cholesterol synthesis in the liver much more than in any other tissue, it is not surprising that elevations in the liver enzymes ALT and AST have been noted since the first clinical trial with lovastatin (Hamelin et al., 1998).
('Since', 'Since', 'IN', 'B-SBAR', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('inhibit', 'inhibit', 'VBP', 'B-VP', 'O')
('cholesterol', 'cholesterol', 'NN', 'B-NP', 'O')
('synthesis', 'synthesis', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('much', 'much', 'RB', 'B-ADVP', 'O')
('more', 'more', 'RBR', 'I-ADVP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('tissue,', 'tissue,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'B-ADJP', 'O')
('surprising', 'surprising', 'JJ', 'I-ADJP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('elevations', 'elevation', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('enzymes', 'enzyme', 'NNS', 'I-NP', 'O')
('ALT', 'ALT', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('AST', 'AST', 'NN', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('noted', 'note', 'VBN', 'I-VP', 'O')
('since', 'since', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('trial', 'trial', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('lovastatin', 'lovastatin', 'NN', 'B-NP', 'O')
('(Hamelin', '(Hamelin', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1998).', '1998).', 'CD', 'B-NP', 'O')
In the case of statin therapy, four types of hepatic syndromes need to be considered; acute liver failure, hepatitis, cholestasis and transaminitis.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('case', 'case', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statin', 'statin', 'NN', 'B-NP', 'O')
('therapy,', 'therapy,', 'IN', 'B-PP', 'O')
('four', 'four', 'CD', 'B-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('hepatic', 'hepatic', 'JJ', 'B-NP', 'O')
('syndromes', 'syndrome', 'NNS', 'I-NP', 'O')
('need', 'need', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('considered;', 'considered;', 'JJ', 'B-NP', 'O')
('acute', 'acute', 'JJ', 'I-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('failure,', 'failure,', 'NN', 'I-NP', 'O')
('hepatitis,', 'hepatitis,', 'NN', 'I-NP', 'O')
('cholestasis', 'cholestasis', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('transaminitis.', 'transaminitis.', 'NN', 'B-NP', 'O')
Initial toxicology studies in animals suggested that statins may cause significant liver problems.
('Initial', 'Initial', 'JJ', 'B-NP', 'O')
('toxicology', 'toxicology', 'NN', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('animals', 'animal', 'NNS', 'B-NP', 'O')
('suggested', 'suggest', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('cause', 'cause', 'VB', 'I-VP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('problems.', 'problems.', 'NNS', 'I-NP', 'O')
Although the usual doses of lovastatin did not cause significant liver injury, when given in very high dose they caused hepatocellular necrosis in rabbits (Chalasani,et al., 2005).
('Although', 'Although', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('usual', 'usual', 'JJ', 'I-NP', 'O')
('doses', 'dose', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('lovastatin', 'lovastatin', 'NN', 'B-NP', 'O')
('did', 'do', 'VBD', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('cause', 'cause', 'VB', 'I-VP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('injury,', 'injury,', 'NN', 'I-NP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('given', 'give', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('very', 'very', 'RB', 'B-NP', 'O')
('high', 'high', 'JJ', 'I-NP', 'O')
('dose', 'dose', 'NN', 'I-NP', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('caused', 'cause', 'VBD', 'B-VP', 'O')
('hepatocellular', 'hepatocellular', 'JJ', 'B-NP', 'O')
('necrosis', 'necrosis', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('rabbits', 'rabbit', 'NNS', 'B-NP', 'O')
('(Chalasani,et', '(Chalasani,et', 'VBP', 'B-VP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
Similarly, high doses of simvastatin caused hepatocellular necrosis in guinea pig (Chalasani et al., 2005).
('Similarly,', 'Similarly,', 'NN', 'B-NP', 'O')
('high', 'high', 'JJ', 'I-NP', 'O')
('doses', 'dose', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('simvastatin', 'simvastatin', 'NN', 'B-NP', 'O')
('caused', 'cause', 'VBD', 'B-VP', 'O')
('hepatocellular', 'hepatocellular', 'JJ', 'B-NP', 'O')
('necrosis', 'necrosis', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('guinea', 'guinea', 'NN', 'B-NP', 'O')
('pig', 'pig', 'NN', 'I-NP', 'O')
('(Chalasani', '(Chalasani', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
The liver injury in these animals could be prevented or reversed with supplementing animals with mevalonate suggesting that depletion of mevalonate or its downstream metabolite might be responsible for liver injury (Chalasani et al., 2005).
('The', 'The', 'DT', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('injury', 'injury', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('animals', 'animal', 'NNS', 'I-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('prevented', 'prevent', 'VBN', 'I-VP', 'O')
('or', 'or', 'CC', 'I-VP', 'O')
('reversed', 'reverse', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('supplementing', 'supplement', 'VBG', 'B-VP', 'O')
('animals', 'animal', 'NNS', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('mevalonate', 'mevalonate', 'NN', 'B-NP', 'O')
('suggesting', 'suggest', 'VBG', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('depletion', 'depletion', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('mevalonate', 'mevalonate', 'NN', 'B-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('downstream', 'downstream', 'JJ', 'I-NP', 'O')
('metabolite', 'metabolite', 'NN', 'I-NP', 'O')
('might', 'might', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('responsible', 'responsible', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('liver', 'liver', 'NN', 'B-NP', 'O')
('injury', 'injury', 'NN', 'I-NP', 'O')
('(Chalasani', '(Chalasani', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
