ORF Miner: a Web-based ORF Search Tool.
('ORF', 'ORF', 'NN', 'B-NP', 'B-DNA')
('developed', 'develop', 'VBN', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('web-based', 'web-based', 'JJ', 'I-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'O')
('search', 'search', 'NN', 'I-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('called', 'call', 'VBN', 'B-VP', 'O')
('ORF', 'ORF', 'NNP', 'B-NP', 'B-DNA')
('Miner.', 'Miner.', 'NNP', 'I-NP', 'O')
The ORF Miner is a graphical analysis utility which determines all possible open reading frames of a selectable minimum size in an input sequence.
('The', 'The', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NNP', 'I-NP', 'B-DNA')
('Miner', 'Miner', 'NNP', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('graphical', 'graphical', 'JJ', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('utility', 'utility', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('determines', 'determine', 'VBZ', 'B-VP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('possible', 'possible', 'JJ', 'I-NP', 'O')
('open', 'open', 'JJ', 'I-NP', 'B-DNA')
('reading', 'reading', 'NN', 'I-NP', 'I-DNA')
('frames', 'frame', 'NNS', 'I-NP', 'I-DNA')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('selectable', 'selectable', 'JJ', 'I-NP', 'O')
('minimum', 'minimum', 'JJ', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('input', 'input', 'NN', 'I-NP', 'O')
('sequence.', 'sequence.', 'NN', 'I-NP', 'O')
This tool identifies all open reading frames using alternative genetic codes as well as the standard one and reports a list of ORFs with corresponding deduced amino acid sequences.
('This', 'This', 'DT', 'B-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('identifies', 'identify', 'VBZ', 'B-VP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('open', 'open', 'JJ', 'I-NP', 'B-DNA')
('reading', 'reading', 'NN', 'I-NP', 'I-DNA')
('frames', 'frame', 'NNS', 'I-NP', 'I-DNA')
('using', 'use', 'VBG', 'B-VP', 'O')
('alternative', 'alternative', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('codes', 'code', 'NNS', 'I-NP', 'O')
('as', 'as', 'RB', 'B-CONJP', 'O')
('well', 'well', 'RB', 'I-CONJP', 'O')
('as', 'as', 'IN', 'I-CONJP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('standard', 'standard', 'JJ', 'I-NP', 'O')
('one', 'one', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('reports', 'report', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('ORFs', 'ORF', 'NNS', 'B-NP', 'B-DNA')
('with', 'with', 'IN', 'B-PP', 'O')
('corresponding', 'correspond', 'VBG', 'B-NP', 'O')
('deduced', 'deduce', 'VBN', 'B-VP', 'O')
('amino', 'amino', 'JJ', 'B-NP', 'O')
('acid', 'acid', 'NN', 'I-NP', 'O')
('sequences.', 'sequences.', 'NNS', 'I-NP', 'O')
The ORF Miner can be employed for sequence annotation and give a crucial clue to determination of actual protein-coding regions.
('The', 'The', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NNP', 'I-NP', 'B-DNA')
('Miner', 'Miner', 'NNP', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('employed', 'employ', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('annotation', 'annotation', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('give', 'give', 'VB', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('crucial', 'crucial', 'JJ', 'I-NP', 'O')
('clue', 'clue', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('determination', 'determination', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('actual', 'actual', 'JJ', 'B-NP', 'O')
('protein-coding', 'protein-coding', 'JJ', 'I-NP', 'O')
('regions.', 'regions.', 'NNS', 'I-NP', 'O')
As a general thing, the primary challenge that follows the sequencing of anything from a small segment of DNA to a complete genome is to assign as much information as possible to the raw sequence data, i. e., to establish where the various of functional elements such as genes, promoters, terminators etc., lie in the sequence.
('As', 'As', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('general', 'general', 'JJ', 'I-NP', 'O')
('thing,', 'thing,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('challenge', 'challenge', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('follows', 'follow', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sequencing', 'sequencing', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('anything', 'anything', 'NN', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('small', 'small', 'JJ', 'I-NP', 'O')
('segment', 'segment', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('DNA', 'DNA', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('complete', 'complete', 'JJ', 'I-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('assign', 'assign', 'VB', 'I-VP', 'O')
('as', 'as', 'IN', 'B-NP', 'O')
('much', 'much', 'JJ', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('possible', 'possible', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('raw', 'raw', 'JJ', 'I-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('i.', 'i.', 'JJ', 'I-NP', 'O')
('e.,', 'e.,', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('establish', 'establish', 'VB', 'I-VP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('various', 'various', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('functional', 'functional', 'JJ', 'B-NP', 'O')
('elements', 'element', 'NNS', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('genes,', 'genes,', 'NN', 'B-NP', 'O')
('promoters,', 'promoters,', 'NN', 'I-NP', 'O')
('terminators', 'terminator', 'NNS', 'I-NP', 'O')
('etc.,', 'etc.,', 'FW', 'B-NP', 'O')
('lie', 'lie', 'VBP', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sequence.', 'sequence.', 'NN', 'I-NP', 'O')
Such a task called sequence annotation is an integral part of functional genomics.
('Such', 'Such', 'PDT', 'B-NP', 'O')
('a', 'a', 'DT', 'I-NP', 'O')
('task', 'task', 'NN', 'I-NP', 'O')
('called', 'call', 'VBN', 'B-VP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('annotation', 'annotation', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('integral', 'integral', 'JJ', 'I-NP', 'O')
('part', 'part', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('functional', 'functional', 'JJ', 'B-NP', 'O')
('genomics.', 'genomics.', 'NNS', 'I-NP', 'O')
It is a rapidly evolving field in genomics, driven predominantly by computational tools (Brent, 2008).
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('rapidly', 'rapidly', 'RB', 'I-NP', 'O')
('evolving', 'evolve', 'VBG', 'I-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('genomics,', 'genomics,', 'NN', 'B-NP', 'O')
('driven', 'drive', 'VBN', 'B-VP', 'O')
('predominantly', 'predominantly', 'RB', 'B-ADVP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('computational', 'computational', 'JJ', 'B-NP', 'O')
('tools', 'tool', 'NNS', 'I-NP', 'O')
('(Brent,', '(Brent,', 'IN', 'B-PP', 'O')
('2008).', '2008).', 'CD', 'B-NP', 'O')
The annotation task can be classified into two steps: Structural annotation, which deals with identification of biologically relevant sites in the sequence, and functional annotation, which attributes specific biological information to the sites found in the first step.
('The', 'The', 'DT', 'B-NP', 'O')
('annotation', 'annotation', 'NN', 'I-NP', 'O')
('task', 'task', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('classified', 'classify', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('steps:', 'steps:', 'NN', 'I-NP', 'O')
('Structural', 'Structural', 'JJ', 'I-NP', 'O')
('annotation,', 'annotation,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('deals', 'deal', 'VBZ', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('identification', 'identification', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('biologically', 'biologically', 'RB', 'B-NP', 'B-DNA')
('relevant', 'relevant', 'JJ', 'I-NP', 'I-DNA')
('sites', 'site', 'NNS', 'I-NP', 'I-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sequence,', 'sequence,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('functional', 'functional', 'JJ', 'I-NP', 'O')
('annotation,', 'annotation,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('attributes', 'attribute', 'VBZ', 'B-VP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sites', 'site', 'NNS', 'I-NP', 'O')
('found', 'find', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('step.', 'step.', 'NN', 'I-NP', 'O')
The most crucial step in structural annotation is to determine proteincoding regions.
('The', 'The', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('crucial', 'crucial', 'JJ', 'I-NP', 'O')
('step', 'step', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('structural', 'structural', 'JJ', 'B-NP', 'O')
('annotation', 'annotation', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('proteincoding', 'proteincode', 'VBG', 'I-VP', 'O')
('regions.', 'regions.', 'NNS', 'B-NP', 'O')
Even though there are many gene finding programs with sophisticated and intricate algorithms (Burge, 1997, Delcher, 2007), relatively straightforward and powerful way to find out proteincoding regions is to search for open reading frames (ORFs).
('Even', 'Even', 'RB', 'B-SBAR', 'O')
('though', 'though', 'IN', 'I-SBAR', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('finding', 'finding', 'NN', 'I-NP', 'O')
('programs', 'program', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('sophisticated', 'sophisticated', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('intricate', 'intricate', 'JJ', 'I-NP', 'O')
('algorithms', 'algorithm', 'NNS', 'I-NP', 'O')
('(Burge,', '(Burge,', 'NNP', 'B-NP', 'O')
('1997,', '1997,', 'CD', 'I-NP', 'O')
('Delcher,', 'Delcher,', 'NNP', 'I-NP', 'O')
('2007),', '2007),', 'CD', 'I-NP', 'O')
('relatively', 'relatively', 'RB', 'I-NP', 'O')
('straightforward', 'straightforward', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('powerful', 'powerful', 'JJ', 'I-NP', 'O')
('way', 'way', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'B-DNA')
('proteincoding', 'proteincode', 'VBG', 'B-NP', 'I-DNA')
('regions', 'region', 'NNS', 'I-NP', 'I-DNA')
('is', 'be', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('search', 'search', 'VB', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('open', 'open', 'JJ', 'B-NP', 'B-DNA')
('reading', 'reading', 'NN', 'I-NP', 'I-DNA')
('frames', 'frame', 'NNS', 'I-NP', 'I-DNA')
('(ORFs).', '(ORFs).', 'NNP', 'B-NP', 'O')
The open reading frame is a portion of an organism’s genome containing a sequence of bases that could potentially encode a protein.
('The', 'The', 'DT', 'B-NP', 'O')
('open', 'open', 'JJ', 'I-NP', 'B-DNA')
('reading', 'reading', 'NN', 'I-NP', 'I-DNA')
('frame', 'frame', 'NN', 'I-NP', 'I-DNA')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('portion', 'portion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('organism’s', 'organism’', 'NNS', 'I-NP', 'B-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('containing', 'contain', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('bases', 'base', 'NNS', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('potentially', 'potentially', 'RB', 'I-VP', 'O')
('encode', 'encode', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('protein.', 'protein.', 'NN', 'I-NP', 'O')
In other word, it means that the region certainly looks like a gene, but it has not been proved to actually be a gene.
('In', 'In', 'IN', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('word,', 'word,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('means', 'mean', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('region', 'region', 'NN', 'I-NP', 'O')
('certainly', 'certainly', 'RB', 'B-ADVP', 'O')
('looks', 'look', 'VBZ', 'B-VP', 'O')
('like', 'like', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('gene,', 'gene,', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('proved', 'prove', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('actually', 'actually', 'RB', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('gene.', 'gene.', 'NN', 'I-NP', 'O')
In a gene, ORFs are located between the start code sequence (initiation codon) and stop code sequence (termination codon) so that the existence of an ORF, especially a long one, can be usually a good indication of the presence of a gene in the surrounding sequence.
('In', 'In', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('gene,', 'gene,', 'NN', 'I-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('located', 'located', 'JJ', 'B-ADJP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('start', 'start', 'NN', 'I-NP', 'O')
('code', 'code', 'NN', 'I-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('(initiation', '(initiation', 'NN', 'I-NP', 'O')
('codon)', 'codon)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('stop', 'stop', 'VB', 'B-VP', 'O')
('code', 'code', 'NN', 'B-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('(termination', '(termination', 'NN', 'I-NP', 'O')
('codon)', 'codon)', 'NN', 'I-NP', 'O')
('so', 'so', 'IN', 'B-SBAR', 'O')
('that', 'that', 'IN', 'I-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('existence', 'existence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('ORF,', 'ORF,', 'NNP', 'I-NP', 'O')
('especially', 'especially', 'RB', 'B-ADVP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('long', 'long', 'JJ', 'I-NP', 'O')
('one,', 'one,', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('usually', 'usually', 'RB', 'B-ADVP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('good', 'good', 'JJ', 'I-NP', 'O')
('indication', 'indication', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('presence', 'presence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('surrounding', 'surround', 'VBG', 'I-NP', 'O')
('sequence.', 'sequence.', 'NN', 'I-NP', 'O')
However, ORFs are usually encountered when sifting through pieces of DNA while trying to locate a gene.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('ORFs', 'ORF', 'NNS', 'B-NP', 'B-DNA')
('are', 'be', 'VBP', 'B-VP', 'O')
('usually', 'usually', 'RB', 'I-VP', 'O')
('encountered', 'encounter', 'VBN', 'I-VP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('sifting', 'sift', 'VBG', 'B-VP', 'O')
('through', 'through', 'IN', 'B-PP', 'O')
('pieces', 'piece', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('DNA', 'DNA', 'NN', 'B-NP', 'O')
('while', 'while', 'IN', 'B-SBAR', 'O')
('trying', 'try', 'VBG', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('locate', 'locate', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('gene.', 'gene.', 'NN', 'I-NP', 'O')
In addition, ORFs can also occur by chance outside of genes.
('In', 'In', 'IN', 'B-PP', 'O')
('addition,', 'addition,', 'NN', 'B-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('occur', 'occur', 'VB', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('chance', 'chance', 'NN', 'B-NP', 'O')
('outside', 'outside', 'IN', 'B-PP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes.', 'genes.', 'NNS', 'B-NP', 'O')
The situation in prokaryotes is relatively straightforward since scarcely any eubacterial and archaeal genes contain introns.
('The', 'The', 'DT', 'B-NP', 'O')
('situation', 'situation', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('prokaryotes', 'prokaryote', 'NNS', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('relatively', 'relatively', 'RB', 'B-ADJP', 'O')
('straightforward', 'straightforward', 'JJ', 'I-ADJP', 'O')
('since', 'since', 'IN', 'B-PP', 'O')
('scarcely', 'scarcely', 'RB', 'B-NP', 'O')
('any', 'any', 'DT', 'I-NP', 'O')
('eubacterial', 'eubacterial', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('archaeal', 'archaeal', 'JJ', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('contain', 'contain', 'VBP', 'B-VP', 'O')
('introns.', 'introns.', 'NNS', 'B-NP', 'O')
The situation is much more complicated in eukaryotes where the majority of genes are composed of introns and exons, and further analysis must be required to detect the intron/exon boundaries and assemble the exons into a contiguous coding sequences.
('The', 'The', 'DT', 'B-NP', 'O')
('situation', 'situation', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('much', 'much', 'RB', 'B-ADJP', 'O')
('more', 'more', 'RBR', 'I-ADJP', 'O')
('complicated', 'complicate', 'VBN', 'I-ADJP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('eukaryotes', 'eukaryote', 'NNS', 'B-NP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('majority', 'majority', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('composed', 'compose', 'VBN', 'I-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('introns', 'intron', 'NNS', 'B-NP', 'B-DNA')
('and', 'and', 'CC', 'O', 'O')
('exons,', 'exons,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('further', 'further', 'JJ', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('must', 'must', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('required', 'require', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('detect', 'detect', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('intron/exon', 'intron/exon', 'NN', 'I-NP', 'O')
('boundaries', 'boundary', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('assemble', 'assemble', 'VB', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('exons', 'exon', 'NNS', 'I-NP', 'B-DNA')
('into', 'into', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('contiguous', 'contiguous', 'JJ', 'I-NP', 'O')
('coding', 'cod', 'VBG', 'I-NP', 'O')
('sequences.', 'sequences.', 'NNS', 'I-NP', 'O')
The Coding Sequence (CDS) and the ORF may be interchangeable but they are a little different from each other.
('The', 'The', 'DT', 'B-NP', 'O')
('Coding', 'Cod', 'VBG', 'I-NP', 'O')
('Sequence', 'Sequence', 'NN', 'I-NP', 'O')
('(CDS)', '(CDS)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'B-DNA')
('may', 'may', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('interchangeable', 'interchangeable', 'JJ', 'B-ADJP', 'O')
('but', 'but', 'CC', 'O', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('little', 'little', 'RB', 'I-NP', 'O')
('different', 'different', 'JJ', 'B-ADJP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('other.', 'other.', 'NN', 'I-NP', 'O')
The CDS is the actual region of DNA that is translated to form proteins.
('The', 'The', 'DT', 'B-NP', 'O')
