Recovery of Genes Epigenetically Altered by the Histone Deacetylase Inhibitor Scriptaid and Demethylating Agent 5-Azacytidine in Human Leukemia Cells.
('Recovery', 'Recovery', 'NN', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('expressed', 'express', 'VBN', 'I-VP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('combination', 'combination', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('5azacytidine', '5azacytidine', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('scriptaid.', 'scriptaid.', 'NN', 'I-NP', 'O')
Twenty-nine genes were unchanged after the combination treatment of 5azacytidine and scriptaid.
('Twenty-nine', 'Twenty-nine', 'CD', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('unchanged', 'unchanged', 'JJ', 'B-ADJP', 'O')
('after', 'after', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('combination', 'combination', 'NN', 'I-NP', 'O')
('treatment', 'treatment', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('5azacytidine', '5azacytidine', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('scriptaid.', 'scriptaid.', 'NN', 'I-NP', 'O')
Among the 270 genes, 13 genes were differed significantly from the control.
('Among', 'Among', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('270', '270', 'CD', 'I-NP', 'B-DNA')
('genes,', 'genes,', 'NN', 'I-NP', 'I-DNA')
('13', '13', 'CD', 'B-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('differed', 'differ', 'VBN', 'I-VP', 'O')
('significantly', 'significantly', 'RB', 'B-ADVP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('control.', 'control.', 'NN', 'I-NP', 'O')
HPGD, CPA3, CEACAM6, LOC653907, ETS1, RAB37, PMP22, FST, FOXC1, and CCL2 were up-regulated, and IGLL3, IGLL1, and ASS1 were down-regulated.
('HPGD,', 'HPGD,', 'NN', 'B-NP', 'O')
('CPA3,', 'CPA3,', 'NN', 'I-NP', 'O')
('CEACAM6,', 'CEACAM6,', 'NN', 'I-NP', 'O')
('LOC653907,', 'LOC653907,', 'NN', 'I-NP', 'O')
('ETS1,', 'ETS1,', 'NN', 'I-NP', 'O')
('RAB37,', 'RAB37,', 'NN', 'I-NP', 'O')
('PMP22,', 'PMP22,', 'NN', 'I-NP', 'O')
('FST,', 'FST,', 'NN', 'I-NP', 'O')
('FOXC1,', 'FOXC1,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('CCL2', 'CCL2', 'NN', 'I-NP', 'B-protein')
('were', 'be', 'VBD', 'B-VP', 'O')
('up-regulated,', 'up-regulated,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('IGLL3,', 'IGLL3,', 'NN', 'I-NP', 'B-protein')
('IGLL1,', 'IGLL1,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('ASS1', 'ASS1', 'NN', 'I-NP', 'B-protein')
('were', 'be', 'VBD', 'B-VP', 'O')
('down-regulated.', 'down-regulated.', 'RB', 'B-ADVP', 'O')
Eleven genes associated with oncogenesis were found among the differentially expressed genes: ETS1, ASCL2, BTG2, BTG1, SLAMF6, CDKN2D, RRAS, RET, GIPC1, MAGEB, and RGL4.
('Eleven', 'Eleven', 'CD', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('associated', 'associate', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('oncogenesis', 'oncogenesis', 'NN', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('found', 'find', 'VBN', 'I-VP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('differentially', 'differentially', 'RB', 'I-NP', 'O')
('expressed', 'express', 'VBN', 'I-NP', 'O')
('genes:', 'genes:', ':', 'O', 'O')
('ETS1,', 'ETS1,', 'NNP', 'B-NP', 'O')
('ASCL2,', 'ASCL2,', 'NNP', 'I-NP', 'O')
('BTG2,', 'BTG2,', 'NNP', 'I-NP', 'O')
('BTG1,', 'BTG1,', 'NNP', 'I-NP', 'O')
('SLAMF6,', 'SLAMF6,', 'NNP', 'I-NP', 'O')
('CDKN2D,', 'CDKN2D,', 'NNP', 'I-NP', 'O')
('RRAS,', 'RRAS,', 'NNP', 'I-NP', 'O')
('RET,', 'RET,', 'NNP', 'I-NP', 'O')
('GIPC1,', 'GIPC1,', 'NNP', 'I-NP', 'O')
('MAGEB,', 'MAGEB,', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('RGL4.', 'RGL4.', 'NNP', 'B-NP', 'O')
We report the results of our leukemia cell microarray profiles after epigenetic combination therapy with the hope that they are the starting point of selectively targeted epigenetic therapy.
('We', 'We', 'PRP', 'B-NP', 'O')
('report', 'report', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('leukemia', 'leukemia', 'NN', 'I-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('profiles', 'profile', 'NNS', 'I-NP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'B-NP', 'O')
('combination', 'combination', 'NN', 'I-NP', 'O')
('therapy', 'therapy', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('hope', 'hope', 'NN', 'I-NP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('starting', 'start', 'VBG', 'I-NP', 'O')
('point', 'point', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('selectively', 'selectively', 'RB', 'B-NP', 'O')
('targeted', 'target', 'VBN', 'I-NP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'I-NP', 'O')
('therapy.', 'therapy.', 'NN', 'I-NP', 'O')
Chromatin remodeling is important in gene expression, DNA repair, and replication (Bishton et al., 2007).
('Chromatin', 'Chromatin', 'NN', 'B-NP', 'B-DNA')
('remodeling', 'remodeling', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('important', 'important', 'JJ', 'B-ADJP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression,', 'expression,', 'NN', 'I-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'O')
('repair,', 'repair,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('replication', 'replication', 'NN', 'I-NP', 'O')
('(Bishton', '(Bishton', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2007).', '2007).', 'CD', 'B-NP', 'O')
Methylation of promotor regions of tumor suppressor genes and histone deacetylation lead to gene silencing (Bishton et al., 2007).
('Methylation', 'Methylation', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('promotor', 'promotor', 'NN', 'B-NP', 'O')
('regions', 'region', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('tumor', 'tumor', 'NN', 'B-NP', 'B-DNA')
('suppressor', 'suppressor', 'NN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('histone', 'histone', 'NN', 'B-NP', 'O')
('deacetylation', 'deacetylation', 'NN', 'I-NP', 'O')
('lead', 'lead', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('silencing', 'silencing', 'NN', 'I-NP', 'O')
('(Bishton', '(Bishton', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2007).', '2007).', 'CD', 'B-NP', 'O')
Epigenetic modification with histone deacetylase inhibitors and hypomethylating agents allow upregulation of proapoptotic genes and downregulation of antiapoptotic genes, and show significant singleagent anticancer activity (Bishton et al., 2007; Dalgard et al., 2008).
('Epigenetic', 'Epigenetic', 'JJ', 'B-NP', 'O')
('modification', 'modification', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('histone', 'histone', 'NN', 'B-NP', 'B-protein')
('deacetylase', 'deacetylase', 'NN', 'I-NP', 'I-protein')
('inhibitors', 'inhibitor', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('hypomethylating', 'hypomethylate', 'VBG', 'B-NP', 'O')
('agents', 'agent', 'NNS', 'I-NP', 'O')
('allow', 'allow', 'VBP', 'B-VP', 'O')
('upregulation', 'upregulation', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('proapoptotic', 'proapoptotic', 'JJ', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('downregulation', 'downregulation', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('antiapoptotic', 'antiapoptotic', 'JJ', 'B-NP', 'O')
('genes,', 'genes,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('show', 'show', 'VBP', 'B-VP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('singleagent', 'singleagent', 'JJ', 'I-NP', 'O')
('anticancer', 'anticancer', 'JJ', 'I-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('(Bishton', '(Bishton', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2007;', '2007;', ':', 'O', 'O')
('Dalgard', 'Dalgard', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2008).', '2008).', 'CD', 'B-NP', 'O')
Combinations of these drugs are being employed in clinical trials to target multiple biological pathways (Bishton et al., 2007).
('Combinations', 'Combination', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('drugs', 'drug', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('being', 'be', 'VBG', 'I-VP', 'O')
('employed', 'employ', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('clinical', 'clinical', 'JJ', 'B-NP', 'O')
('trials', 'trial', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('target', 'target', 'VB', 'I-VP', 'O')
('multiple', 'multiple', 'JJ', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('(Bishton', '(Bishton', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2007).', '2007).', 'CD', 'B-NP', 'O')
Preclinical studies of combinations of these agents are ongoing and demonstrate synergy in many hematological cancers (Bishton et al., 2007).
('Preclinical', 'Preclinical', 'JJ', 'B-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('combinations', 'combination', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('agents', 'agent', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('ongoing', 'ongoe', 'VBG', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('demonstrate', 'demonstrate', 'VBP', 'B-VP', 'O')
('synergy', 'synergy', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('hematological', 'hematological', 'JJ', 'I-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('(Bishton', '(Bishton', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2007).', '2007).', 'CD', 'B-NP', 'O')
But, the exact target is still ambiguous and can not be controlled precisely.
('But,', 'But,', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('exact', 'exact', 'JJ', 'I-NP', 'O')
('target', 'target', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('still', 'still', 'RB', 'B-ADVP', 'O')
('ambiguous', 'ambiguous', 'JJ', 'B-ADJP', 'O')
('and', 'and', 'CC', 'O', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('controlled', 'control', 'VBN', 'I-VP', 'O')
('precisely.', 'precisely.', 'NN', 'B-NP', 'O')
We report the results of our leukemia cell microarray profiles after epigenetic combination therapy.
('We', 'We', 'PRP', 'B-NP', 'O')
('report', 'report', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('leukemia', 'leukemia', 'NN', 'I-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('profiles', 'profile', 'NNS', 'I-NP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'B-NP', 'O')
('combination', 'combination', 'NN', 'I-NP', 'O')
('therapy.', 'therapy.', '.', 'O', 'O')
There are several reasons why both demethylating agents and histone deacetylase inhibitors (HDACis) are excellent candidates for examination as part of combination strategies (Bishton et al., 2007).
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('reasons', 'reason', 'NNS', 'I-NP', 'O')
('why', 'why', 'WRB', 'B-ADVP', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('demethylating', 'demethylate', 'VBG', 'I-NP', 'O')
('agents', 'agent', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('histone', 'histone', 'NN', 'B-NP', 'B-protein')
('deacetylase', 'deacetylase', 'NN', 'I-NP', 'I-protein')
('inhibitors', 'inhibitor', 'NNS', 'I-NP', 'O')
('(HDACis)', '(HDACis)', 'NN', 'I-NP', 'B-protein')
('are', 'be', 'VBP', 'B-VP', 'O')
('excellent', 'excellent', 'JJ', 'B-NP', 'O')
('candidates', 'candidate', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('examination', 'examination', 'NN', 'B-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('part', 'part', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('combination', 'combination', 'NN', 'B-NP', 'O')
('strategies', 'strategy', 'NNS', 'I-NP', 'O')
('(Bishton', '(Bishton', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2007).', '2007).', 'CD', 'B-NP', 'O')
First, these agents have considerable singleagent activity in hematological malignancies; this activity is probably related to the modification of epigenetic changes, leading to reexpression of aberrantly silenced tumor suppressor genes (Bishton et al., 2007).
('First,', 'First,', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('agents', 'agent', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('considerable', 'considerable', 'JJ', 'B-NP', 'O')
('singleagent', 'singleagent', 'NN', 'I-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('hematological', 'hematological', 'JJ', 'B-NP', 'O')
('malignancies;', 'malignancies;', 'NN', 'I-NP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('probably', 'probably', 'RB', 'I-VP', 'O')
('related', 'relate', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('modification', 'modification', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'B-NP', 'O')
('changes,', 'changes,', 'NN', 'I-NP', 'O')
('leading', 'lead', 'VBG', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('reexpression', 'reexpression', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('aberrantly', 'aberrantly', 'RB', 'B-NP', 'O')
('silenced', 'silenced', 'JJ', 'I-NP', 'B-DNA')
('tumor', 'tumor', 'NN', 'I-NP', 'I-DNA')
('suppressor', 'suppressor', 'NN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('(Bishton', '(Bishton', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2007).', '2007).', 'CD', 'B-NP', 'O')
However, the relatively low response of single agents in myelodysplastic syndromes and acute myeloid leukemia demonstrates that there are numerous cellular ‘escape mechanisms’ that allow the cell to avoid cell death (Bishton et al., 2007).
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('relatively', 'relatively', 'RB', 'I-NP', 'O')
('low', 'low', 'JJ', 'I-NP', 'O')
('response', 'response', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('single', 'single', 'JJ', 'B-NP', 'O')
('agents', 'agent', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('myelodysplastic', 'myelodysplastic', 'JJ', 'B-NP', 'O')
('syndromes', 'syndrome', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('acute', 'acute', 'JJ', 'B-NP', 'O')
('myeloid', 'myeloid', 'JJ', 'I-NP', 'O')
('leukemia', 'leukemia', 'NN', 'I-NP', 'O')
('demonstrates', 'demonstrate', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('numerous', 'numerous', 'JJ', 'B-NP', 'O')
('cellular', 'cellular', 'JJ', 'I-NP', 'O')
('‘escape', '‘escape', 'NN', 'I-NP', 'O')
('mechanisms’', 'mechanisms’', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('allow', 'allow', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('avoid', 'avoid', 'VB', 'I-VP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'O')
('death', 'death', 'NN', 'I-NP', 'O')
('(Bishton', '(Bishton', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2007).', '2007).', 'CD', 'B-NP', 'O')
Combination approaches with demethylating agents and HDACis that are targeted at the epigenome may overcome some of this resistance.
('Combination', 'Combination', 'NN', 'B-NP', 'O')
('approaches', 'approach', 'VBZ', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('demethylating', 'demethylate', 'VBG', 'B-NP', 'O')
('agents', 'agent', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('HDACis', 'HDACis', 'NNP', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('targeted', 'target', 'VBN', 'I-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('epigenome', 'epigenome', 'NN', 'I-NP', 'B-DNA')
