Finding Interesting Genes Using Reliability in Various Gene Expression Models.
('Finding', 'Find', 'VBG', 'B-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('good', 'good', 'JJ', 'I-NP', 'O')
('guideline', 'guideline', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('real', 'real', 'JJ', 'B-NP', 'O')
('differentially', 'differentially', 'RB', 'I-NP', 'O')
('expressed', 'express', 'VBN', 'I-NP', 'O')
('genes.', 'genes.', 'NNS', 'I-NP', 'O')
Instead of filtering out genes before the analysis, we use whole genes in the analysis and make decisions with new reliability measures.
('Instead', 'Instead', 'RB', 'B-PP', 'O')
('of', 'of', 'IN', 'I-PP', 'O')
('filtering', 'filter', 'VBG', 'B-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('before', 'before', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis,', 'analysis,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('use', 'use', 'VBP', 'B-VP', 'O')
('whole', 'whole', 'JJ', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('make', 'make', 'VB', 'B-VP', 'O')
('decisions', 'decision', 'NNS', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('new', 'new', 'JJ', 'B-NP', 'O')
('reliability', 'reliability', 'NN', 'I-NP', 'O')
('measures.', 'measures.', 'NN', 'I-NP', 'O')
In Affymetrix microarrays, the expression of each gene is measured by comparing the hybridization of the sample mRNA to a set of probes.
('In', 'In', 'IN', 'B-PP', 'O')
('Affymetrix', 'Affymetrix', 'NNP', 'B-NP', 'O')
('microarrays,', 'microarrays,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('measured', 'measure', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('comparing', 'compare', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('hybridization', 'hybridization', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'B-RNA')
('mRNA', 'mRNA', 'NN', 'I-NP', 'I-RNA')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('probes.', 'probes.', 'NN', 'B-NP', 'O')
A probe is composed of 11-20 pairs of oligonucleotides, each 25 base pairs in length.
('A', 'A', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('composed', 'compose', 'VBN', 'I-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('11-20', '11-20', 'CD', 'B-NP', 'O')
('pairs', 'pair', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('oligonucleotides,', 'oligonucleotides,', 'NN', 'B-NP', 'B-protein')
('each', 'each', 'DT', 'B-NP', 'I-protein')
('25', '25', 'CD', 'I-NP', 'I-protein')
('base', 'base', 'NN', 'I-NP', 'I-protein')
('pairs', 'pair', 'NNS', 'I-NP', 'I-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('length.', 'length.', 'NN', 'B-NP', 'O')
The first type of probe in each pair is known as a perfect match (PM), which is taken from the target gene sequence.
('The', 'The', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('type', 'type', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('probe', 'probe', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('pair', 'pair', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('known', 'know', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('perfect', 'perfect', 'JJ', 'I-NP', 'O')
('match', 'match', 'NN', 'I-NP', 'O')
('(PM),', '(PM),', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('taken', 'take', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('target', 'target', 'NN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('sequence.', 'sequence.', 'NN', 'I-NP', 'O')
The second type is known as a mismatch (MM), created by changing the middle (13th) base of the PM sequence.
('The', 'The', 'DT', 'B-NP', 'O')
('second', 'second', 'JJ', 'I-NP', 'O')
('type', 'type', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('known', 'know', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('mismatch', 'mismatch', 'NN', 'I-NP', 'O')
('(MM),', '(MM),', 'NN', 'I-NP', 'O')
('created', 'create', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('changing', 'change', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('middle', 'middle', 'JJ', 'I-NP', 'O')
('(13th)', '(13th)', 'NN', 'I-NP', 'O')
('base', 'base', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('PM', 'PM', 'NN', 'I-NP', 'O')
('sequence.', 'sequence.', 'NN', 'I-NP', 'O')
The purpose of measuring MM values is to control for nonspecific binding of mRNA, but the actual use of MM values has become controversial (Lazaridis et al., 2001).
('The', 'The', 'DT', 'B-NP', 'O')
('purpose', 'purpose', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('measuring', 'measure', 'VBG', 'B-VP', 'O')
('MM', 'MM', 'NN', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('control', 'control', 'VB', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('nonspecific', 'nonspecific', 'JJ', 'B-NP', 'O')
('binding', 'binding', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('mRNA,', 'mRNA,', 'NN', 'B-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('actual', 'actual', 'JJ', 'I-NP', 'O')
('use', 'use', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('MM', 'MM', 'NN', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('become', 'become', 'VBN', 'I-VP', 'O')
('controversial', 'controversial', 'JJ', 'B-NP', 'O')
('(Lazaridis', '(Lazaridis', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2001).', '2001).', 'CD', 'B-NP', 'O')
A gene expression experiment is usually conducted with multiple arrays, also called chips, to compare gene expression across different treatments (genotype, cofactor, replicate).
('A', 'A', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('experiment', 'experiment', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('usually', 'usually', 'RB', 'I-VP', 'O')
('conducted', 'conduct', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('multiple', 'multiple', 'JJ', 'B-NP', 'O')
('arrays,', 'arrays,', 'NN', 'I-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('called', 'call', 'VBD', 'B-VP', 'O')
('chips,', 'chips,', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('compare', 'compare', 'VB', 'I-VP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('across', 'across', 'IN', 'B-PP', 'O')
('different', 'different', 'JJ', 'B-NP', 'O')
('treatments', 'treatment', 'NNS', 'I-NP', 'O')
('(genotype,', '(genotype,', 'VBD', 'B-VP', 'O')
('cofactor,', 'cofactor,', 'NN', 'B-NP', 'O')
('replicate).', 'replicate).', 'NN', 'I-NP', 'O')
Each chip is prepared by labeling it with a fluorescent dye and hybridizing it to an array.
('Each', 'Each', 'DT', 'B-NP', 'O')
('chip', 'chip', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('prepared', 'prepare', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('labeling', 'label', 'VBG', 'B-VP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('fluorescent', 'fluorescent', 'JJ', 'I-NP', 'O')
('dye', 'dye', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('hybridizing', 'hybridize', 'VBG', 'B-VP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('array.', 'array.', 'NN', 'I-NP', 'O')
The arrays are scanned into images, which are numerically processed to obtain fluorescence intensity values for each PM and MM sequence.
('The', 'The', 'DT', 'B-NP', 'O')
('arrays', 'array', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('scanned', 'scan', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('images,', 'images,', 'NN', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('numerically', 'numerically', 'RB', 'I-VP', 'O')
('processed', 'process', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('obtain', 'obtain', 'VB', 'I-VP', 'O')
('fluorescence', 'fluorescence', 'NN', 'B-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('PM', 'PM', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('MM', 'MM', 'NN', 'B-NP', 'O')
('sequence.', 'sequence.', 'NN', 'I-NP', 'O')
Gene expression microarrays are powerful bioinformatic tools, but the variability arising throughout the measurement process can obscure the biological signals of interest.
('Gene', 'Gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('microarrays', 'microarray', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('powerful', 'powerful', 'JJ', 'B-NP', 'O')
('bioinformatic', 'bioinformatic', 'JJ', 'I-NP', 'O')
('tools,', 'tools,', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variability', 'variability', 'NN', 'I-NP', 'O')
('arising', 'arise', 'VBG', 'B-VP', 'O')
('throughout', 'throughout', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('measurement', 'measurement', 'NN', 'I-NP', 'O')
('process', 'process', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('obscure', 'obscure', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('signals', 'signal', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('interest.', 'interest.', 'NN', 'B-NP', 'O')
Quantification of the measurement error helps to extract significant biological signals.
('Quantification', 'Quantification', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('measurement', 'measurement', 'NN', 'I-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('helps', 'help', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('extract', 'extract', 'VB', 'I-VP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('signals.', 'signals.', 'NN', 'I-NP', 'O')
The chiptochip variability is controlled by normalization, which yields the same distribution of PM and MM values for each chip.
('The', 'The', 'DT', 'B-NP', 'O')
('chiptochip', 'chiptochip', 'NN', 'I-NP', 'O')
('variability', 'variability', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('controlled', 'control', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('normalization,', 'normalization,', 'NN', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('yields', 'yield', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('distribution', 'distribution', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('PM', 'PM', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('MM', 'MM', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('chip.', 'chip.', 'NN', 'I-NP', 'O')
(See Bolstad et al., (2003) for a comparison of methods. )
('(See', '(See', 'NNP', 'B-NP', 'O')
('Bolstad', 'Bolstad', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'B-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('(2003)', '(2003)', 'LS', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('comparison', 'comparison', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('methods.', 'methods.', 'NN', 'B-NP', 'O')
(')', ')', ')', 'O', 'O')
After normalization, the values from a probe set are summarized into a single gene expression measure, quantifying the gene activity.
('After', 'After', 'IN', 'B-PP', 'O')
('normalization,', 'normalization,', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('summarized', 'summarize', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('single', 'single', 'JJ', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('measure,', 'measure,', 'NN', 'I-NP', 'O')
('quantifying', 'quantify', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('activity.', 'activity.', 'NN', 'I-NP', 'O')
Common approaches are the average difference, the modelbased expression index (Li and Wong, 2001), the MAS 5.0 algorithm from Affymetrix, and the robust multichip average (rma) (Irizarry et al., 2003).
('Common', 'Common', 'JJ', 'B-NP', 'O')
('approaches', 'approach', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('average', 'average', 'JJ', 'I-NP', 'O')
('difference,', 'difference,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('modelbased', 'modelbased', 'JJ', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('index', 'index', 'NN', 'I-NP', 'O')
('(Li', '(Li', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Wong,', 'Wong,', 'NNP', 'I-NP', 'O')
('2001),', '2001),', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('MAS', 'MAS', 'NN', 'I-NP', 'O')
('5.0', '5.0', 'CD', 'I-NP', 'O')
('algorithm', 'algorithm', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('Affymetrix,', 'Affymetrix,', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('robust', 'robust', 'JJ', 'I-NP', 'O')
('multichip', 'multichip', 'JJ', 'I-NP', 'O')
('average', 'average', 'JJ', 'I-NP', 'O')
('(rma)', '(rma)', 'NN', 'I-NP', 'O')
('(Irizarry', '(Irizarry', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2003).', '2003).', 'CD', 'B-NP', 'O')
Fig.
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
1 shows profile plots for two genes, 265670_s_a and 249093_at, each having 11 PM values.
('1', '1', 'CD', 'B-NP', 'O')
('shows', 'show', 'NNS', 'I-NP', 'O')
('profile', 'profile', 'VBP', 'B-VP', 'O')
('plots', 'plot', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('genes,', 'genes,', 'NN', 'I-NP', 'O')
('265670_s_a', '265670_s_a', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('249093_at,', '249093_at,', 'VBD', 'B-VP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('having', 'have', 'VBG', 'B-VP', 'O')
('11', '11', 'CD', 'B-NP', 'O')
('PM', 'PM', 'NN', 'I-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
The rma summary expression value is a solid line, and the PM values are dashed lines.
('The', 'The', 'DT', 'B-NP', 'O')
('rma', 'rma', 'NN', 'I-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('solid', 'solid', 'JJ', 'I-NP', 'O')
('line,', 'line,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('PM', 'PM', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('dashed', 'dash', 'VBN', 'I-VP', 'O')
('lines.', 'lines.', 'NN', 'B-NP', 'O')
The horizontal axis shows the numbers for the eight chips, organized into three genotypes (A, B, C) and their replicates, and the vertical axis shows the logscale expression values.
('The', 'The', 'DT', 'B-NP', 'O')
('horizontal', 'horizontal', 'JJ', 'I-NP', 'O')
('axis', 'axis', 'NN', 'I-NP', 'O')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('numbers', 'number', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('eight', 'eight', 'CD', 'I-NP', 'O')
('chips,', 'chips,', 'NN', 'I-NP', 'O')
('organized', 'organize', 'VBN', 'B-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('genotypes', 'genotype', 'NNS', 'I-NP', 'O')
('(A,', '(A,', 'NNP', 'I-NP', 'O')
('B,', 'B,', 'NNP', 'I-NP', 'O')
('C)', 'C)', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('replicates,', 'replicates,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('vertical', 'vertical', 'JJ', 'I-NP', 'O')
('axis', 'axis', 'NN', 'I-NP', 'O')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('logscale', 'logscale', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
The gene 265670_s_a has much less variability in PM value than the gene 249093_at, and thus, it is considered to have a more reliable measure of gene expression.
('The', 'The', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('265670_s_a', '265670_s_a', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('much', 'much', 'RB', 'B-NP', 'O')
('less', 'less', 'JJR', 'I-NP', 'O')
('variability', 'variability', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('PM', 'PM', 'NN', 'B-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('249093_at,', '249093_at,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('thus,', 'thus,', 'NN', 'B-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('considered', 'consider', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('more', 'more', 'RBR', 'I-NP', 'O')
('reliable', 'reliable', 'JJ', 'I-NP', 'O')
('measure', 'measure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression.', 'expression.', 'NN', 'I-NP', 'O')
Commonly used models for finding differentially expressed genes are ANOVA (Churchill, 2004) and the HLM for oneway ANOVA (Chu et al., 2002).
('Commonly', 'Commonly', 'RB', 'B-NP', 'O')
('used', 'use', 'VBN', 'I-NP', 'O')
('models', 'model', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
