A Computer-aided Design Tool with Semiautomatic Image-Processing Features for Visualizing Biological Pathways.
('A', 'A', 'DT', 'B-NP', 'O')
('external', 'external', 'JJ', 'B-NP', 'O')
('databases', 'database', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('capable', 'capable', 'JJ', 'B-ADJP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('reproducing', 'reproduce', 'VBG', 'B-VP', 'O')
('existing', 'exist', 'VBG', 'B-NP', 'O')
('visual', 'visual', 'JJ', 'I-NP', 'O')
('representations', 'representation', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('pathway', 'pathway', 'NN', 'B-NP', 'O')
('maps.', 'maps.', 'NN', 'I-NP', 'O')
CAD (ComputerAided Design) has been traditionally used to assist in modeling in various fields, and advances in the biological community have created new uses for CAD with many novel biomedical applications (Demir et al., 2002; Holford et al., 2005; Sorokin et al., 2006; Sun, 2005).
('CAD', 'CAD', 'NN', 'B-NP', 'O')
('(ComputerAided', '(ComputerAide', 'VBD', 'B-VP', 'O')
('Design)', 'Design)', 'NN', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('traditionally', 'traditionally', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('assist', 'assist', 'VB', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('modeling', 'modeling', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('various', 'various', 'JJ', 'B-NP', 'O')
('fields,', 'fields,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('advances', 'advance', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('community', 'community', 'NN', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('created', 'create', 'VBN', 'I-VP', 'O')
('new', 'new', 'JJ', 'B-NP', 'O')
('uses', 'use', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('CAD', 'CAD', 'NN', 'B-NP', 'B-protein')
('with', 'with', 'IN', 'B-PP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('novel', 'novel', 'JJ', 'I-NP', 'O')
('biomedical', 'biomedical', 'JJ', 'I-NP', 'O')
('applications', 'application', 'NNS', 'I-NP', 'O')
('(Demir', '(Demir', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2002;', '2002;', ':', 'O', 'O')
('Holford', 'Holford', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2005;', '2005;', ':', 'O', 'O')
('Sorokin', 'Sorokin', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2006;', '2006;', ':', 'O', 'O')
('Sun,', 'Sun,', 'NNP', 'B-NP', 'O')
('2005).', '2005).', '.', 'O', 'O')
Especially, CAD can be a visualization gateway to gather numerous biological pathway resources, not only from biological pathway databases but also from static images and research articles.
('Especially,', 'Especially,', 'NN', 'B-NP', 'O')
('CAD', 'CAD', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('visualization', 'visualization', 'NN', 'I-NP', 'O')
('gateway', 'gateway', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('gather', 'gather', 'VB', 'I-VP', 'O')
('numerous', 'numerous', 'JJ', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('resources,', 'resources,', 'NN', 'I-NP', 'O')
('not', 'not', 'RB', 'B-CONJP', 'O')
('only', 'only', 'RB', 'I-CONJP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('databases', 'database', 'NNS', 'I-NP', 'O')
('but', 'but', 'CC', 'B-CONJP', 'O')
('also', 'also', 'RB', 'I-CONJP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('static', 'static', 'JJ', 'B-NP', 'O')
('images', 'image', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('research', 'research', 'NN', 'B-NP', 'O')
('articles.', 'articles.', 'NNS', 'I-NP', 'O')
The PPE (Pyrus Pathway Editor) system, a Java based visual tool for drawing and annotating biological pathways, is described in this paper.
('The', 'The', 'DT', 'B-NP', 'O')
('PPE', 'PPE', 'NNP', 'I-NP', 'O')
('(Pyrus', '(Pyrus', 'NNP', 'I-NP', 'O')
('Pathway', 'Pathway', 'NNP', 'I-NP', 'O')
('Editor)', 'Editor)', 'NNP', 'I-NP', 'O')
('system,', 'system,', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Java', 'Java', 'NNP', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('visual', 'visual', 'JJ', 'B-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('drawing', 'draw', 'VBG', 'B-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('annotating', 'annotate', 'VBG', 'I-VP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('pathways,', 'pathways,', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('described', 'describe', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper.', 'paper.', 'NN', 'I-NP', 'O')
It is a graphical editor for biological pathways, and it integrates the pathway image and XML file source.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('graphical', 'graphical', 'JJ', 'I-NP', 'O')
('editor', 'editor', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('pathways,', 'pathways,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('integrates', 'integrate', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('image', 'image', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('XML', 'XML', 'NN', 'B-NP', 'O')
('file', 'file', 'NN', 'I-NP', 'O')
('source.', 'source.', 'NN', 'I-NP', 'O')
Fig.
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
1 shows a snapshot of the PPE system.
('1', '1', 'CD', 'B-NP', 'O')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('snapshot', 'snapshot', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('PPE', 'PPE', 'NN', 'I-NP', 'O')
('system.', 'system.', 'NN', 'I-NP', 'O')
The PPE window contains a menu bar, tool bar, status bar, and a progress bar at the top of the screen.
('The', 'The', 'DT', 'B-NP', 'O')
('PPE', 'PPE', 'NN', 'I-NP', 'O')
('window', 'window', 'NN', 'I-NP', 'O')
('contains', 'contain', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('menu', 'menu', 'NN', 'I-NP', 'O')
('bar,', 'bar,', 'NN', 'I-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('bar,', 'bar,', 'NN', 'I-NP', 'O')
('status', 'status', 'NN', 'I-NP', 'O')
('bar,', 'bar,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('progress', 'progress', 'NN', 'I-NP', 'O')
('bar', 'bar', 'NN', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('top', 'top', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('screen.', 'screen.', 'NN', 'I-NP', 'O')
Windows can be dragged around the screen and resized.
('Windows', 'Window', 'NNS', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('dragged', 'drag', 'VBN', 'I-VP', 'O')
('around', 'around', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('screen', 'screen', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('resized.', 'resized.', 'NN', 'I-NP', 'O')
The tool bar contains tools for making selections, for zooming and scrolling images, and for changing the drawing color.
('The', 'The', 'DT', 'B-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('bar', 'bar', 'NN', 'I-NP', 'O')
('contains', 'contain', 'VBZ', 'B-VP', 'O')
('tools', 'tool', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('making', 'make', 'VBG', 'B-VP', 'O')
('selections,', 'selections,', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('zooming', 'zoom', 'VBG', 'B-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('scrolling', 'scrolle', 'VBG', 'I-VP', 'O')
('images,', 'images,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'B-PP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('changing', 'change', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('drawing', 'drawing', 'NN', 'I-NP', 'O')
('color.', 'color.', 'NN', 'I-NP', 'O')
The status bar, when the cursor is over an image, displays pixel coordinates and values.
('The', 'The', 'DT', 'B-NP', 'O')
('status', 'status', 'NN', 'I-NP', 'O')
('bar,', 'bar,', 'NN', 'I-NP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('cursor', 'cursor', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('over', 'over', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('image,', 'image,', 'NN', 'I-NP', 'O')
('displays', 'display', 'VBZ', 'B-VP', 'O')
('pixel', 'pixel', 'NN', 'B-NP', 'O')
('coordinates', 'coordinate', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('values.', 'values.', 'NNS', 'I-NP', 'O')
The progress bar shows the progress of time consuming operations.
('The', 'The', 'DT', 'B-NP', 'O')
('progress', 'progress', 'NN', 'I-NP', 'O')
('bar', 'bar', 'NN', 'I-NP', 'O')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('progress', 'progress', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('time', 'time', 'NN', 'B-NP', 'O')
('consuming', 'consume', 'VBG', 'B-VP', 'O')
('operations.', 'operations.', 'NNS', 'B-NP', 'O')
PPE provides several common visual notations but also allows the user to define his own notations.
('PPE', 'PPE', 'NN', 'B-NP', 'B-protein')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('visual', 'visual', 'JJ', 'I-NP', 'O')
('notations', 'notation', 'NNS', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('allows', 'allow', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('define', 'define', 'VB', 'I-VP', 'O')
('his', 'his', 'PRP$', 'B-NP', 'O')
('own', 'own', 'JJ', 'I-NP', 'O')
('notations.', 'notations.', 'NNS', 'I-NP', 'O')
The shape menu in the left window, in       Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('shape', 'shape', 'NN', 'I-NP', 'O')
('menu', 'menu', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('left', 'left', 'JJ', 'I-NP', 'O')
('window,', 'window,', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
1, can be used to select the shapes of the biological nodes.
('1,', '1,', 'LS', 'B-LST', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('select', 'select', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('shapes', 'shape', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('nodes.', 'nodes.', 'NN', 'I-NP', 'O')
Users can annotate map elements with biological information or link them to external databases.
('Users', 'User', 'NNS', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('annotate', 'annotate', 'VB', 'I-VP', 'O')
('map', 'map', 'NN', 'B-NP', 'O')
('elements', 'element', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('link', 'link', 'VB', 'B-VP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('external', 'external', 'JJ', 'B-NP', 'O')
('databases.', 'databases.', 'NNS', 'I-NP', 'O')
The File/Import submenu provides access to plugins for reading XML files and for loading images.
('The', 'The', 'DT', 'B-NP', 'O')
('File/Import', 'File/Import', 'NNP', 'I-NP', 'O')
('submenu', 'submenu', 'NN', 'I-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('access', 'access', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('plugins', 'plugin', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('reading', 'read', 'VBG', 'B-VP', 'O')
('XML', 'XML', 'NN', 'B-NP', 'O')
('files', 'file', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'B-PP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('loading', 'load', 'VBG', 'B-VP', 'O')
('images.', 'images.', 'NN', 'B-NP', 'O')
Thus, maps can be drawn in several modes.
('Thus,', 'Thus,', 'DT', 'B-NP', 'O')
('maps', 'map', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('drawn', 'draw', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('modes.', 'modes.', 'NNS', 'I-NP', 'O')
First, they can be imported from external XML file sources and laid out in the editor window, as in Fig.
('First,', 'First,', 'IN', 'B-SBAR', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('imported', 'import', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('external', 'external', 'JJ', 'B-NP', 'O')
('XML', 'XML', 'NN', 'I-NP', 'O')
('file', 'file', 'NN', 'I-NP', 'O')
('sources', 'source', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('laid', 'lay', 'VBD', 'B-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('editor', 'editor', 'NN', 'I-NP', 'O')
('window,', 'window,', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
1.
('1.', '1.', 'LS', 'B-LST', 'O')
In the case that layout information is not provided in the XML file, an automatic layout module will be applied to display biological pathways.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('case', 'case', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('layout', 'layout', 'VBD', 'B-VP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('provided', 'provide', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('XML', 'XML', 'NN', 'I-NP', 'O')
('file,', 'file,', 'VBD', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('automatic', 'automatic', 'JJ', 'I-NP', 'O')
('layout', 'layout', 'NN', 'I-NP', 'O')
('module', 'module', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('applied', 'apply', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('display', 'display', 'VB', 'I-VP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('pathways.', 'pathways.', 'NNS', 'I-NP', 'O')
Second, it allows a user to import external image sources, process the image, convert the processed image into an XML format, and finally generate maps in the editor window.
('Second,', 'Second,', 'NN', 'B-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('allows', 'allow', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('import', 'import', 'VB', 'I-VP', 'O')
('external', 'external', 'JJ', 'B-NP', 'O')
('image', 'image', 'NN', 'I-NP', 'O')
('sources,', 'sources,', 'NN', 'I-NP', 'O')
('process', 'process', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('image,', 'image,', 'NN', 'I-NP', 'O')
('convert', 'convert', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('processed', 'process', 'VBN', 'I-NP', 'O')
('image', 'image', 'NN', 'I-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('XML', 'XML', 'NN', 'I-NP', 'B-DNA')
('format,', 'format,', 'NN', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('finally', 'finally', 'RB', 'B-VP', 'O')
('generate', 'generate', 'VB', 'I-VP', 'O')
('maps', 'map', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('editor', 'editor', 'NN', 'I-NP', 'O')
('window.', 'window.', 'NN', 'I-NP', 'O')
The File/Open command opens TIFF, GIF, and JPEG images.
('The', 'The', 'DT', 'B-NP', 'O')
('File/Open', 'File/Open', 'NNP', 'I-NP', 'O')
('command', 'command', 'NN', 'I-NP', 'O')
('opens', 'open', 'VBZ', 'B-VP', 'O')
('TIFF,', 'TIFF,', 'NNP', 'B-NP', 'O')
('GIF,', 'GIF,', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('JPEG', 'JPEG', 'NNP', 'B-NP', 'O')
('images.', 'images.', '.', 'O', 'O')
There are some excellent image sources, ranging from image pathway databases, such as KEGG (http://www.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('excellent', 'excellent', 'JJ', 'I-NP', 'O')
('image', 'image', 'NN', 'I-NP', 'O')
('sources,', 'sources,', 'NN', 'I-NP', 'O')
('ranging', 'range', 'VBG', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('image', 'image', 'NN', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('databases,', 'databases,', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('KEGG', 'KEGG', 'NNP', 'B-NP', 'O')
('(http://www.', '(http://www.', 'LS', 'B-LST', 'O')
kegg.
('kegg.', 'kegg.', 'LS', 'B-LST', 'O')
org/) and BioCARTA (http:// www.
('org/)', 'org/)', 'LS', 'B-LST', 'O')
('and', 'and', 'CC', 'O', 'O')
('BioCARTA', 'BioCARTA', 'NNP', 'B-NP', 'O')
('(http://', '(http://', 'NNP', 'I-NP', 'O')
('www.', 'www.', '.', 'O', 'O')
biocarta.
('biocarta.', 'biocarta.', 'LS', 'B-LST', 'O')
com), to images in numerous biological textbooks, research papers, and websites.
('com),', 'com),', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('images', 'image', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('numerous', 'numerous', 'JJ', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('textbooks,', 'textbooks,', 'NN', 'I-NP', 'O')
('research', 'research', 'NN', 'I-NP', 'O')
('papers,', 'papers,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('websites.', 'websites.', 'NN', 'B-NP', 'O')
These external images are initially displayed in additional windows below the main editing window, as in Fig.
('These', 'These', 'DT', 'B-NP', 'O')
('external', 'external', 'JJ', 'I-NP', 'O')
('images', 'image', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
