AKAPDB: A-Kinase Anchoring Proteins Database.
('(AKAPDB),', '(AKAPDB),', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('contains', 'contain', 'VBZ', 'B-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('information,', 'information,', 'NN', 'I-NP', 'O')
('functions', 'function', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('derived', 'derive', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('prediction', 'prediction', 'NN', 'B-NP', 'O')
('programs', 'program', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('databases.', 'databases.', 'NNS', 'I-NP', 'O')
Therefore, we propose that AKAPDB can be an important tool to researchers in the related fields.
('Therefore,', 'Therefore,', 'RB', 'B-ADVP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('propose', 'propose', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('important', 'important', 'JJ', 'I-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('researchers', 'researcher', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('related', 'relate', 'VBN', 'I-NP', 'O')
('fields.', 'fields.', 'NNS', 'I-NP', 'O')
AKAPDB is available via the internet at http://plaza3.
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('available', 'available', 'JJ', 'B-ADJP', 'O')
('via', 'via', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('internet', 'internet', 'NN', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('http://plaza3.', 'http://plaza3.', 'NN', 'B-NP', 'O')
snu.
('snu.', 'snu.', 'LS', 'B-LST', 'O')
ac.
('ac.', 'ac.', 'LS', 'B-LST', 'O')
kr/akapdb/     Cellular regulation is controlled by the opposing actions of protein kinases and phosphatases (Scott and Pawson, 2000).
('kr/akapdb/', 'kr/akapdb/', 'NN', 'B-NP', 'O')
('Cellular', 'Cellular', 'JJ', 'I-NP', 'O')
('regulation', 'regulation', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('controlled', 'control', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('opposing', 'oppose', 'VBG', 'I-NP', 'O')
('actions', 'action', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('protein', 'protein', 'NN', 'B-NP', 'B-protein')
('kinases', 'kinase', 'NNS', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'O', 'O')
('phosphatases', 'phosphatas', 'NNS', 'B-NP', 'B-protein')
('(Scott', '(Scott', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Pawson,', 'Pawson,', 'NNP', 'I-NP', 'O')
('2000).', '2000).', 'CD', 'I-NP', 'O')
The spatiotemporal control of these enzymes by AKAPs is important to metabolism, gene transcription, ion channel conductivity, cell growth, cell division and actin cytoskeleton rearrangements (Francis et al., 1994; Scott, 1991).
('The', 'The', 'DT', 'B-NP', 'O')
('spatiotemporal', 'spatiotemporal', 'JJ', 'I-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('enzymes', 'enzyme', 'NNS', 'I-NP', 'B-protein')
('by', 'by', 'IN', 'B-PP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('important', 'important', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('metabolism,', 'metabolism,', 'NN', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('transcription,', 'transcription,', 'NN', 'I-NP', 'O')
('ion', 'ion', 'NN', 'I-NP', 'O')
('channel', 'channel', 'NN', 'I-NP', 'O')
('conductivity,', 'conductivity,', 'NN', 'I-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('growth,', 'growth,', 'NN', 'I-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('division', 'division', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('actin', 'actin', 'NN', 'B-NP', 'B-protein')
('cytoskeleton', 'cytoskeleton', 'NN', 'I-NP', 'O')
('rearrangements', 'rearrangement', 'NNS', 'I-NP', 'O')
('(Francis', '(Francis', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', ',', 'O', 'O')
('1994;', '1994;', 'CD', 'B-NP', 'O')
('Scott,', 'Scott,', 'NNP', 'I-NP', 'O')
('1991).', '1991).', 'CD', 'I-NP', 'O')
AKAPs are functionally similar, but structurally diverse protein family which can be classified on the basis of their ability to bind to PKA holoenzyme inside cells (Colledge et al., 1999; Rubin, 1994).
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('are', 'be', 'VBP', 'B-VP', 'O')
('functionally', 'functionally', 'RB', 'B-ADVP', 'O')
('similar,', 'similar,', 'RB', 'B-NP', 'O')
('but', 'but', 'CC', 'I-NP', 'O')
('structurally', 'structurally', 'RB', 'I-NP', 'O')
('diverse', 'diverse', 'JJ', 'I-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('family', 'family', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('classified', 'classify', 'VBN', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('basis', 'basis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('ability', 'ability', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('bind', 'bind', 'VB', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('PKA', 'PKA', 'NN', 'B-NP', 'B-protein')
('holoenzyme', 'holoenzyme', 'NN', 'I-NP', 'I-protein')
('inside', 'inside', 'IN', 'B-PP', 'O')
('cells', 'cell', 'NNS', 'B-NP', 'O')
('(Colledge', '(Colledge', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', ',', 'O', 'O')
('1999;', '1999;', 'CD', 'B-NP', 'O')
('Rubin,', 'Rubin,', 'NNP', 'I-NP', 'O')
('1994).', '1994).', 'CD', 'I-NP', 'O')
In spite of their structural diversity, AKAPs exist in many eukaryotic species, including humans, mice, rats, zebrafish, C. elegance and even yeast.
('In', 'In', 'IN', 'B-PP', 'O')
('spite', 'spite', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('structural', 'structural', 'JJ', 'I-NP', 'O')
('diversity,', 'diversity,', 'NN', 'I-NP', 'O')
('AKAPs', 'AKAP', 'NNS', 'I-NP', 'O')
('exist', 'exist', 'VBP', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('eukaryotic', 'eukaryotic', 'JJ', 'I-NP', 'O')
('species,', 'species,', 'NN', 'I-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('humans,', 'humans,', 'JJ', 'B-NP', 'O')
('mice,', 'mice,', 'NN', 'I-NP', 'O')
('rats,', 'rats,', 'NN', 'I-NP', 'O')
('zebrafish,', 'zebrafish,', 'NN', 'I-NP', 'O')
('C.', 'C.', 'NNP', 'I-NP', 'O')
('elegance', 'elegance', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('even', 'even', 'RB', 'B-ADVP', 'O')
('yeast.', 'yeast.', 'NN', 'B-NP', 'O')
All AKAPs share three common features: first, they have a PKAanchoring domain: second, they have unique subcellular localization domains that target them to specific sites; third, they bind other signaling molecules to form multiprotein complexes (Wong et al., 2004).
('All', 'All', 'DT', 'B-NP', 'O')
('AKAPs', 'AKAP', 'NNS', 'I-NP', 'B-protein')
('share', 'share', 'VBP', 'B-VP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('features:', 'features:', ':', 'O', 'O')
('first,', 'first,', 'NN', 'B-NP', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('PKAanchoring', 'PKAanchoring', 'NN', 'I-NP', 'B-protein')
('domain:', 'domain:', ':', 'O', 'I-protein')
('second,', 'second,', 'NN', 'B-NP', 'I-protein')
('they', 'they', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('unique', 'unique', 'JJ', 'B-NP', 'B-protein')
('subcellular', 'subcellular', 'JJ', 'I-NP', 'I-protein')
('localization', 'localization', 'NN', 'I-NP', 'I-protein')
('domains', 'domain', 'NNS', 'I-NP', 'I-protein')
('that', 'that', 'WDT', 'B-NP', 'O')
('target', 'target', 'VBP', 'B-VP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('sites;', 'sites;', 'NN', 'I-NP', 'O')
('third,', 'third,', 'IN', 'B-SBAR', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('bind', 'bind', 'VBP', 'B-VP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('signaling', 'signal', 'VBG', 'I-NP', 'B-protein')
('molecules', 'molecule', 'NNS', 'I-NP', 'I-protein')
('to', 'to', 'TO', 'B-VP', 'O')
('form', 'form', 'VB', 'I-VP', 'O')
('multiprotein', 'multiprotein', 'NN', 'B-NP', 'B-protein')
('complexes', 'complex', 'NNS', 'I-NP', 'I-protein')
('(Wong', '(Wong', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2004).', '2004).', 'CD', 'B-NP', 'O')
Moreover, AKAPs have been reported to have diverse names, function, cellular localizations and many members of wide range of species.
('Moreover,', 'Moreover,', 'JJR', 'B-NP', 'O')
('AKAPs', 'AKAP', 'NNS', 'I-NP', 'B-protein')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('reported', 'report', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('diverse', 'diverse', 'JJ', 'B-NP', 'O')
('names,', 'names,', 'NN', 'I-NP', 'O')
('function,', 'function,', 'NN', 'I-NP', 'O')
('cellular', 'cellular', 'JJ', 'I-NP', 'O')
('localizations', 'localization', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('members', 'member', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('wide', 'wide', 'JJ', 'B-NP', 'O')
('range', 'range', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('species.', 'species.', 'NN', 'B-NP', 'O')
Accordingly, it is rapidly increasing in difficulties to search each appropriate AKAP for specific purpose.
('Accordingly,', 'Accordingly,', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('rapidly', 'rapidly', 'RB', 'I-VP', 'O')
('increasing', 'increase', 'VBG', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('difficulties', 'difficulty', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('search', 'search', 'VB', 'I-VP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('appropriate', 'appropriate', 'JJ', 'I-NP', 'O')
('AKAP', 'AKAP', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('purpose.', 'purpose.', 'NN', 'I-NP', 'O')
However, there is not AKAPsrelated database regardless of their important cellular function and difficulty of finding appropriate AKAPs.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('AKAPsrelated', 'AKAPsrelate', 'VBN', 'I-VP', 'O')
('database', 'database', 'NN', 'B-NP', 'O')
('regardless', 'regardless', 'RB', 'B-ADVP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('important', 'important', 'JJ', 'I-NP', 'O')
('cellular', 'cellular', 'JJ', 'I-NP', 'O')
('function', 'function', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('difficulty', 'difficulty', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('finding', 'find', 'VBG', 'B-VP', 'O')
('appropriate', 'appropriate', 'JJ', 'B-NP', 'O')
('AKAPs.', 'AKAPs.', 'NN', 'I-NP', 'O')
Therefore, we developed AKAPDB as secondary database which focuses on a specific topic using from the primary database and other literature sources (Bishop, 1999).
('Therefore,', 'Therefore,', 'RB', 'B-ADVP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('developed', 'develop', 'VBD', 'B-VP', 'O')
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('secondary', 'secondary', 'JJ', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('focuses', 'focus', 'VBZ', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('specific', 'specific', 'JJ', 'I-NP', 'O')
('topic', 'topic', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('literature', 'literature', 'NN', 'I-NP', 'O')
('sources', 'source', 'NNS', 'I-NP', 'O')
('(Bishop,', '(Bishop,', 'NNP', 'B-NP', 'O')
('1999).', '1999).', 'CD', 'I-NP', 'O')
AKAPDB provides sequence information and diverse function of AKAPs in all reported eukaryotic species.
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('diverse', 'diverse', 'JJ', 'B-NP', 'O')
('function', 'function', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('reported', 'report', 'VBN', 'I-NP', 'O')
('eukaryotic', 'eukaryotic', 'JJ', 'I-NP', 'O')
('species.', 'species.', 'NNS', 'I-NP', 'O')
It contains putative phosphorylation sites, functionally important domains and cellular localizations derived from prediction programs and other databases.
('It', 'It', 'PRP', 'B-NP', 'O')
('contains', 'contain', 'VBZ', 'B-VP', 'O')
('putative', 'putative', 'JJ', 'B-NP', 'O')
('phosphorylation', 'phosphorylation', 'NN', 'I-NP', 'O')
('sites,', 'sites,', 'NN', 'I-NP', 'O')
('functionally', 'functionally', 'RB', 'B-NP', 'O')
('important', 'important', 'JJ', 'I-NP', 'O')
('domains', 'domain', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('cellular', 'cellular', 'JJ', 'B-NP', 'O')
('localizations', 'localization', 'NNS', 'I-NP', 'O')
('derived', 'derive', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('prediction', 'prediction', 'NN', 'B-NP', 'O')
('programs', 'program', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('databases.', 'databases.', 'NNS', 'I-NP', 'O')
In addition, it provides predicted zebrafish AKAP partial sequences which can be used for morpholinoinduced zebrafish reverse genetics.
('In', 'In', 'IN', 'B-PP', 'O')
('addition,', 'addition,', 'NN', 'B-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('predicted', 'predict', 'VBN', 'B-NP', 'O')
('zebrafish', 'zebrafish', 'NN', 'I-NP', 'B-DNA')
('AKAP', 'AKAP', 'NN', 'I-NP', 'I-DNA')
('partial', 'partial', 'JJ', 'I-NP', 'I-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('which', 'which', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('morpholinoinduced', 'morpholinoinduce', 'VBN', 'B-NP', 'O')
('zebrafish', 'zebrafish', 'NN', 'I-NP', 'O')
('reverse', 'reverse', 'JJ', 'I-NP', 'O')
('genetics.', 'genetics.', 'NNS', 'I-NP', 'O')
Morpholinos, chemically modified antisense oligonucleotides (∼25 bases) which bind and block their specific target mRNA, are an easy and efficient technology of zebrafish targetselected functional study (Nasevicius et al., 2000).
('Morpholinos,', 'Morpholinos,', 'IN', 'B-PP', 'O')
('chemically', 'chemically', 'RB', 'B-NP', 'O')
('modified', 'modify', 'VBN', 'I-NP', 'O')
('antisense', 'antisense', 'JJ', 'I-NP', 'O')
('oligonucleotides', 'oligonucleotide', 'NNS', 'I-NP', 'O')
('(∼25', '(∼25', 'CD', 'B-NP', 'O')
('bases)', 'bases)', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('bind', 'bind', 'VBP', 'B-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('block', 'block', 'VBP', 'I-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('specific', 'specific', 'JJ', 'I-NP', 'O')
('target', 'target', 'NN', 'I-NP', 'O')
('mRNA,', 'mRNA,', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('easy', 'easy', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('efficient', 'efficient', 'JJ', 'I-NP', 'O')
('technology', 'technology', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('zebrafish', 'zebrafish', 'NN', 'B-NP', 'B-protein')
('targetselected', 'targetselecte', 'VBD', 'B-VP', 'I-protein')
('functional', 'functional', 'JJ', 'B-NP', 'I-protein')
('study', 'study', 'NN', 'I-NP', 'I-protein')
('(Nasevicius', '(Nasevicius', 'NNP', 'I-NP', 'I-protein')
('et', 'et', 'NNP', 'I-NP', 'I-protein')
('al.,', 'al.,', 'IN', 'B-PP', 'I-protein')
('2000).', '2000).', 'CD', 'B-NP', 'I-protein')
So, AKAPDB provides biologists with information which can be used to the efficient setup of experiments.
('So,', 'So,', 'NNP', 'B-NP', 'O')
('AKAPDB', 'AKAPDB', 'NNP', 'I-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('biologists', 'biologist', 'NNS', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('efficient', 'efficient', 'JJ', 'I-NP', 'O')
('setup', 'setup', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('experiments.', 'experiments.', 'NN', 'B-NP', 'O')
