Application of Decision Tree for the Classification of Antimicrobial PeptideThe purpose of this study was to investigate the use of decision tree for the classification of antimicrobial peptides.
('Application', 'Application', 'NN', 'B-NP', 'O')
('known', 'known', 'JJ', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('against', 'against', 'IN', 'B-PP', 'O')
('common', 'common', 'JJ', 'B-NP', 'O')
('microbes', 'microbe', 'NNS', 'I-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('Escherichia', 'Escherichia', 'NNP', 'B-NP', 'O')
('coli', 'coli', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Staphyiococcus', 'Staphyiococcus', 'NNP', 'B-NP', 'O')
('aureus.', 'aureus.', '.', 'O', 'O')
A feature selection was employed to select an effective subset of features from available attribute sets.
('A', 'A', 'DT', 'B-NP', 'O')
('feature', 'feature', 'NN', 'I-NP', 'O')
('selection', 'selection', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('employed', 'employ', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('select', 'select', 'VB', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('effective', 'effective', 'JJ', 'I-NP', 'O')
('subset', 'subset', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('features', 'feature', 'NNS', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('available', 'available', 'JJ', 'B-NP', 'O')
('attribute', 'attribute', 'NN', 'I-NP', 'O')
('sets.', 'sets.', 'NN', 'I-NP', 'O')
Sequential applications of decision tree with 17 nodes with 9 leaves and 13 nodes with 7 leaves provided the classification rates of 76.74% and 74.66% against E. coli and S. aureus, respectively.
('Sequential', 'Sequential', 'JJ', 'B-NP', 'O')
('applications', 'application', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('decision', 'decision', 'NN', 'B-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('17', '17', 'CD', 'B-NP', 'O')
('nodes', 'node', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('9', '9', 'CD', 'B-NP', 'O')
('leaves', 'leaf', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('13', '13', 'CD', 'B-NP', 'O')
('nodes', 'node', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('7', '7', 'CD', 'B-NP', 'O')
('leaves', 'leaf', 'NNS', 'I-NP', 'O')
('provided', 'provide', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('rates', 'rate', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('76.74%', '76.74%', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('74.66%', '74.66%', 'CD', 'I-NP', 'O')
('against', 'against', 'IN', 'B-PP', 'O')
('E.', 'E.', 'NNP', 'B-NP', 'O')
('coli', 'coli', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('S.', 'S.', 'NNP', 'B-NP', 'O')
('aureus,', 'aureus,', 'NN', 'I-NP', 'O')
('respectively.', 'respectively.', 'NN', 'I-NP', 'O')
Angle subtended by positively charged face and the positive charge commonly gave higher accuracies in both E. co//and S. aureus datasets.
('Angle', 'Angle', 'NN', 'B-NP', 'O')
('subtended', 'subtend', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('positively', 'positively', 'RB', 'B-NP', 'O')
('charged', 'charge', 'VBN', 'I-NP', 'O')
('face', 'face', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('positive', 'positive', 'JJ', 'I-NP', 'O')
('charge', 'charge', 'NN', 'I-NP', 'O')
('commonly', 'commonly', 'RB', 'B-ADVP', 'O')
('gave', 'give', 'VBD', 'B-VP', 'O')
('higher', 'high', 'JJR', 'B-NP', 'O')
('accuracies', 'accuracy', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('E.', 'E.', 'NNP', 'I-NP', 'O')
('co//and', 'co//and', 'NN', 'I-NP', 'O')
('S.', 'S.', 'NNP', 'I-NP', 'O')
('aureus', 'aureus', 'NNP', 'I-NP', 'O')
('datasets.', 'datasets.', 'NNS', 'I-NP', 'O')
In this study, we describe a successful application of decision tree that provides the understanding of the effects of physicochemical characteristics of peptides on bacterial membrane.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('study,', 'study,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('describe', 'describe', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('successful', 'successful', 'JJ', 'I-NP', 'O')
('application', 'application', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('decision', 'decision', 'NN', 'B-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('understanding', 'understanding', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('effects', 'effect', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('physicochemical', 'physicochemical', 'JJ', 'B-NP', 'O')
('characteristics', 'characteristic', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('peptides', 'peptide', 'NNS', 'B-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('bacterial', 'bacterial', 'JJ', 'B-NP', 'O')
('membrane.', 'membrane.', 'NN', 'I-NP', 'O')
During the last two decades, a number of studies on bactericidal peptides have been carried out for the purpose of industrial, pharmaceutical and medical use with great interest (Park et al., 1994; Kim et al., 2003; Zasloff et al., 2002).
('During', 'During', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('last', 'last', 'JJ', 'I-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('decades,', 'decades,', 'NN', 'I-NP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('studies', 'study', 'NNS', 'B-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('bactericidal', 'bactericidal', 'JJ', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('carried', 'carry', 'VBN', 'I-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('purpose', 'purpose', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('industrial,', 'industrial,', 'NN', 'B-NP', 'O')
('pharmaceutical', 'pharmaceutical', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('medical', 'medical', 'JJ', 'I-NP', 'O')
('use', 'use', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('great', 'great', 'JJ', 'B-NP', 'O')
('interest', 'interest', 'NN', 'I-NP', 'O')
('(Park', '(Park', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', ',', 'O', 'O')
('1994;', '1994;', 'CD', 'B-NP', 'O')
('Kim', 'Kim', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2003;', '2003;', ':', 'O', 'O')
('Zasloff', 'Zasloff', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2002).', '2002).', 'CD', 'B-NP', 'O')
Naturally occurring antimicrobial peptides and a set of artificial peptides have been usedas templates for generating synthetic peptides with substitutions and deletions of amino acids to analyze the interaction relationship between bacterial membrane and the physicochemical properties of peptides such as hydrophobicity, hydrophobic moment and net charge (Dathe etal., 2001; Hong et al., 2001; Dathe et al., 2002; Dathe et al., 1997).
('Naturally', 'Naturally', 'RB', 'B-ADVP', 'O')
('occurring', 'occur', 'VBG', 'B-VP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('artificial', 'artificial', 'JJ', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('templates', 'template', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('generating', 'generate', 'VBG', 'B-VP', 'O')
('synthetic', 'synthetic', 'JJ', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('substitutions', 'substitution', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('deletions', 'deletion', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('amino', 'amino', 'JJ', 'B-NP', 'O')
('acids', 'acid', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('analyze', 'analyze', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('interaction', 'interaction', 'NN', 'I-NP', 'O')
('relationship', 'relationship', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('bacterial', 'bacterial', 'JJ', 'B-NP', 'O')
('membrane', 'membrane', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('physicochemical', 'physicochemical', 'JJ', 'I-NP', 'O')
('properties', 'property', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('peptides', 'peptide', 'NNS', 'B-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('hydrophobicity,', 'hydrophobicity,', 'NN', 'B-NP', 'O')
('hydrophobic', 'hydrophobic', 'JJ', 'I-NP', 'O')
('moment', 'moment', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('net', 'net', 'JJ', 'I-NP', 'O')
('charge', 'charge', 'NN', 'I-NP', 'O')
('(Dathe', '(Dathe', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2001;', '2001;', ':', 'O', 'O')
('Hong', 'Hong', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2001;', '2001;', ':', 'O', 'O')
('Dathe', 'Dathe', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2002;', '2002;', ':', 'O', 'O')
('Dathe', 'Dathe', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1997).', '1997).', 'CD', 'B-NP', 'O')
However, as demonstrated by numerous studies on structure-activity relationship (SAR), a precise interpretation of differences in the activity of antimicrobial peptides is often difficult due to the existence of complex interaction between the peptides and bacterial membrane (Rocca etal., 1999a; Rocca et al., 1999b).
('However,', 'However,', 'NN', 'B-NP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('demonstrated', 'demonstrate', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('numerous', 'numerous', 'JJ', 'B-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('structure-activity', 'structure-activity', 'NN', 'B-NP', 'O')
('relationship', 'relationship', 'NN', 'I-NP', 'O')
('(SAR),', '(SAR),', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('precise', 'precise', 'JJ', 'I-NP', 'O')
('interpretation', 'interpretation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('differences', 'difference', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('often', 'often', 'RB', 'B-ADVP', 'O')
('difficult', 'difficult', 'JJ', 'B-ADJP', 'O')
('due', 'due', 'IN', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('existence', 'existence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('complex', 'complex', 'JJ', 'B-NP', 'O')
('interaction', 'interaction', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('bacterial', 'bacterial', 'JJ', 'B-NP', 'O')
('membrane', 'membrane', 'NN', 'I-NP', 'O')
('(Rocca', '(Rocca', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('1999a;', '1999a;', 'CD', 'I-NP', 'O')
('Rocca', 'Rocca', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1999b).', '1999b).', 'CD', 'B-NP', 'O')
A decision tree is a kind of supervised machine learning method that is often appropriate for describing complex nonlinear relationships between quantitative features and some a priori classification (both quantitative and qualitative) (Mitchell et al., 1997).
('A', 'A', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('kind', 'kind', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('supervised', 'supervised', 'JJ', 'B-NP', 'O')
('machine', 'machine', 'NN', 'I-NP', 'O')
('learning', 'learning', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('often', 'often', 'RB', 'B-ADVP', 'O')
('appropriate', 'appropriate', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('describing', 'describe', 'VBG', 'B-VP', 'O')
('complex', 'complex', 'JJ', 'B-NP', 'O')
('nonlinear', 'nonlinear', 'JJ', 'I-NP', 'O')
('relationships', 'relationship', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('quantitative', 'quantitative', 'JJ', 'B-NP', 'O')
('features', 'feature', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('a', 'a', 'FW', 'I-NP', 'O')
('priori', 'priori', 'FW', 'I-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('(both', '(both', 'CC', 'B-NP', 'O')
('quantitative', 'quantitative', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('qualitative)', 'qualitative)', 'NN', 'I-NP', 'O')
('(Mitchell', '(Mitchell', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1997).', '1997).', 'CD', 'B-NP', 'O')
One advantage of the decision tree approach is that the decision rules can be displayed in easy to-interpret graphical manner.
('One', 'One', 'CD', 'B-NP', 'O')
('advantage', 'advantage', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('approach', 'approach', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('rules', 'rule', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('displayed', 'display', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('easy', 'easy', 'JJ', 'B-NP', 'O')
('to-interpret', 'to-interpret', 'JJ', 'I-NP', 'O')
('graphical', 'graphical', 'JJ', 'I-NP', 'O')
('manner.', 'manner.', 'NN', 'I-NP', 'O')
Unlike many other machine-learning methods that rely on abstract interpretation of the feature space (Vapnik et al., 1995), the decision tree gives sequential decision splits (nodes of the tree) based on some marginal feature sets, which in turn can be interpreted in terms of the biological or chemical process; in our case, in terms of peptide properties.
('Unlike', 'Unlike', 'IN', 'B-PP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('machine-learning', 'machine-learning', 'JJ', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('rely', 'rely', 'VBP', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('abstract', 'abstract', 'JJ', 'B-NP', 'O')
('interpretation', 'interpretation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('feature', 'feature', 'JJ', 'I-NP', 'O')
('space', 'space', 'NN', 'I-NP', 'O')
('(Vapnik', '(Vapnik', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NN', 'I-NP', 'O')
('1995),', '1995),', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('gives', 'give', 'VBZ', 'B-VP', 'O')
('sequential', 'sequential', 'JJ', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('splits', 'split', 'VBZ', 'B-VP', 'O')
('(nodes', '(node', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tree)', 'tree)', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('marginal', 'marginal', 'JJ', 'I-NP', 'O')
('feature', 'feature', 'NN', 'I-NP', 'O')
('sets,', 'sets,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('turn', 'turn', 'NN', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('interpreted', 'interpret', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('terms', 'term', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('chemical', 'chemical', 'JJ', 'I-NP', 'O')
('process;', 'process;', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('case,', 'case,', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('terms', 'term', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('peptide', 'peptide', 'NN', 'B-NP', 'O')
('properties.', 'properties.', 'NN', 'I-NP', 'O')
A total of 402 peptides were collected from the literature of antimicrobial peptides to form a data set.
('A', 'A', 'DT', 'B-NP', 'O')
('total', 'total', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('402', '402', 'CD', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('collected', 'collect', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('literature', 'literature', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('form', 'form', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set.', 'set.', 'NN', 'I-NP', 'O')
It consists of natural antibiotic peptides and their analogs generated by changing physicochemical parameters of the natural antibiotic peptides.
('It', 'It', 'PRP', 'B-NP', 'O')
('consists', 'consist', 'VBZ', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('natural', 'natural', 'JJ', 'B-NP', 'O')
('antibiotic', 'antibiotic', 'JJ', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('analogs', 'analog', 'NNS', 'I-NP', 'O')
('generated', 'generate', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('changing', 'change', 'VBG', 'B-VP', 'O')
('physicochemical', 'physicochemical', 'JJ', 'B-NP', 'O')
('parameters', 'parameter', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('natural', 'natural', 'JJ', 'I-NP', 'O')
('antibiotic', 'antibiotic', 'JJ', 'I-NP', 'O')
('peptides.', 'peptides.', 'NNS', 'I-NP', 'O')
These peptides were divided into twogroups according to their reported minimal inhibitory concentration (MIC) values that present the strength of antimicrobial activities in molar concentrations.
('These', 'These', 'DT', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('divided', 'divide', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('groups', 'group', 'NNS', 'I-NP', 'O')
('according', 'accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('reported', 'report', 'VBN', 'I-NP', 'O')
('minimal', 'minimal', 'JJ', 'I-NP', 'O')
('inhibitory', 'inhibitory', 'JJ', 'I-NP', 'O')
('concentration', 'concentration', 'NN', 'I-NP', 'O')
('(MIC)', '(MIC)', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('present', 'present', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('strength', 'strength', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'O')
('activities', 'activity', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('molar', 'molar', 'JJ', 'B-NP', 'O')
('concentrations.', 'concentrations.', 'NNS', 'I-NP', 'O')
Peptides with MIC values of 10 pM or below were grouped as strong peptides in terms of antimicrobial activity, whereas those with MIC values above 40 pM were grouped as weak antimicrobial peptides.
('Peptides', 'Peptide', 'NNS', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('MIC', 'MIC', 'NN', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('10', '10', 'CD', 'B-NP', 'O')
('pM', 'pM', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'B-PP', 'O')
('below', 'below', 'IN', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('grouped', 'group', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('strong', 'strong', 'JJ', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('terms', 'term', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
