An Iterative Normalization Algorithm for cDNA Microarray Medical Data AnalysissA cDNA microarray experiment is one of the most usefulhigh-throughput experiments in medical informatics for monitoring gene expression levels.
('An', 'An', 'DT', 'B-NP', 'O')
('synthetic', 'synthetic', 'JJ', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('algorithm', 'algorithm', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'B-DNA')
('gene', 'gene', 'NN', 'I-NP', 'I-DNA')
('set', 'set', 'VBD', 'B-VP', 'O')
('based', 'base', 'VBN', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('previous', 'previous', 'JJ', 'B-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('normalization.', 'normalization.', 'NN', 'B-NP', 'O')
Iterative normalization method was used to select and include a new control gene set among the whole genes iteratively at every step of the normalization calculation initiated with the housekeeping genes.
('Iterative', 'Iterative', 'JJ', 'B-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('select', 'select', 'VB', 'I-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('include', 'include', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('new', 'new', 'JJ', 'I-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('set', 'set', 'VBN', 'B-VP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('whole', 'whole', 'JJ', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('iteratively', 'iteratively', 'RB', 'B-ADVP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('every', 'every', 'DT', 'B-NP', 'O')
('step', 'step', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('calculation', 'calculation', 'NN', 'I-NP', 'O')
('initiated', 'initiate', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('housekeeping', 'housekeeping', 'NN', 'I-NP', 'O')
('genes.', 'genes.', 'NN', 'I-NP', 'O')
The objective of this iterative normalization was to maintain the pattern of the original data and to keep the gene expression levels stable.
('The', 'The', 'DT', 'B-NP', 'O')
('objective', 'objective', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('iterative', 'iterative', 'JJ', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('maintain', 'maintain', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pattern', 'pattern', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('original', 'original', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('keep', 'keep', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('levels', 'level', 'NNS', 'I-NP', 'O')
('stable.', 'stable.', 'NN', 'I-NP', 'O')
Spatial plots, M&A (ratio and average values of the intensity) plots and box plots showed a convergence to zero of the mean across all genes graphically after applying our iterative normalization.
('Spatial', 'Spatial', 'JJ', 'B-NP', 'O')
('plots,', 'plots,', 'NN', 'I-NP', 'O')
('M&A', 'M&A', 'NN', 'I-NP', 'O')
('(ratio', '(ratio', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('average', 'average', 'JJ', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('intensity)', 'intensity)', 'NN', 'I-NP', 'O')
('plots', 'plot', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('box', 'box', 'NN', 'B-NP', 'O')
('plots', 'plot', 'NNS', 'I-NP', 'O')
('showed', 'show', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('convergence', 'convergence', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('zero', 'zero', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('mean', 'mean', 'NN', 'I-NP', 'B-DNA')
('across', 'across', 'IN', 'B-PP', 'I-DNA')
('all', 'all', 'DT', 'B-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('graphically', 'graphically', 'RB', 'B-ADVP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('applying', 'apply', 'VBG', 'B-VP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('iterative', 'iterative', 'JJ', 'I-NP', 'O')
('normalization.', 'normalization.', 'NN', 'I-NP', 'O')
The practicability of the algorithm was demonstrated by applying our method to the data for the human photo aging study.
('The', 'The', 'DT', 'B-NP', 'O')
('practicability', 'practicability', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('algorithm', 'algorithm', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('demonstrated', 'demonstrate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('applying', 'apply', 'VBG', 'B-VP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'O')
('photo', 'photo', 'NN', 'I-NP', 'O')
('aging', 'aging', 'NN', 'I-NP', 'O')
('study.', 'study.', 'NN', 'I-NP', 'O')
As a high-throughput technology, a cDNA microarrayexperiment that can simultaneously monitor the expression levels of thousands of genes has been widely used after the success of determining the human DNA sequences.
('As', 'As', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('high-throughput', 'high-throughput', 'JJ', 'I-NP', 'O')
('technology,', 'technology,', 'NN', 'I-NP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('cDNA', 'cDNA', 'NN', 'I-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('experiment', 'experiment', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('simultaneously', 'simultaneously', 'RB', 'I-VP', 'O')
('monitor', 'monitor', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('levels', 'level', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('thousands', 'thousand', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('widely', 'widely', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('success', 'success', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('determining', 'determine', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'O')
('sequences.', 'sequences.', 'NN', 'I-NP', 'O')
However, there are limitations in that only few samples can be obtained in vivo and there is no golden rule for verifying the results and effects of the experiments.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('limitations', 'limitation', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('that', 'that', 'IN', 'B-NP', 'O')
('only', 'only', 'RB', 'B-NP', 'O')
('few', 'few', 'JJ', 'I-NP', 'O')
('samples', 'sample', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('obtained', 'obtain', 'VBN', 'I-VP', 'O')
('in', 'in', 'FW', 'B-ADVP', 'O')
('vivo', 'vivo', 'FW', 'I-ADVP', 'O')
('and', 'and', 'CC', 'O', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('no', 'no', 'DT', 'B-NP', 'O')
('golden', 'golden', 'JJ', 'I-NP', 'O')
('rule', 'rule', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('verifying', 'verify', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('effects', 'effect', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('experiments.', 'experiments.', 'NNS', 'I-NP', 'O')
Therefore, reliable experiments and considerate analyses to reduce the errors in the results are needed.
('Therefore,', 'Therefore,', 'DT', 'B-NP', 'O')
('reliable', 'reliable', 'JJ', 'I-NP', 'O')
('experiments', 'experiment', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('considerate', 'considerate', 'VBP', 'B-VP', 'O')
('analyses', 'analysis', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('reduce', 'reduce', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('errors', 'error', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('needed.', 'needed.', 'VBN', 'I-VP', 'O')
Regarding experiments, laboratory technicians can prevent intra and inter-laboratory errors by observing a precise protocol.
('Regarding', 'Regard', 'VBG', 'B-VP', 'O')
('experiments,', 'experiments,', 'JJ', 'B-NP', 'O')
('laboratory', 'laboratory', 'NN', 'I-NP', 'O')
('technicians', 'technician', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('prevent', 'prevent', 'VB', 'I-VP', 'O')
('intra', 'intra', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('inter-laboratory', 'inter-laboratory', 'JJ', 'I-NP', 'O')
('errors', 'error', 'NNS', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('observing', 'observe', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('precise', 'precise', 'JJ', 'I-NP', 'O')
('protocol.', 'protocol.', 'NN', 'I-NP', 'O')
However, other errors that cannot be controlled through physical treatments, such as errors from the mechanics or from experimental materials, demands the statistical adjustments during the analysis.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('errors', 'error', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('cannot', 'cannot', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('controlled', 'control', 'VBN', 'I-VP', 'O')
('through', 'through', 'IN', 'B-PP', 'O')
('physical', 'physical', 'JJ', 'B-NP', 'O')
('treatments,', 'treatments,', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('errors', 'error', 'NNS', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('mechanics', 'mechanic', 'NNS', 'I-NP', 'O')
('or', 'or', 'CC', 'B-PP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('experimental', 'experimental', 'JJ', 'B-NP', 'O')
('materials,', 'materials,', 'NN', 'I-NP', 'O')
('demands', 'demand', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('adjustments', 'adjustment', 'NNS', 'I-NP', 'O')
('during', 'during', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
In order to solve these problems, normalization is an essential part at the preliminary stages of an analysis.
('In', 'In', 'IN', 'B-SBAR', 'O')
('order', 'order', 'NN', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('solve', 'solve', 'VB', 'I-VP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('problems,', 'problems,', 'NN', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('essential', 'essential', 'JJ', 'I-NP', 'O')
('part', 'part', 'NN', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('preliminary', 'preliminary', 'JJ', 'I-NP', 'O')
('stages', 'stage', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
In Medical informatics, normalization implies the removal of errors and making a randomized distribution of the M (intensity ratio of expression levels between control and target genes) values.
('In', 'In', 'IN', 'B-PP', 'O')
('Medical', 'Medical', 'JJ', 'B-NP', 'O')
('informatics,', 'informatics,', 'NN', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('implies', 'imply', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('removal', 'removal', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('errors', 'error', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('making', 'make', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('randomized', 'randomize', 'VBN', 'I-NP', 'O')
('distribution', 'distribution', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('M', 'M', 'NN', 'I-NP', 'O')
('(intensity', '(intensity', 'NN', 'I-NP', 'O')
('ratio', 'ratio', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('expression', 'expression', 'NN', 'B-NP', 'O')
('levels', 'level', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('control', 'control', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('target', 'target', 'NN', 'I-NP', 'O')
('genes)', 'genes)', 'NN', 'I-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
The final goal of normalization is to balance the different intensities of the two dyes in a slide caused from labeling or scanning sets.
('The', 'The', 'DT', 'B-NP', 'O')
('final', 'final', 'JJ', 'I-NP', 'O')
('goal', 'goal', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('normalization', 'normalization', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('balance', 'balance', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('different', 'different', 'JJ', 'I-NP', 'O')
('intensities', 'intensity', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('dyes', 'dye', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('slide', 'slide', 'NN', 'I-NP', 'O')
('caused', 'cause', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('labeling', 'labeling', 'NN', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('scanning', 'scanning', 'NN', 'I-NP', 'O')
('sets.', 'sets.', 'NNS', 'I-NP', 'O')
This should dispose of the errors and make a clear randomized data set to analyze reliably.
('This', 'This', 'DT', 'B-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('dispose', 'dispose', 'VB', 'I-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('errors', 'error', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('make', 'make', 'VB', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('clear', 'clear', 'JJ', 'I-NP', 'O')
('randomized', 'randomize', 'VBN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('analyze', 'analyze', 'VB', 'I-VP', 'O')
('reliably.', 'reliably.', 'NN', 'B-NP', 'O')
Specifically, after a good normalization, the intensity ratio value (M)might show a close mean of M near zero at each average intensity level (A).
('Specifically,', 'Specifically,', 'NN', 'B-NP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('good', 'good', 'JJ', 'I-NP', 'O')
('normalization,', 'normalization,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('ratio', 'ratio', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('(M)might', '(M)might', 'NN', 'I-NP', 'O')
('show', 'show', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('close', 'close', 'JJ', 'I-NP', 'O')
('mean', 'mean', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('M', 'M', 'NN', 'B-NP', 'O')
('near', 'near', 'IN', 'B-PP', 'O')
('zero', 'zero', 'CD', 'B-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('average', 'average', 'JJ', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('(A).', '(A).', 'NN', 'I-NP', 'O')
If there is a systematic error, the M value across the A value may have a curvature on the M&A plot.
('If', 'If', 'IN', 'B-SBAR', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('systematic', 'systematic', 'JJ', 'I-NP', 'O')
('error,', 'error,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('M', 'M', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('across', 'across', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('A', 'A', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('curvature', 'curvature', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('M&A', 'M&A', 'NN', 'I-NP', 'O')
('plot.', 'plot.', 'NN', 'I-NP', 'O')
This is because the systematic errors make a certain part of the data have low or high values particularly.
('This', 'This', 'DT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('because', 'because', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('systematic', 'systematic', 'JJ', 'I-NP', 'O')
('errors', 'error', 'NNS', 'I-NP', 'O')
('make', 'make', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('certain', 'certain', 'JJ', 'I-NP', 'O')
('part', 'part', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('low', 'low', 'JJ', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('high', 'high', 'JJ', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('particularly.', 'particularly.', 'RB', 'B-ADVP', 'O')
Normalization can make all M values even and randomly along by A values.
('Normalization', 'Normalization', 'NN', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('make', 'make', 'VB', 'I-VP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('M', 'M', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('even', 'even', 'RB', 'B-ADVP', 'O')
('and', 'and', 'CC', 'O', 'O')
('randomly', 'randomly', 'RB', 'B-ADVP', 'O')
('along', 'along', 'RB', 'I-ADVP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('A', 'A', 'NN', 'B-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
Therefore, an M&A plot should have an almost straight band of M values.
('Therefore,', 'Therefore,', 'RB', 'B-ADVP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('M&A', 'M&A', 'NN', 'I-NP', 'O')
('plot', 'plot', 'NN', 'I-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('almost', 'almost', 'RB', 'I-NP', 'O')
('straight', 'straight', 'JJ', 'I-NP', 'O')
('band', 'band', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('M', 'M', 'NN', 'B-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
During the procedure of normalization, there are several ways for correcting errors, for example, regression fitting analysis, and ANOVA as a calculation method.
('During', 'During', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('procedure', 'procedure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('normalization,', 'normalization,', 'NN', 'B-NP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('ways', 'way', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('correcting', 'correct', 'VBG', 'B-VP', 'O')
('errors,', 'errors,', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
