Sample Size and Power Estimation in Case-Control Genetic Association StudiesIn planning a genetic association study, it is necessary to determine the number of samples to be collected for the study in order to achieve sufficient power to detect the hypothesized effect.
('Sample', 'Sample', 'NNP', 'B-NP', 'O')
('different', 'different', 'JJ', 'B-ADJP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('testing', 'test', 'VBG', 'B-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('statistical', 'statistical', 'JJ', 'B-NP', 'O')
('as\xad', 'as\xad', 'NN', 'I-NP', 'O')
('sociation', 'sociation', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('variables,', 'variables,', 'NN', 'I-NP', 'O')
('regardless', 'regardless', 'RB', 'B-ADVP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('being', 'be', 'VBG', 'B-VP', 'O')
('genetic', 'genetic', 'JJ', 'B-ADJP', 'O')
('or', 'or', 'CC', 'I-ADJP', 'O')
('not.', 'not.', 'JJ', 'I-ADJP', 'O')
Thus, many statistical methods used to analyze ordinary statistical association are also used for genetic association.
('Thus,', 'Thus,', 'DT', 'B-NP', 'O')
('many', 'many', 'JJ', 'I-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('used', 'use', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('analyze', 'analyze', 'VB', 'I-VP', 'O')
('ordinary', 'ordinary', 'JJ', 'B-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('association.', 'association.', 'NN', 'I-NP', 'O')
However, there are important differ­ ences between genetic association and statistical asso­ ciation in the study design and analysis.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('important', 'important', 'JJ', 'B-NP', 'O')
('differ\xad', 'differ\xad', 'NN', 'I-NP', 'O')
('ences', 'ence', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('statistical', 'statistical', 'JJ', 'B-NP', 'O')
('asso\xad', 'asso\xad', 'NN', 'I-NP', 'O')
('ciation', 'ciation', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('design', 'design', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
Genetic association studies have been mostly performed in a case-control study setting that has been well developed for use in epidemiological methods (Romero et al., 2002).
('Genetic', 'Genetic', 'JJ', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('mostly', 'mostly', 'RB', 'I-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('case-control', 'case-control', 'JJ', 'I-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('setting', 'setting', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('well', 'well', 'RB', 'I-VP', 'O')
('developed', 'develop', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('use', 'use', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('epidemiological', 'epidemiological', 'JJ', 'B-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('(Romero', '(Romero', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2002).', '2002).', 'CD', 'B-NP', 'O')
The case-control design is increasingly used for genetic association studies due to its simplicity in design.
('The', 'The', 'DT', 'B-NP', 'O')
('case-control', 'case-control', 'JJ', 'I-NP', 'O')
('design', 'design', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('increasingly', 'increasingly', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('due', 'due', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('simplicity', 'simplicity', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('design.', 'design.', 'NN', 'B-NP', 'O')
Significant differences in allele frequencies or genotype frequencies between cases and controls are taken as evidence for involvement of an allele or genotype in disease susceptibility.
('Significant', 'Significant', 'JJ', 'B-NP', 'O')
('differences', 'difference', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('allele', 'allele', 'NN', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('genotype', 'genotype', 'NN', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('cases', 'case', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('controls', 'control', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('taken', 'take', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('evidence', 'evidence', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('involvement', 'involvement', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('allele', 'allele', 'NN', 'I-NP', 'B-DNA')
('or', 'or', 'CC', 'I-NP', 'O')
('genotype', 'genotype', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('susceptibility.', 'susceptibility.', 'NN', 'I-NP', 'O')
In planning    a genetic association study, it is necessary to determine thenumber of samples to be collected for the study in order to achieve sufficient power to detect the hypothesized effect.
('In', 'In', 'IN', 'B-PP', 'O')
('planning', 'plan', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('study,', 'study,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('necessary', 'necessary', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('samples', 'sample', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('collected', 'collect', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-SBAR', 'O')
('order', 'order', 'NN', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('achieve', 'achieve', 'VB', 'I-VP', 'O')
('sufficient', 'sufficient', 'JJ', 'B-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('detect', 'detect', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('hypothesized', 'hypothesize', 'VBN', 'I-NP', 'O')
('effect.', 'effect.', 'NN', 'I-NP', 'O')
A genetic association study that is conducted without attention to sample size or power information takes    the    risks    of    either    failing    to    detect    important meaningful differences (i.e., type II error) or taking an unnecessarily excessive number of samples for a study.
('A', 'A', 'DT', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('conducted', 'conduct', 'VBN', 'I-VP', 'O')
('without', 'without', 'IN', 'B-PP', 'O')
('attention', 'attention', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('sample', 'sample', 'NN', 'B-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('takes', 'take', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('risks', 'risk', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('either', 'either', 'CC', 'O', 'O')
('failing', 'fail', 'VBG', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('detect', 'detect', 'VB', 'I-VP', 'O')
('important', 'important', 'JJ', 'B-NP', 'O')
('meaningful', 'meaningful', 'JJ', 'I-NP', 'O')
('differences', 'difference', 'NNS', 'I-NP', 'O')
('(i.e.,', '(i.e.,', 'VBD', 'B-VP', 'O')
('type', 'type', 'NN', 'B-NP', 'O')
('II', 'II', 'CD', 'I-NP', 'O')
('error)', 'error)', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('taking', 'take', 'VBG', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('unnecessarily', 'unnecessarily', 'RB', 'I-NP', 'O')
('excessive', 'excessive', 'JJ', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('samples', 'sample', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('study.', 'study.', 'NN', 'I-NP', 'O')
Either case fails to adhere to the Ethical Guidelines of the American Statistical Association which says "Avoid the use    of    excessive    of    inadequate    number    of    research subjects by making informed recommendations for study size" (American Statistical Association, 1999).
('Either', 'Either', 'DT', 'B-NP', 'O')
('case', 'case', 'NN', 'I-NP', 'O')
('fails', 'fail', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('adhere', 'adhere', 'VB', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Ethical', 'Ethical', 'JJ', 'I-NP', 'O')
('Guidelines', 'Guideline', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('American', 'American', 'NNP', 'I-NP', 'O')
('Statistical', 'Statistical', 'NNP', 'I-NP', 'O')
('Association', 'Association', 'NNP', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('says', 'say', 'VBZ', 'B-VP', 'O')
('"Avoid', '"Avoid', 'NNP', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('use', 'use', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('excessive', 'excessive', 'JJ', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('inadequate', 'inadequate', 'JJ', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('research', 'research', 'NN', 'B-NP', 'O')
('subjects', 'subject', 'NNS', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('making', 'make', 'VBG', 'B-VP', 'O')
('informed', 'informed', 'JJ', 'B-NP', 'O')
('recommendations', 'recommendation', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('study', 'study', 'NN', 'B-NP', 'O')
('size"', 'size"', 'NN', 'I-NP', 'O')
('(American', '(American', 'NNP', 'I-NP', 'O')
('Statistical', 'Statistical', 'NNP', 'I-NP', 'O')
('Association,', 'Association,', 'NNP', 'I-NP', 'O')
('1999).', '1999).', 'CD', 'I-NP', 'O')
While the exact final number that will be used for the analysis will be unknown    due    to    missing    information    such    as    lack    of genotype information and clinical information, it is still desirable to determine a target sample size based on the proposed study design.
('While', 'While', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('exact', 'exact', 'JJ', 'I-NP', 'O')
('final', 'final', 'JJ', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('unknown', 'unknown', 'JJ', 'B-ADJP', 'O')
('due', 'due', 'JJ', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('missing', 'miss', 'VBG', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('lack', 'lack', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genotype', 'genotype', 'NN', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('clinical', 'clinical', 'JJ', 'B-NP', 'O')
('information,', 'information,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('still', 'still', 'RB', 'B-ADVP', 'O')
('desirable', 'desirable', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('target', 'target', 'NN', 'I-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('proposed', 'propose', 'VBN', 'I-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('design.', 'design.', 'NN', 'I-NP', 'O')
The sample size estimate will allow the estimation of total cost of the proposed study required.
('The', 'The', 'DT', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('estimate', 'estimate', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('allow', 'allow', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('estimation', 'estimation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('total', 'total', 'JJ', 'B-NP', 'O')
('cost', 'cost', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('proposed', 'propose', 'VBN', 'I-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('required.', 'required.', '.', 'O', 'O')
Typically, the number of samples is computed to provide a fixed level of power under a specified alternative hypothesis.
('Typically,', 'Typically,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('samples', 'sample', 'NNS', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('computed', 'compute', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('provide', 'provide', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('fixed', 'fix', 'VBN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('power', 'power', 'NN', 'B-NP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('specified', 'specify', 'VBN', 'I-NP', 'O')
('alternative', 'alternative', 'NN', 'I-NP', 'O')
('hypothesis.', 'hypothesis.', 'NN', 'I-NP', 'O')
The alternative hypothesis usually represents a minimal meaningful difference in the frequency of genotypes or alleles between cases and controls.
('The', 'The', 'DT', 'B-NP', 'O')
('alternative', 'alternative', 'JJ', 'I-NP', 'O')
('hypothesis', 'hypothesis', 'NN', 'I-NP', 'O')
('usually', 'usually', 'RB', 'B-ADVP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('minimal', 'minimal', 'JJ', 'I-NP', 'O')
('meaningful', 'meaningful', 'JJ', 'I-NP', 'O')
('difference', 'difference', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('frequency', 'frequency', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genotypes', 'genotype', 'NNS', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('alleles', 'allele', 'NNS', 'I-NP', 'B-DNA')
('between', 'between', 'IN', 'B-PP', 'O')
('cases', 'case', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('controls.', 'controls.', 'NNS', 'I-NP', 'O')
Power (1- probability of type II error) is an important consideration for several reasons.
('Power', 'Power', 'NN', 'B-NP', 'O')
('(1-', '(1-', 'NN', 'I-NP', 'O')
('probability', 'probability', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('type', 'type', 'NN', 'B-NP', 'B-protein')
('II', 'II', 'CD', 'I-NP', 'I-protein')
('error)', 'error)', 'NN', 'I-NP', 'I-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('important', 'important', 'JJ', 'I-NP', 'O')
('consideration', 'consideration', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('reasons.', 'reasons.', 'NNS', 'I-NP', 'O')
Low power can cause a true difference in allele frequencies or genotype frequencies between cases and controls to be rejected.
('Low', 'Low', 'JJ', 'B-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('cause', 'cause', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('true', 'true', 'JJ', 'I-NP', 'O')
('difference', 'difference', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('allele', 'allele', 'NN', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('genotype', 'genotype', 'NN', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('cases', 'case', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('controls', 'control', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('rejected.', 'rejected.', 'VBN', 'I-VP', 'O')
However, too much power may make results statistically significant that are not meaningfully different.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('too', 'too', 'RB', 'B-NP', 'O')
('much', 'much', 'JJ', 'I-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('make', 'make', 'VB', 'I-VP', 'O')
('results', 'result', 'NNS', 'B-NP', 'O')
('statistically', 'statistically', 'RB', 'B-ADJP', 'O')
('significant', 'significant', 'JJ', 'I-ADJP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('meaningfully', 'meaningfully', 'RB', 'I-VP', 'O')
('different.', 'different.', 'VB', 'I-VP', 'O')
