.
('.', '.', '.', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('shorter', 'short', 'JJR', 'I-NP', 'O')
('time', 'time', 'NN', 'I-NP', 'O')
('since', 'since', 'IN', 'B-SBAR', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('divergence', 'divergence', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('led', 'lead', 'VBD', 'B-VP', 'O')
('us', 'us', 'PRP', 'B-NP', 'O')
('hypothesize', 'hypothesize', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('indels', 'indel', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('structural', 'structural', 'JJ', 'B-NP', 'O')
('changes', 'change', 'NNS', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('represent', 'represent', 'VB', 'I-VP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('major', 'major', 'JJ', 'I-NP', 'O')
('mechanism', 'mechanism', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('proteome', 'proteome', 'NN', 'B-NP', 'O')
('evolution', 'evolution', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('higher', 'high', 'JJR', 'I-NP', 'O')
('primates.', 'primates.', 'NN', 'I-NP', 'O')
Human Tcomplex protein 10 like (TCP10L) is a representative having indel within its coding sequence.
('Human', 'Human', 'JJ', 'B-NP', 'B-protein')
('Tcomplex', 'Tcomplex', 'NN', 'I-NP', 'I-protein')
('protein', 'protein', 'NN', 'I-NP', 'I-protein')
('10', '10', 'CD', 'I-NP', 'I-protein')
('like', 'like', 'IN', 'B-PP', 'O')
('(TCP10L)', '(TCP10L)', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('representative', 'representative', 'JJ', 'I-NP', 'O')
('having', 'have', 'VBG', 'I-NP', 'O')
('indel', 'indel', 'NN', 'I-NP', 'O')
('within', 'within', 'IN', 'B-PP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('coding', 'cod', 'VBG', 'I-NP', 'O')
('sequence.', 'sequence.', 'NN', 'I-NP', 'O')
Gene structure of human TCP10L compared with chimpanzee TCP10L gene showed 16 base pair difference in genomic DNA.
('Gene', 'Gene', 'NN', 'B-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-protein')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'I-protein')
('compared', 'compare', 'VBN', 'B-PP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'B-NP', 'B-DNA')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'I-DNA')
('gene', 'gene', 'NN', 'I-NP', 'I-DNA')
('showed', 'show', 'VBD', 'B-VP', 'O')
('16', '16', 'CD', 'B-NP', 'O')
('base', 'base', 'NN', 'I-NP', 'O')
('pair', 'pair', 'NN', 'I-NP', 'O')
('difference', 'difference', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('genomic', 'genomic', 'JJ', 'B-NP', 'O')
('DNA.', 'DNA.', 'NN', 'I-NP', 'O')
As a result of the indel, frame shift mutation occurs in coding sequence (CDS) and human TCP10L express longer polypeptide of 21 amino acid residues than that of chimpanzee.
('As', 'As', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('result', 'result', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('indel,', 'indel,', 'JJ', 'I-NP', 'O')
('frame', 'frame', 'NN', 'I-NP', 'O')
('shift', 'shift', 'NN', 'I-NP', 'O')
('mutation', 'mutation', 'NN', 'I-NP', 'O')
('occurs', 'occur', 'VBZ', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('coding', 'cod', 'VBG', 'B-VP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('(CDS)', '(CDS)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'O')
('express', 'express', 'VBP', 'B-VP', 'O')
('longer', 'long', 'JJR', 'B-NP', 'O')
('polypeptide', 'polypeptide', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('21', '21', 'CD', 'B-NP', 'B-protein')
('amino', 'amino', 'NN', 'I-NP', 'I-protein')
('acid', 'acid', 'NN', 'I-NP', 'I-protein')
('residues', 'residue', 'NNS', 'I-NP', 'I-protein')
('than', 'than', 'IN', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('chimpanzee.', 'chimpanzee.', 'NN', 'B-NP', 'O')
Our prediction found that the indel may affect to dramatic change of secondary protein structure between human and chimpanzee TCP10L.
('Our', 'Our', 'PRP$', 'B-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('found', 'find', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('indel', 'indel', 'NN', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('affect', 'affect', 'VB', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('dramatic', 'dramatic', 'JJ', 'B-NP', 'O')
('change', 'change', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('secondary', 'secondary', 'JJ', 'B-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('TCP10L.', 'TCP10L.', 'NN', 'I-NP', 'O')
Especially, the structural changes in the C-terminal region of TCP10L protein may affect on the interacting potential to other proteins rather than DNA binding function of the protein.
('Especially,', 'Especially,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('structural', 'structural', 'JJ', 'I-NP', 'O')
('changes', 'change', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('C-terminal', 'C-terminal', 'JJ', 'I-NP', 'B-protein')
('region', 'region', 'NN', 'I-NP', 'I-protein')
('of', 'of', 'IN', 'B-PP', 'O')
('TCP10L', 'TCP10L', 'NN', 'B-NP', 'B-protein')
('protein', 'protein', 'NN', 'I-NP', 'I-protein')
('may', 'may', 'MD', 'B-VP', 'O')
('affect', 'affect', 'VB', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('interacting', 'interact', 'VBG', 'I-NP', 'O')
('potential', 'potential', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('proteins', 'protein', 'NNS', 'I-NP', 'O')
('rather', 'rather', 'RB', 'B-CONJP', 'O')
('than', 'than', 'IN', 'I-CONJP', 'O')
('DNA', 'DNA', 'NN', 'B-NP', 'O')
('binding', 'binding', 'NN', 'I-NP', 'O')
('function', 'function', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('protein.', 'protein.', 'NN', 'I-NP', 'O')
Through these changes, TCP10L might influence gene expression profiles in liver and testis and subsequently influence the physiological changes required in primate evolution.
('Through', 'Through', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('changes,', 'changes,', 'NN', 'I-NP', 'O')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'O')
('might', 'might', 'MD', 'B-VP', 'O')
('influence', 'influence', 'VB', 'I-VP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('profiles', 'profile', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('liver', 'liver', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('testis', 'testis', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('subsequently', 'subsequently', 'RB', 'B-VP', 'O')
('influence', 'influence', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('physiological', 'physiological', 'JJ', 'I-NP', 'O')
('changes', 'change', 'NNS', 'I-NP', 'O')
('required', 'require', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('primate', 'primate', 'JJ', 'B-NP', 'O')
('evolution.', 'evolution.', 'NN', 'I-NP', 'O')
Recently, as an international collaborative project, we reported the entire DNA sequence of the euchromatic region of chimpanzee chromosome 22 (PTR22) and compared the whole chromosome with human chromosome 21 (HSA21) (Watanabe et al., 2004).
('Recently,', 'Recently,', 'NN', 'B-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('international', 'international', 'JJ', 'I-NP', 'O')
('collaborative', 'collaborative', 'JJ', 'I-NP', 'O')
('project,', 'project,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('reported', 'report', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('entire', 'entire', 'JJ', 'I-NP', 'B-DNA')
('DNA', 'DNA', 'NN', 'I-NP', 'I-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('euchromatic', 'euchromatic', 'JJ', 'I-NP', 'B-protein')
('region', 'region', 'NN', 'I-NP', 'I-protein')
('of', 'of', 'IN', 'B-PP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'B-NP', 'O')
('chromosome', 'chromosome', 'NN', 'I-NP', 'O')
('22', '22', 'CD', 'I-NP', 'O')
('(PTR22)', '(PTR22)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('compared', 'compare', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('whole', 'whole', 'JJ', 'I-NP', 'O')
('chromosome', 'chromosome', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('chromosome', 'chromosome', 'NN', 'I-NP', 'O')
('21', '21', 'CD', 'I-NP', 'O')
('(HSA21)', '(HSA21)', 'NN', 'I-NP', 'O')
('(Watanabe', '(Watanabe', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2004).', '2004).', 'CD', 'B-NP', 'O')
We found that PTR22 and HSA21 differ at approximately 1.44% of their 33 million aligned nucleotides.
('We', 'We', 'PRP', 'B-NP', 'O')
('found', 'find', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('PTR22', 'PTR22', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('HSA21', 'HSA21', 'NN', 'I-NP', 'B-protein')
('differ', 'differ', 'VBP', 'B-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('approximately', 'approximately', 'RB', 'B-NP', 'O')
('1.44%', '1.44%', 'CD', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('33', '33', 'CD', 'I-NP', 'O')
('million', 'million', 'CD', 'I-NP', 'O')
('aligned', 'align', 'VBN', 'I-NP', 'O')
('nucleotides.', 'nucleotides.', 'NNS', 'I-NP', 'O')
In addition we reported nearly 68,000 insertion or deletions (indels).
('In', 'In', 'IN', 'B-PP', 'O')
('addition', 'addition', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('reported', 'report', 'VBD', 'B-VP', 'O')
('nearly', 'nearly', 'RB', 'B-NP', 'O')
('68,000', '68,000', 'CD', 'I-NP', 'O')
('insertion', 'insertion', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('deletions', 'deletion', 'NNS', 'I-NP', 'O')
('(indels).', '(indels).', 'LS', 'B-LST', 'O')
The number of indels is approximately one seventh the numbers of point mutations accumulated over the time since human and chimpanzees diverged.
('The', 'The', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('indels', 'indel', 'NNS', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('approximately', 'approximately', 'RB', 'B-NP', 'O')
('one', 'one', 'CD', 'I-NP', 'O')
('seventh', 'seventh', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('numbers', 'number', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('point', 'point', 'NN', 'B-NP', 'O')
('mutations', 'mutation', 'NNS', 'I-NP', 'O')
('accumulated', 'accumulate', 'VBN', 'B-VP', 'O')
('over', 'over', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('time', 'time', 'NN', 'I-NP', 'O')
('since', 'since', 'IN', 'B-SBAR', 'O')
('human', 'human', 'JJ', 'O', 'O')
('and', 'and', 'CC', 'O', 'O')
('chimpanzees', 'chimpanzee', 'NNS', 'B-NP', 'O')
('diverged.', 'diverged.', 'VBP', 'B-VP', 'O')
Since each indel involves the change of several nucleotides, this result confirms Britten’s estimates (Britten, 2002) that indels are a major soruce of sequence divergence between human and chimpanzees.
('Since', 'Since', 'IN', 'B-SBAR', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('indel', 'indel', 'NN', 'I-NP', 'O')
('involves', 'involve', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('change', 'change', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('nucleotides,', 'nucleotides,', 'NN', 'I-NP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('result', 'result', 'NN', 'I-NP', 'O')
('confirms', 'confirm', 'VBZ', 'B-VP', 'O')
('Britten’s', 'Britten’s', 'NNP', 'B-NP', 'O')
('estimates', 'estimate', 'VBZ', 'B-VP', 'O')
('(Britten,', '(Britten,', 'NNP', 'B-NP', 'O')
('2002)', '2002)', 'CD', 'I-NP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('indels', 'indel', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('major', 'major', 'JJ', 'I-NP', 'O')
('soruce', 'soruce', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('divergence', 'divergence', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'O', 'O')
('and', 'and', 'CC', 'O', 'O')
('chimpanzees.', 'chimpanzees.', 'NNS', 'B-NP', 'O')
Indeed comparing 231 orthologous genes on the chromosome, we found that 15 orthologs have indels within their coding sequences and 32 have changes in the start codon or stop codon, which would potentially lead to gross structural differences between human and chimpanzee protein products.
('Indeed', 'Indeed', 'RB', 'B-ADVP', 'O')
('comparing', 'compare', 'VBG', 'B-VP', 'O')
('231', '231', 'CD', 'B-NP', 'B-DNA')
('orthologous', 'orthologous', 'JJ', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('chromosome,', 'chromosome,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('found', 'find', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('15', '15', 'CD', 'B-NP', 'O')
('orthologs', 'ortholog', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('indels', 'indel', 'NNS', 'B-NP', 'O')
('within', 'within', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('coding', 'cod', 'VBG', 'I-NP', 'O')
('sequences', 'sequence', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('32', '32', 'CD', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('changes', 'change', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('start', 'start', 'NN', 'I-NP', 'B-DNA')
('codon', 'codon', 'NN', 'I-NP', 'I-DNA')
('or', 'or', 'CC', 'O', 'O')
('stop', 'stop', 'VB', 'B-VP', 'O')
('codon,', 'codon,', 'NN', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('would', 'would', 'MD', 'B-VP', 'O')
('potentially', 'potentially', 'RB', 'I-VP', 'O')
('lead', 'lead', 'VB', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('gross', 'gross', 'JJ', 'B-NP', 'O')
('structural', 'structural', 'JJ', 'I-NP', 'O')
('differences', 'difference', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('products.', 'products.', 'NNS', 'I-NP', 'O')
These results led us hyperthesize that indels and structural changes may represent one of the major mechanisms of proteom evolution in the higher primates.
('These', 'These', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('led', 'lead', 'VBD', 'B-VP', 'O')
('us', 'us', 'PRP', 'B-NP', 'O')
('hyperthesize', 'hyperthesize', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('indels', 'indel', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('structural', 'structural', 'JJ', 'B-NP', 'O')
('changes', 'change', 'NNS', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('represent', 'represent', 'VB', 'I-VP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('major', 'major', 'JJ', 'I-NP', 'O')
('mechanisms', 'mechanism', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('proteom', 'proteom', 'NN', 'B-NP', 'O')
('evolution', 'evolution', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('higher', 'high', 'JJR', 'I-NP', 'O')
('primates.', 'primates.', 'NN', 'I-NP', 'O')
Among 15 kinds of indels between human and chimpanzee orthologous genes, TCP10L is a representative having indel within its coding sequence (Watanabe etal., 2004).
('Among', 'Among', 'IN', 'B-PP', 'O')
('15', '15', 'CD', 'B-NP', 'O')
('kinds', 'kind', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('indels', 'indel', 'NNS', 'B-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('orthologous', 'orthologous', 'JJ', 'I-NP', 'O')
('genes,', 'genes,', 'NN', 'I-NP', 'O')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('representative', 'representative', 'JJ', 'I-NP', 'O')
('having', 'have', 'VBG', 'I-NP', 'O')
('indel', 'indel', 'NN', 'I-NP', 'O')
('within', 'within', 'IN', 'B-PP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('coding', 'cod', 'VBG', 'I-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('(Watanabe', '(Watanabe', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2004).', '2004).', '.', 'O', 'O')
The TCP10L showed 16 base pair differences in genomic DNA sequence between human and chimpzanzee.
('The', 'The', 'DT', 'B-NP', 'O')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'B-protein')
('showed', 'show', 'VBD', 'B-VP', 'O')
('16', '16', 'CD', 'B-NP', 'O')
('base', 'base', 'NN', 'I-NP', 'O')
('pair', 'pair', 'NN', 'I-NP', 'O')
('differences', 'difference', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('genomic', 'genomic', 'JJ', 'B-NP', 'B-DNA')
('DNA', 'DNA', 'NN', 'I-NP', 'I-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('between', 'between', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'O', 'O')
('and', 'and', 'CC', 'O', 'O')
('chimpzanzee.', 'chimpzanzee.', 'NN', 'B-NP', 'O')
The primary structure of human TCP10L contains the representative character of the leucine zipper motif, with a leucine residue in every seventh position.
('The', 'The', 'DT', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-protein')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'I-protein')
('contains', 'contain', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('representative', 'representative', 'JJ', 'I-NP', 'O')
('character', 'character', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('leucine', 'leucine', 'NN', 'I-NP', 'B-protein')
('zipper', 'zipper', 'NN', 'I-NP', 'I-protein')
('motif,', 'motif,', 'NN', 'I-NP', 'I-protein')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('leucine', 'leucine', 'NN', 'I-NP', 'O')
('residue', 'residue', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('every', 'every', 'DT', 'B-NP', 'O')
('seventh', 'seventh', 'JJ', 'I-NP', 'O')
('position.', 'position.', 'NN', 'I-NP', 'O')
The leucine zipper motif has been observed in a number of proteins thought to function as eukaryotic transcription factors (Amati et al., 1993; Perez et al., 2001; Sellers etal., 1989).
('The', 'The', 'DT', 'B-NP', 'O')
('leucine', 'leucine', 'NN', 'I-NP', 'B-protein')
('zipper', 'zipper', 'NN', 'I-NP', 'I-protein')
('motif', 'motif', 'NN', 'I-NP', 'I-protein')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('observed', 'observe', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('proteins', 'protein', 'NNS', 'B-NP', 'O')
('thought', 'think', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('function', 'function', 'VB', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('eukaryotic', 'eukaryotic', 'JJ', 'B-NP', 'B-protein')
('transcription', 'transcription', 'NN', 'I-NP', 'I-protein')
('factors', 'factor', 'NNS', 'I-NP', 'I-protein')
('(Amati', '(Amati', 'NNP', 'B-NP', 'B-protein')
('et', 'et', 'FW', 'I-NP', 'I-protein')
('al.,', 'al.,', ',', 'O', 'I-protein')
('1993;', '1993;', 'CD', 'B-NP', 'I-protein')
('Perez', 'Perez', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
