Patome: Database of Patented Bio-sequences.
('number.', 'number.', 'NN', 'I-NP', 'O')
Patome can be accessed at http://www.
('Patome', 'Patome', 'NN', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('accessed', 'access', 'VBN', 'I-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('http://www.', 'http://www.', 'NN', 'B-NP', 'O')
patome.
('patome.', 'patome.', 'LS', 'B-LST', 'O')
net.
('net.', 'net.', 'LS', 'B-LST', 'O')
The information will be updated every two months.
('The', 'The', 'DT', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('updated', 'update', 'VBN', 'I-VP', 'O')
('every', 'every', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('months.', 'months.', 'NNS', 'I-NP', 'O')
Recent advances in high-throughput sequencing tech­nologies have enabled us to determine many genomic se­quences fast and cheaply.
('Recent', 'Recent', 'JJ', 'B-NP', 'O')
('advances', 'advance', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('high-throughput', 'high-throughput', 'JJ', 'B-NP', 'O')
('sequencing', 'sequencing', 'NN', 'I-NP', 'O')
('tech\xadnologies', 'tech\xadnology', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('enabled', 'enable', 'VBN', 'I-VP', 'O')
('us', 'us', 'PRP', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('genomic', 'genomic', 'JJ', 'I-NP', 'O')
('se\xadquences', 'se\xadquence', 'NNS', 'I-NP', 'O')
('fast', 'fast', 'RB', 'B-ADVP', 'O')
('and', 'and', 'CC', 'I-ADVP', 'O')
('cheaply.', 'cheaply.', 'RB', 'I-ADVP', 'O')
The number of bases in GenBank has doubled approximately every 14 months (Benson etal., 2004).
('The', 'The', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('bases', 'base', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('GenBank', 'GenBank', 'NNP', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('doubled', 'double', 'VBN', 'I-VP', 'O')
('approximately', 'approximately', 'RB', 'B-NP', 'O')
('every', 'every', 'DT', 'I-NP', 'O')
('14', '14', 'CD', 'I-NP', 'O')
('months', 'month', 'NNS', 'I-NP', 'O')
('(Benson', '(Benson', 'NNP', 'B-NP', 'O')
('etal.,', 'etal.,', 'VBD', 'B-VP', 'O')
('2004).', '2004).', 'CD', 'B-NP', 'O')
These sequence data can be used in a variety of the industrial fields such as medicine, agri­culture, nutrition, and environment (Collins etal., 2003).
('These', 'These', 'DT', 'B-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('variety', 'variety', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('industrial', 'industrial', 'JJ', 'I-NP', 'O')
('fields', 'field', 'NNS', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('medicine,', 'medicine,', 'NN', 'B-NP', 'O')
('agri\xadculture,', 'agri\xadculture,', 'NN', 'I-NP', 'O')
('nutrition,', 'nutrition,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('environment', 'environment', 'NN', 'I-NP', 'O')
('(Collins', '(Collin', 'NNS', 'I-NP', 'O')
('etal.,', 'etal.,', 'VBD', 'B-VP', 'O')
('2003).', '2003).', 'CD', 'B-NP', 'O')
For biosequences such as DNA, RNA, and protein, ac­quiring their intellectual property rights means to hold pos­session of comprehensive rights on their applications.
('For', 'For', 'IN', 'B-PP', 'O')
('biosequences', 'biosequence', 'NNS', 'B-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('DNA,', 'DNA,', 'NN', 'B-NP', 'B-protein')
('RNA,', 'RNA,', 'NN', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('protein,', 'protein,', 'NN', 'I-NP', 'O')
('ac\xadquiring', 'ac\xadquire', 'VBG', 'B-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('intellectual', 'intellectual', 'JJ', 'I-NP', 'O')
('property', 'property', 'NN', 'I-NP', 'O')
('rights', 'right', 'NNS', 'I-NP', 'O')
('means', 'mean', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('hold', 'hold', 'VB', 'I-VP', 'O')
('pos\xadsession', 'pos\xadsession', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('comprehensive', 'comprehensive', 'JJ', 'B-NP', 'O')
('rights', 'right', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('applications.', 'applications.', 'NN', 'I-NP', 'O')
One of the main issues in the post genomic era is how fast se­quences and functions of genes are determined, and who preempts their patent rights.
('One', 'One', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('main', 'main', 'JJ', 'I-NP', 'O')
('issues', 'issue', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('post', 'post', 'NN', 'I-NP', 'O')
('genomic', 'genomic', 'JJ', 'I-NP', 'O')
('era', 'era', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('how', 'how', 'WRB', 'B-ADVP', 'O')
('fast', 'fast', 'JJ', 'B-NP', 'O')
('se\xadquences', 'se\xadquence', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('functions', 'function', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('determined,', 'determined,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('who', 'who', 'WP', 'B-NP', 'O')
('preempts', 'preempt', 'VBZ', 'B-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('rights.', 'rights.', 'NNS', 'I-NP', 'O')
Currently, three organizations offer patented biosequence data to the public: the National Center for Biotechnology Information (NCBI), the European Bioinformatics Institute (EBI), and the DNA Database of Japan (DDBJ).
('Currently,', 'Currently,', 'NNP', 'B-NP', 'O')
('three', 'three', 'CD', 'I-NP', 'O')
('organizations', 'organization', 'NNS', 'I-NP', 'O')
('offer', 'offer', 'VBP', 'B-VP', 'O')
('patented', 'patented', 'JJ', 'B-NP', 'O')
('biosequence', 'biosequence', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('public:', 'public:', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('National', 'National', 'NNP', 'I-NP', 'O')
('Center', 'Center', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Biotechnology', 'Biotechnology', 'NNP', 'B-NP', 'O')
('Information', 'Information', 'NNP', 'I-NP', 'O')
('(NCBI),', '(NCBI),', 'NNP', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('European', 'European', 'NNP', 'I-NP', 'O')
('Bioinformatics', 'Bioinformatics', 'NNP', 'I-NP', 'O')
('Institute', 'Institute', 'NNP', 'I-NP', 'O')
('(EBI),', '(EBI),', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'O')
('Database', 'Database', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Japan', 'Japan', 'NNP', 'B-NP', 'O')
('(DDBJ).', '(DDBJ).', 'NNP', 'I-NP', 'O')
These organizations provide publicly patented biosequence data downloading, simple keyword searching, and alignment searching (Miyazaki etal., 2004; Kanz etal., 2005; Benson etal., 2004).
('These', 'These', 'DT', 'B-NP', 'O')
('organizations', 'organization', 'NNS', 'I-NP', 'O')
('provide', 'provide', 'VBP', 'B-VP', 'O')
('publicly', 'publicly', 'RB', 'I-VP', 'O')
('patented', 'patent', 'VBN', 'I-VP', 'O')
('biosequence', 'biosequence', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('downloading,', 'downloading,', 'VBD', 'B-VP', 'O')
('simple', 'simple', 'JJ', 'B-NP', 'O')
('keyword', 'keyword', 'NN', 'I-NP', 'O')
('searching,', 'searching,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('alignment', 'alignment', 'NN', 'I-NP', 'B-protein')
('searching', 'search', 'VBG', 'B-VP', 'I-protein')
('(Miyazaki', '(Miyazaki', 'NNP', 'B-NP', 'I-protein')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'I-protein')
('2004;', '2004;', ':', 'O', 'I-protein')
('Kanz', 'Kanz', 'NNP', 'B-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2005;', '2005;', ':', 'O', 'O')
('Benson', 'Benson', 'NNP', 'B-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2004).', '2004).', '.', 'O', 'O')
Thompson Derwent and the Chemical Abstract Service maintain commercial patent databases containing more comprehensive information.
('Thompson', 'Thompson', 'NNP', 'B-NP', 'O')
('Derwent', 'Derwent', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Chemical', 'Chemical', 'NNP', 'I-NP', 'O')
('Abstract', 'Abstract', 'NNP', 'I-NP', 'O')
('Service', 'Service', 'NNP', 'I-NP', 'O')
('maintain', 'maintain', 'VBP', 'B-VP', 'O')
('commercial', 'commercial', 'JJ', 'B-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('databases', 'database', 'NNS', 'I-NP', 'O')
('containing', 'contain', 'VBG', 'B-VP', 'O')
('more', 'more', 'RBR', 'B-NP', 'O')
('comprehensive', 'comprehensive', 'JJ', 'I-NP', 'O')
('information.', 'information.', 'NN', 'I-NP', 'O')
The commercial resources are expensive to use and are usually accessed by private commercial entities (Rouse et al., 2005).
('The', 'The', 'DT', 'B-NP', 'O')
('commercial', 'commercial', 'JJ', 'I-NP', 'O')
('resources', 'resource', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('expensive', 'expensive', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('use', 'use', 'VB', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('usually', 'usually', 'RB', 'I-VP', 'O')
('accessed', 'access', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('private', 'private', 'JJ', 'B-NP', 'O')
('commercial', 'commercial', 'JJ', 'I-NP', 'O')
('entities', 'entity', 'NNS', 'I-NP', 'O')
('(Rouse', '(Rouse', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
According to the KIPO report of May 2005, the office had received 6,237 biosequence related applications containing 117,873 nucleotide sequences and 57,926 protein sequences.
('According', 'Accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('KIPO', 'KIPO', 'NN', 'I-NP', 'O')
('report', 'report', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('May', 'May', 'NNP', 'B-NP', 'O')
('2005,', '2005,', 'CD', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('office', 'office', 'NN', 'I-NP', 'O')
('had', 'have', 'VBD', 'B-VP', 'O')
('received', 'receive', 'VBN', 'I-VP', 'O')
('6,237', '6,237', 'CD', 'B-NP', 'O')
('biosequence', 'biosequence', 'NN', 'I-NP', 'O')
('related', 'relate', 'VBN', 'I-NP', 'O')
('applications', 'application', 'NNS', 'I-NP', 'O')
('containing', 'contain', 'VBG', 'B-VP', 'O')
('117,873', '117,873', 'CD', 'B-NP', 'B-DNA')
('nucleotide', 'nucleotide', 'NN', 'I-NP', 'I-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('57,926', '57,926', 'CD', 'B-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('sequences.', 'sequences.', 'NNS', 'I-NP', 'O')
On average, 100 biosequences are filed each month.
('On', 'On', 'IN', 'B-PP', 'O')
('average,', 'average,', 'IN', 'B-NP', 'O')
('100', '100', 'CD', 'I-NP', 'B-DNA')
('biosequences', 'biosequence', 'NNS', 'I-NP', 'I-DNA')
('are', 'be', 'VBP', 'B-VP', 'O')
('filed', 'file', 'VBN', 'I-VP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('month.', 'month.', 'NN', 'I-NP', 'O')
We receive Korean patented biosequence data from KI PO once a month.
('We', 'We', 'PRP', 'B-NP', 'O')
('receive', 'receive', 'VBP', 'B-VP', 'O')
('Korean', 'Korean', 'JJ', 'B-NP', 'O')
('patented', 'patent', 'VBN', 'I-NP', 'O')
('biosequence', 'biosequence', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('KI', 'KI', 'NN', 'B-NP', 'B-protein')
('PO', 'PO', 'NN', 'I-NP', 'I-protein')
('once', 'once', 'RB', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('month.', 'month.', 'NN', 'I-NP', 'O')
The main purpose of filing patent application is acquiring legal rights which permit an inventor to prevent others from making, using or selling the invention, not finding their biological functions or meanings.
('The', 'The', 'DT', 'B-NP', 'O')
('main', 'main', 'JJ', 'I-NP', 'O')
('purpose', 'purpose', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('filing', 'filing', 'NN', 'B-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('application', 'application', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('acquiring', 'acquire', 'VBG', 'I-VP', 'O')
('legal', 'legal', 'JJ', 'B-NP', 'O')
('rights', 'right', 'NNS', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('permit', 'permit', 'VBP', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('inventor', 'inventor', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('prevent', 'prevent', 'VB', 'I-VP', 'O')
('others', 'other', 'NNS', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('making,', 'making,', 'NN', 'B-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('or', 'or', 'CC', 'O', 'O')
('selling', 'sell', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('invention,', 'invention,', 'NN', 'I-NP', 'O')
('not', 'not', 'RB', 'B-VP', 'O')
('finding', 'find', 'VBG', 'I-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('functions', 'function', 'NNS', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('meanings.', 'meanings.', 'NN', 'B-NP', 'O')
So far, no attempt has been made to annotate patented biosequences from a biological perspective.
('So', 'So', 'RB', 'B-ADVP', 'O')
('far,', 'far,', 'IN', 'B-PP', 'O')
('no', 'no', 'DT', 'B-NP', 'O')
('attempt', 'attempt', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('made', 'make', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('annotate', 'annotate', 'VB', 'I-VP', 'O')
('patented', 'patented', 'JJ', 'B-NP', 'O')
('biosequences', 'biosequence', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('perspective.', 'perspective.', 'NN', 'I-NP', 'O')
In this report, we describe Patome, a new publicly available database for annotated Korean patent sequences, as well as raw patent data from KIPO.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('report,', 'report,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('describe', 'describe', 'VBP', 'B-VP', 'O')
('Patome,', 'Patome,', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('new', 'new', 'JJ', 'I-NP', 'O')
('publicly', 'publicly', 'RB', 'I-NP', 'O')
('available', 'available', 'JJ', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('annotated', 'annotated', 'JJ', 'B-NP', 'O')
('Korean', 'Korean', 'JJ', 'I-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('sequences,', 'sequences,', 'NN', 'I-NP', 'O')
('as', 'as', 'RB', 'B-CONJP', 'O')
('well', 'well', 'RB', 'I-CONJP', 'O')
('as', 'as', 'IN', 'I-CONJP', 'O')
('raw', 'raw', 'JJ', 'B-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('KIPO.', 'KIPO.', 'NNP', 'B-NP', 'O')
To annotate the patented biosequences, BLAST algorithm (Altschul etal., 1997) was used to compare Korean patented biosequences against two public databases: RefSeq or NCBI’s nr.
('To', 'To', 'TO', 'B-VP', 'O')
('annotate', 'annotate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('patented', 'patented', 'JJ', 'I-NP', 'O')
('biosequences,', 'biosequences,', 'NN', 'I-NP', 'O')
('BLAST', 'BLAST', 'NNP', 'I-NP', 'O')
('algorithm', 'algorithm', 'NNP', 'I-NP', 'O')
('(Altschul', '(Altschul', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'VBD', 'B-VP', 'O')
('1997)', '1997)', 'CD', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('compare', 'compare', 'VB', 'I-VP', 'O')
('Korean', 'Korean', 'JJ', 'B-NP', 'B-DNA')
('patented', 'patented', 'JJ', 'I-NP', 'I-DNA')
('biosequences', 'biosequence', 'NNS', 'I-NP', 'I-DNA')
('against', 'against', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('public', 'public', 'JJ', 'I-NP', 'O')
('databases:', 'databases:', 'NN', 'I-NP', 'O')
('RefSeq', 'RefSeq', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('NCBI’s', 'NCBI’', 'NNS', 'I-NP', 'O')
('nr.', 'nr.', 'NN', 'I-NP', 'O')
A database entry with the highest scoring BLAST hit was assigned to each patented biosequence.
('A', 'A', 'DT', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('entry', 'entry', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
